entry,year,genre,source,a,b,c,text
1,1980,NEWS,Chicago,A,B,C,"  hunting. Many preserves, for example, no longer give any "" flighted "" mallard shooting, or bobwhite quail or chukar hunting. And those that do have duck"
2,2004,FIC,Reunion,A,B,C,"  . The wall held an oversized, framed and matted print of a pair of mallard ducks cutting a path across a glassy lake. No, God, please..."
3,1954,NEWS,NYT-Reg,A,B,C,"  A. C. Glassel and W. C. Wolf of Shreveport, were aboard. The ill-fated Mallard amphibian took off from the Merinentau River, south of Lake Charles, La."
4,1934,MAG,Time,A,B,C,"  in the shell, New Orleans gumbo and Maryland terrapin. His bird was Chesapeake mallard. Frozen applejack preceded Virginia ham and autumn salad which were topped off with souffl"
5,2007,NEWS,Atlanta,A,B,C,"  She had a taste for caviar and resources for peanuts, "" special prosecutor Jack Mallard told the seven-man, five-woman jury. "" This case is about lust, greed"
6,1999,MAG,SouthernLiv,A,B,C,"  a summer drive better than peach ice cream at this stop on I-65. 2 Point Mallard Park, Decatur. Have a splashing good time in the wave pool, the"
7,1864,FIC,TrialsSoldiers,A,B,C,"  I Suppose it is the lady who was accused of theft, "" said Dr. Mallard. "" Yes sir, "" answered Harry, "" it is the same person"
8,1946,MAG,Time,A,B,C,"  This week his Grumman Aircraft Engineering Corp. announced its postwar commercial model, the Mallard, an eight-to-ten-passenger amphibian with lush-plush custom-tailored interior. Price: $100,000 &; up ("
9,1939,FIC,StoryLake,A,B,C,"  -- and say that he must be prepared to make the great sacrifice. Lady Mallard was a Theosophist! Sometimes, he wondered if these respectable people were really flesh"
10,1957,FIC,OldManBoy,A,B,C,"  , I said to Mick as she plunged into the icy water. One black mallard, two butterballs, a bluebill, and a gray duck. We will now"
11,1998,NEWS,Houston,A,B,C,"  the 50 years the state has done its surveys. "" # The North Dakota mallard population, while down considerably from a year ago, is still the second highest"
12,1915,NF,IndianWhyStories,A,B,C,"  you want me to paint you.' ""' Well,' replied the mallard drake,' paint my head green, and put a white circle around my"
13,1920,FIC,MainStreet,A,B,C,  she almost believed Sam when he insisted that it was she who had shot the mallard at which they had fired together. She sat on the bank of the reedy
14,1995,MAG,OutdoorLife,A,B,C,"  's when grunting becomes more effective. If a hunter doesn't sound like a mallard, I have no qualms about him calling on his own. "" Pitman,"
15,1954,FIC,LoveIsEternal,A,B,C,"  little colonel who, for all the world, resembled nothing so much as a mallard drake improbably garbed in blue with brass buttons; the scarlet lining of his overcoat"
16,1957,FIC,OldManBoy,A,B,C,"  big dinners, but the old can ain't got any more morals than a mallard about eating fish. The only big duck I can absolutely certify is the pintail"
17,2002,FIC,SouthernRev,A,B,C,"  shelving, scrabbled clumsily among Daddy's decoys, and grabbed a widgeon and a mallard, and I crammed one under each of his arms, thrust hard against his"
18,1880,NF,MissParloasNew,A,B,C,  the head of game. The canvas-back is the finest in the list; the mallard and red-head come next. The domestic duck is in season nearly all the year
19,1984,MAG,Time,A,B,C,"  called canards, the French word for ducks. Indeed, the plane resembles a mallard in full flight. # During World War II, the Germans built an experimental"
20,1939,FIC,StoryLake,A,B,C,"  Firebrace. "" | As it turned out the doctor's name was Laybrush (Lady Mallard could never get a name right), but she had already been to Dr."
21,2006,NEWS,Atlanta,A,B,C,"  rain is falling at Whitestone Country Inn as we dash in and settle into the Mallard suite in the Farmhouse, one of five buildings where guests come to unwind in"
22,1975,NF,RangelandManagement,A,B,C,  virginiana. Predators that feed on seed eaters secondarily disperse seeds. The killdeer and mallard duck egested seeds of many aquatic and semiaquatic plants in viable condition. Many hydrophytes
