entry,year,genre,source,a,b,c,text,
1,1835,FIC,South-WestByYankee,A,B,C,"  of our interesting ride. The forests of Mississippi consist of oak, ash, maple, hickory, sweet gum, cypress, (in the bottoms) yellow poplar",
2,1998,FIC,Ploughshares,A,B,C,"  each taken from the same spot in our yard, right in front of the maple tree where I spent hours scribbling on a yellow legal pad. At the time",
3,1932,FIC,Invasion,A,B,C,"  to the west and to the south, in the mountains there are very fine maple woods. We were there two years ago in March to make our sugar.",
4,1869,FIC,MenWomenGhosts,A,B,C,"  of us, -- none of your blundering Irish, that wouldn't know a maple from a hickory, with their gin-bottles in their pockets, -- but our solid",
5,1994,MAG,OutdoorLife,A,B,C,"  Shooters Special starts as a Model 11-87 Premier Light Contour autoloader, but a curly maple stock and forend make the gun attractive and unique. The gun comes with a",
6,1993,FIC,Seduction,A,B,C,"  green car, its rear fender patched with white Bondo, pulled up under the maple tree. Dolores Farley hauled herself out, then bent to retrieve a large carton",
7,1906,MAG,Harpers,A,B,C,  she had begun her nest at the very top of a young maple? a maple just planted and putting forth new leaves. How she revelled in the abundance of,
8,1917,MAG,Harpers,A,B,C,"  came a few feet up into the grass and alighted on a small, dry maple branch that had fallen from the trees above. Here she flirted and attitudinized a",
9,1951,MAG,NatGeog,A,B,C,"  . For rod butts and forward grips, makers also use quantities of hickory and maple turnings. One firm alone made 1,110,000 wooden fishing lures last year. Ski and",
10,1883,FIC,RedAcorn,A,B,C,"  betrothed. His heat abated. He stopped, and leaning against a shady silver maple began anew a meditation that had occupied his mind very frequently since that memorable night",
11,1908,FIC,TrailLonesomePine,A,B,C,"  under the crest of the mottled mountain, was on fire with the scarlet of maple. Not even yet had the morning chill left the densely shaded path. When",
12,1902,NF,WoodFolkAtSchool,A,B,C,"  take a windfall on the run; how to breast down a young birch or maple tree and keep it under his body while he feeds on the top, --",
13,1906,MAG,Harpers,A,B,C,"  . After her I ran to see the result. Into the top of the maple she went, and there deposited her thread, for her nest was cozily placed",
