entry,year,genre,source,a,b,c,text
1,1876,NF,WinterSunshine,A,B,C,"  . Kinglets. Lark. See Skylark. Liver-leaf. See Hepatica. Magpie. Meadowlark (Sturnella magna). Nightingale. Nuthatches. Oriole, Baltimore (Icterus galbula"
2,1880,NF,Wake-Robin,A,B,C,"  , vivacious warble of the bluebird, -- the long, rich note of the meadowlark, -- the whistle of the quail, -- the drumming of the partridge,"
3,1880,NF,Wake-Robin,A,B,C,"  partridge drums in the fresh sprouting woods; the long, tender note of the meadowlark comes up from the meadow; and at sunset, from every marsh and pond"
4,1880,NF,Wake-Robin,A,B,C,"  joy. The bluebird warbled, the robin called, the snowbird chattered, the meadowlark uttered her strong but tender note. Over a deserted field a turkey buzzard hovered"
5,1880,NF,Wake-Robin,A,B,C,"  poised or circling in the air, with a hovering, tremulous flight. The meadowlark occasionally does this in the early part of the season. At such times its"
6,1880,NF,Wake-Robin,A,B,C,"  horned lark (Otocoris alpestris). Martin, purple (Progne subis). Meadowlark (sturnella magna). Merganser, red-breasted (Merganser serrator). Mockingbird ("
7,1897,FIC,ChristmasAccident,A,B,C,"  in autumn, a burst of clear, joyous anticipation -- the trill of the meadowlark, the "" sweet, sweet, piercing sweet "" of the flashing oriole,"
8,1907,MAG,Harpers,A,B,C,"  are some of the melodies heard from song sparrow, chew-ink. Carolina wren, meadowlark, and their associates, they are yet closer to the modern idea of melody"
9,1907,MAG,Harpers,A,B,C,"  , for instance, is this bit of regular melody I hear occasionally from a meadowlark that has its home not far from my own!? which came in my"
10,1907,MAG,Harpers,A,B,C,  that in two successive summers were flung across the field to my ears by a meadowlark: This resemblance must be regarded as purely accidental. It is quite certain that
11,1907,MAG,Harpers,A,B,C,  regarded as purely accidental. It is quite certain that Bizet had not heard this meadowlark when lie wrote his opera; and it may he predicted with almost equal certainty
12,1907,MAG,Harpers,A,B,C,"  wrote his opera; and it may he predicted with almost equal certainty that the meadowlark, which does not belong to a species commonly caged for its song, was"
13,1912,MAG,Century,A,B,C,"  warms the present! There, too, that same day I saw my first meadowlark of the season in a vacant lot, flashing out the white quills in her"
14,1914,NEWS,Chicago,A,B,C,"  appropriately named' Iowa, beautiful land.' From the day when the first meadowlark Intones her song of spring, which no Mendelsaohn, no Mozart, no Grieg."
15,1917,FIC,TheresPippinsCheese,A,B,C,  the fields and trees are then but the practice of the hour. When the meadowlark sings on a fence-rail she but cons her lesson from the stars. It is
16,1918,FIC,AdventuresJimmy,A,B,C,"  make their nests on the ground there. There is Brer Bob White and Brer Meadowlark and Brer Bobolink and Brer Field Sparrow and Brer -- "" "" Never mind any more"
17,1920,FIC,TaleBobbyBobolink,A,B,C,"  the stone wall where Mr. Chippy made his home in a wild grapevine, Mr. Meadowlark flew to the swampy place where the rushes grew, just to find a Red-winged"
18,1920,FIC,TaleBobbyBobolink,A,B,C,"  I have known him to get here as early as May Day. "" Mr. Meadowlark confessed that he was disappointed. "" It would be a much gayer May Day"
19,1920,FIC,TaleBobbyBobolink,A,B,C,"  your own singing? "" Mr. Red-winged Blackbird asked him -- meaning that in his opinion Mr. Meadowlark had no reason to be ashamed of his own voice. "" My song is"
20,1920,FIC,TaleBobbyBobolink,A,B,C,"  of his own voice. "" My song is not like his, "" Mr. Meadowlark answered. And he sighed as he spoke. "" To be sure, some"
21,1920,FIC,TaleBobbyBobolink,A,B,C,"  to hear Bobby Bobolink's voice? "" He has a way "" - - Mr. Meadowlark went on -- "" a way of making almost any summer's day a gay holiday"
22,1920,FIC,TaleBobbyBobolink,A,B,C,"  too. "" "" What's the matter with your own clothes? "" Mr. Meadowlark inquired -- meaning that in his opinion Mr. Red-winged Blackbird's black suit, with the shoulders"
23,1920,FIC,TaleBobbyBobolink,A,B,C,"  his black and white and buff back flashes above the meadow. "" And Mr. Meadowlark couldn't deny it; for he knew that it was true. II THE"
24,1920,FIC,TaleBobbyBobolink,A,B,C,"  a bit the best singer of the lot. Perched on a fence-post, Mr. Meadowlark was drinking in Bobby's merry songs. Jolly Robin had stolen away from the"
25,1920,FIC,TaleBobbyBobolink,A,B,C,"  into a knot, just watching him. "" By the way, "" Mr. Meadowlark said in an undertone to Mr. Red-winged Blackbird, "" our friend Bobby has a"
26,1920,FIC,TaleBobbyBobolink,A,B,C,"  Mr. Red-winged Blackbird inquired. "" About the middle of last summer! "" Mr. Meadowlark explained. "" Ah! This is the second suit he has had since then"
27,1920,FIC,TaleBobbyBobolink,A,B,C,"  new one then. And here he is now with still another. "" Mr. Meadowlark looked a bit troubled. "" I liked the black one -- the black one with the"
28,1920,FIC,TaleBobbyBobolink,A,B,C,"  disappointed. "" "" Anyhow, he sings as well as ever, "" Mr. Meadowlark declared. IV SINGING FOR SOME ONE THE first few days of early May had"
29,1920,FIC,TaleBobbyBobolink,A,B,C,  said he didn't believe they knew the difference. V AN INVITATION MR. MEADOWLARK was a great admirer of Bobby Bobolink. Much as he liked to sing himself
30,1920,FIC,TaleBobbyBobolink,A,B,C,  joyous music tinkled over the grass-tops in Farmer Green's meadow. And as Mr. Meadowlark was listening to one of Bobby's best songs one day an idea popped suddenly
31,1920,FIC,TaleBobbyBobolink,A,B,C,"  I've come over to tell you about an idea of mine, "" Mr. Meadowlark announced. "" It's about Bobby Bobolink. You know he has come back"
32,1920,FIC,TaleBobbyBobolink,A,B,C,"  do better than invite him to join the Pleasant Valley Singing Society. "" Mr. Meadowlark had explained all this in a most eager manner. And he couldn't help"
