entry,year,genre,source,a,b,c,text
42,1873,FIC,SevenNineYears,A,B,C,"  for any length of time. Fortunately I had the good luck to discover some mesquite berries, that had been secreted by one of the tribe. This discovery proved"
123,1875,MAG,Scribners,A,B,C,  the stream well enough. At night we camped on the left bank in a mesquite thicket. The sense of relief from danger and the joy of success were great
52,1882,MAG,Atlantic,A,B,C,"  into great clusters by "" sprouting "" from the root. The resemblance of the mesquite bush to the peach-tree is striking. Its size is about the same, and"
83,1883,NF,IllustratedCatalogue,A,B,C,"  ax of basalt. 218, (46651). A mortar for pounding and grinding mesquite beans. 219, (46653). Rude, partially grooved ax. 220"
177,1883,NF,IllustratedCatalogue,A,B,C,"  ). Quartz pestle. 257, (47946). Stone for crushing and grinding mesquite beans. 258-261. 258, (47947); 259, (47948);"
134,1889,FIC,BustedEx-Texan,A,B,C,"  Texan ranchman swept his hand with a royal gesture over a landscape of flowers and Mesquite brush, dotted with thousands of cattle, and exclaimed,' Stranger, I"
200,1905,MAG,Outlook,A,B,C,"  you farms which produce a hundred bushels to an acre where the tus or the mesquite now struggle for it lives. "" Yes, the agonies of the four years"
141,1906,MAG,Harpers,A,B,C,"  cacti displayed their beautiful blooms. The river banks were guarded by heavy thickets of mesquite and willow, affording shelter to innumerable birds. Across the narrow river, as"
74,1909,FIC,WhiteMice,A,B,C,"  the mainland by a stretch of water; and to the south, the wild mesquite bushes and laurel through which they had just come, stretching to the coast."
90,1909,FIC,WhiteMice,A,B,C,"  cliff that overlooks the sea. On the land side was a wall of dusky mesquite bushes, bound together by tangled vines, with here and there bending above them"
2,1911,FIC,Mavericks,A,B,C,"  came straight toward me -- and I rode away. I could hear him crashing through the mesquite. When I reached the trail of Jim's mine, I followed it,"
89,1911,FIC,Mavericks,A,B,C,"  "" Yes. In the arm -- a flesh wound. I met him riding through the mesquite. After I had tied up his wound, I took him to Jim's"
97,1911,FIC,Mavericks,A,B,C,"  to pygmy size, clambered to the bank -- now one and then another firing into the mesquite that ran like a broad tongue from the roll of hills into the valley."
159,1911,FIC,Two-GunMan,A,B,C,"  help of a bandage, would materially assist nature in -- -- He was passing a filmy mesquite clump -- the bare foot swinging wide. There was a warning rattle; a sharp thrust"
187,1911,FIC,Mavericks,A,B,C,"  Tryon pointed suddenly to the figure of a man disappearing from the road into the mesquite two hundred yards in front of them. "" That's odd. I reckon"
116,1912,NF,PhilipDruAdministrator,A,B,C,"  were off. It was early morning and the dew was still on the soft mesquite grass, and as the mustang ponies swiftly drew them over the prairie, it"
124,1912,FIC,RollingStones,A,B,C,  as large as a peck-measure and weighing fifteen pounds. His hat was ornamented with mesquite branches and yellow ratama blooms. A resurrected mosquito bar served as a veil.
6,1913,FIC,SaddleBoysRockies,A,B,C,"  show you what's what. There, he's disappeared behind that clump of mesquite yonder, "" and Frank turned to look at his saddle mate with an expression"
50,1913,FIC,SaddleBoysRockies,A,B,C,"  barranca, and reached a spot where the grass was growing under a cluster of mesquite trees. "" It looks good enough for me, "" replied the young Kentuckian"
20,1914,MAG,Harpers,A,B,C,"  pay several cents a pound for it in various patent stock-foods. The carob, mesquite, and honey locust are alike in being legumes, bearing crops of large beans"
25,1914,MAG,Harpers,A,B,C,"  animal food for ages. As a Texas farmer puts it: "" I have mesquite in my pastures, and value a crop of beans very highly. A good"
