entry,year,genre,source,a,b,c,text
73,1853,NF,MysteriesBee-keeping,A,B,C,"  were then in bloom. I found the flowers of the Silkweed, (or Milkweed, as some call it,) sometimes holding a dead bee by the foot"
82,1854,FIC,Walden,A,B,C,"  afternoon, for such days especially they settle on to the lakes, like the milkweed down, having looked in vain over the pond for a loon, suddenly one"
47,1856,FIC,HomeAndAbroad,A,B,C,"  art. The bluff was decked with great bunches of a scarlet variety of the milkweed, like cut coral, and all starred with a mysterious-looking dark flower, whose"
65,1869,FIC,OldtownFolks,A,B,C,"  when Miss Asphyxia was not looking, he drew from his vest-pocket a couple of milkweed pods, and said, "" Them' s putty, -- mebbe ye'"
100,1869,FIC,OldtownFolks,A,B,C,"  placed her treasure in the great bony claw. "" Why, that' s milkweed silk, "" said Miss Asphyxia. ""' T ain't good for nothin"
41,1875,FIC,RoseRoof-Tree,A,B,C,"  , score the slow, voiceless hours With unrebounding stroke. All round about Green milkweed rankly thrives, and golden-rod Sprouts from his prostrate heart in fine-poised grace Of haughty"
62,1892,FIC,Poems,A,B,C,"  The gentian's bluest fringes Are curling in the sun; In dusty pods the milkweed Its hidden silk has spun. The sedges flaunt their harvest, In every meadow"
43,1896,MAG,Atlantic,A,B,C,"  where Craigie Street now turns off from Brattle Street, there was a clump of milkweed, where every day there was some new variety of spotted ladybird (coccinelict or"
18,1900,FIC,VoicePeople,A,B,C,"  noise beneath the leaves of coarse mullein plants or the slender, unopened pods of milkweed, the puppy made sudden desperate skirmishes into the tangled pathside, pointing ineffectually at"
11,1901,NF,WildFlowers,A,B,C,"  ; and although the botanists have now removed its family one step away, the milkweed butterflies, especially the Monarch (Anosia plexippus), ignoring the arbitrary dividing line"
22,1901,NF,WildFlowers,A,B,C,"  hoods in wet places. Its leaves are lance-shaped or oblong-lanceolate, whereas the purple milkweed' s leaves are oblong or ovate-oblong. This is a smooth plant; and"
26,1901,NF,WildFlowers,A,B,C,"  Both plants bear erect, rather slender, tapering pods. # The POKE or TALL MILKWEED (A. exaltata - A. phytolaecoides of Gray) may attain a height of six"
37,1901,NF,WildFlowers,A,B,C,"  or more pollinia in its stigmatic cavities. # Dr. Kerner thought the milky juice in milkweed plants, especially abundant in the uppermost leaves and stems, serves to protect the"
49,1901,NF,WildFlowers,A,B,C,"  certain structural resemblances in the flowers, one might guess this plant belonged to the milkweed tribe. Formerly it was so classed; and although the botanists have now removed"
55,1901,NF,WildFlowers,A,B,C,"  doubtless owe their lives to it. Among the "" protected "" insects are the milkweed butterflies and their caterpillars, which are provided with secretions that are distasteful to birds"
59,1901,NF,WildFlowers,A,B,C,"  was considered poisonous to dogs; and we also know that all the tribe of milkweed butterflies are provided with protective secretions which are distasteful to birds and predaceous insects,"
64,1901,NF,WildFlowers,A,B,C,"  # Like the dandelion, thistle, and other triumphant strugglers for survival, the milkweed sends its offspring adrift on the winds to found fresh colonies afar. Children delight"
93,1901,NF,WildFlowers,A,B,C,"  of course, other insects not adapted to them are visitors - is the PURPLE MILKWEED (A. purpurasceus), whose deep magenta umbels are so conspicuous through the summer"
94,1901,NF,WildFlowers,A,B,C,  of the milkweeds that Professor Robertson has. # Better than any written description of the milkweed blossom' s mechanism is a simple experiment. If you have neither time nor
98,1901,NF,WildFlowers,A,B,C,  drawn out to an unusually long point. # One may always distinguish the low-growing FOUR-LEAVED MILKWEED (A. quadrifolia) from its relatives of ranker growth by its general air of
99,1901,NF,WildFlowers,A,B,C,"  feed. # COMMON MIIKWEED or SILKWEED (Asclepias Syriaca; A. cornuti of Gray) Milkweed family # Flowers - Dull pale greenish purple pink, or brownish pink, borne"
57,1902,FIC,MrPatsLittleGirl,A,B,C,"  yellow butterflies along the road told it, so did the bursting pods of the milkweed, and the golden-rod and asters, wreathing the meadows in royal colors. The"
91,1904,MAG,Atlantic,A,B,C,"  uses that we I; now not flow an Indian helps himself with fibre of milkweed, or withe-bush, or Wild hemp, or root of spruce, black or"
20,1906,MAG,Harpers,A,B,C,"  lumbermen had had camps or "" landings, "" the misty pink-purple blossoms of the milkweed poured a wild sweetness upon the air. In a shallow run near the shore"
12,1907,NF,ThreeAcresLiberty,A,B,C,"  nettle, pokeweed, pigweed or lamb' s quarters, black mustard. Young milkweed is better than spinach, and also makes an excellent salad. Probably all the"
40,1907,NF,ThreeAcresLiberty,A,B,C,"  stinging nettle, pokeweed, pigweed or lamb's quarters, black mustard. Young milkweed is better than spinach, and also makes an excellent salad. Probably all the"
35,1915,FIC,Police!!!,A,B,C,"  take them! "" he yelled; "" and you left me a bunch of milkweed butterflies' eggs! Give me my eggs or I shall violently assault you!"
70,1915,FIC,LPMEndGreatWar,A,B,C,"  polishers and a Sunday School teacher, while the Virginia creeper and the North Carolina milkweed twined about it to make nests for the Dove of Peace. "" "" No"
15,1918,FIC,MyÁntonia,A,B,C,"  wire fence, in the long grass, I saw a clump of flaming orange-colored milkweed, rare in that part of the State. I left the road and went"
7,1919,FIC,WinesburgOhioGroup,A,B,C,"  Take milkweed now, "" he cried. "" A lot might be done with milkweed, eh? It's almost unbelievable. I want you to think about it"
28,1919,FIC,WinesburgOhioGroup,A,B,C,"  leaned over, listening -- absorbed, fascinated. Joe Welling again talked excitedly. "" Take milkweed now, "" he cried. "" A lot might be done with milkweed,"
1,1921,FIC,HerFathersDaughter,A,B,C,"  from the mesquite and the incense plant. She knew she could from the willow milkweed; and under the head of "" sweets "" an appetizing jelly from manzanita."
63,1922,NF,ReignRubber,A,B,C,"  trees permits a milky sap to flow. It looks like the juice of a milkweed or a dandelion. When it dries, there is left a brownish mass of"
81,1922,FIC,DownMotherLode,A,B,C,"  Chinamen. The feeling began, presumably, through intermarriage and flourished like the celebrated milkweed vine of the foothills, which has been known to grow - I quote a"
69,1924,MAG,Atlantic,A,B,C,"  ? that were sipping deliriously at the puddles. Shining out by the roadside, milkweed showed what it could do in the tropics, where its flowers are half golden"
88,1931,FIC,ShadowsOnRock,A,B,C,"  go back to France? "" Her father was engaged with a plant of the milkweed kind, which the French colonists called le cotonnier. He did not look up"
21,1932,FIC,Invasion,A,B,C,"  of the child was a soft brown, and silky as the inside of a milkweed pod, the eyes dark, although still blurred curiously with blue, the iris"
38,1932,FIC,Harpers,A,B,C,"  Her fancy work lay scattered over the chest, and down on the floor the milkweed floss lay in a silvery heap on a paper, spotted with the seeds of"
