entry,year,genre,source,a,b,c,text
1,1992,NEWS,WashPost,A,B,C,"  things happen "" with its technology. # A Bell-financed report by conservative lawyer Phillip Mink said publishers are "" behaving like the 18th-century' Luddites' who once destroyed machinery"
2,1973,FIC,BillionDollarSure,A,B,C,"  lead. "" I want you, Stanley. Now! "" She flung the mink aside and pulled Rosen into the bedroom. Her urgency was so great that the"
3,1959,MAG,Harpers,A,B,C,"  youth after his thirty-eight years' imprisonment are extremely fine. The terror that strikes Mink when he sees how the prices of even the most everyday things have risen,"
4,1950,FIC,JoyStreet,A,B,C,"  new fur coat, even when Emily told him she thought it had better be mink this time -- mink was so practical, you could wear it for anything and"
5,1918,FIC,TaleDaddyLonglegs,A,B,C,  he went to sleep too. But he awoke with a great start when Peter Mink crawled out of his shelter about dawn. And at first Daddy couldn't imagine
6,1914,FIC,AdesFables,A,B,C,"  their own Coffee. Arrived at the Jumping-Off Place, they settled down among the Mink and Musk-Rats. Rufus hewed out and jammed together a little two by twice Cabin"
7,1952,MAG,NewRepublic,A,B,C,"  ... "" Dishpan Hands:... Pat doesn't have a mink coat. But she does have a respectable Republican cloth coat, and I al"
8,1875,NF,SquirrelsOther,A,B,C,"  once had a camp by a trout stream in the Catskills that we named "" Mink Camp, "" by reason of the number of minks that came every night as"
9,1979,FIC,PassionPlay,A,B,C,"  find her again, traveling with her mother and dressed in a long lustrous matronly mink coat but otherwise not much changed from the old Beryl. She was still fat"
10,1994,FIC,Postcards,A,B,C,"  table as though he had blindly hit piano keys with a length of pipe. Mink half-stood, the hair hung down over his eyes. "" What in hell are"
11,1881,FIC,NightsWithUncle,A,B,C,"  -- kerblump! W'en de creeturs git sorter settle, Brer' Possum en Brer Mink, dey up'n' low dat Brer Rabbit got sech a monst'us bad cole,"
12,1902,NF,WoodFolkAtSchool,A,B,C,"  sides of the nest and furnished savory pickings for a score of hungry prowlers. Mink came over from frog hunting in the brook, drawn by the good smell in"
13,1875,NF,SquirrelsOther,A,B,C,  had the supper he was in quest of. Illustration: MINK I followed a mink's track one morning upon the snow till I found where the prowler had overtaken
14,1945,MAG,Nation,A,B,C,"  lovely lady says, "" Now you see why I just had to? have mink, "" the sound becomes so loud that you go' beserk for a moment"
15,1881,FIC,NightsWithUncle,A,B,C,"  Brer Wolf holler out, he did: ""' Go' way, Brer Mink! Go' way! You ai nt no' quaintance er mine!'"
16,1909,MAG,Atlantic,A,B,C,"  "" long white trail "" 6330 miles to St. Louis, with his packs of mink, marten, lynx, and silver fox-skins loaded on a sled drawn by about"
17,1881,FIC,NightsWithUncle,A,B,C,"  Mink -- dat w'at it do; hit des looks turrible!' "" Brer Mink, sezee:' Looks er no looks, dar whar I got um."
18,1993,FIC,Ploughshares,A,B,C,"  would pass. # Christmas, 1962. His wife posed in her new ranch mink, the top of her head cut off, her eyes red from the flash"
19,1995,NEWS,Houston,A,B,C,"  he's doing a brisk business in boxy, four-pocket, white or dark brown mink jackets that reverse to cashmere, like sweaters, and sell for $ 1,995."
