entry,year,genre,source,a,b,c,text
1,1922,FIC,JudithGodlessValley,A,B,C,  for my little old sky pilot. And if they hurt him --! Old Moose groaned as Douglas involuntarily thrust the spurs home. There was a light in the
2,1826,FIC,LastMohicansANarrative1757,A,B,C,"  Where is the knave? "" bluntly interrupted the scout. "" He hunts the moose to-day, with his young men; and tomorrow, as I hear, they"
3,1948,MAG,Atlantic,A,B,C,"  of the northern lights. Civilization had trailed us to the wilderness. The original Moose Factory post was built two hundred and seventy-five years ago on Hayes Island, a"
4,1827,FIC,BuccaneersARomance,A,B,C,"  , laced tightly with deer gut, and on his feet were mocassins made of moose hide; his face and breast, the latter of which, was naked and"
5,2003,NF,Bioscience,A,B,C,"  We begin with a well-studied top-down food chain involving wolves (Canis lupus), moose (Alces alces), and vegetation in northern forest ecosystems. We contrast the"
6,1990,MAG,Sierra,A,B,C,"  where you can go to watch the moose feed -- guaranteed. Once, a moose and her calf strolled not five feet from my hiding place off the trail."
7,1917,FIC,LaughingBillHyde,A,B,C,"  a loose top, and that the interior was well-nigh filled with stout canvas and moose skin bags. Bill counted them; he weighed one, then he sat down"
8,1948,MAG,Atlantic,A,B,C,  will risk his life to bring a canoe within a few feet of a swimming moose and drops just as cheerfully to the level of a snake to make a portrait
9,1910,MAG,Harpers,A,B,C,"  time for hunting if I had, though I might have shot with ease a moose that first watched me from tho bank and then swam to within a few feet"
10,1899,FIC,WinterAdventures,A,B,C,"  some white folks. Big Tom says: "" I saw the tracks of a moose. I will give half of him, when I shoot him, "" he"
11,1909,FIC,YoungTreasureHunter,A,B,C,"  the sleds, donned showshoes, and were soon at the side of the dead moose. Mr. Baxter, Jerry and the colored man followed. "" Yo' suah"
12,1919,FIC,NomadsNorth,A,B,C,"  dark and silent places; they watched the otter at play; they came upon moose and caribou so frequently that they no longer feared or evaded them, but walked"
13,1936,MAG,Atlantic,A,B,C,"  guardian in charge of it who made the calls and settled the charges. The Moose River telephone system is a party line with eighteen telephones attached to it, so"
14,1921,FIC,GoldenSnare,A,B,C,"  his arm he remembered the time when he had hung up a thousand pounds of moose meat on cedars as thick as his leg, and the wolves had come the"
15,1922,FIC,SkyLineSpruce,A,B,C,"  to speak. And the silence was finally broken by the splashing feet of a moose, running through a little arm of the marsh that the forest hid from view"
16,1894,FIC,BeautifulJoe,A,B,C,"  with answering grunts would start off to come to it. If a young male moose was coming, he'd mind his steps, I can assure you, on"
17,1824,FIC,Hobomok,A,B,C,"  color of the sky when the sun goes down? Put him in the big moose there, "" pointing to the middle of the belt. "" Him like the"
18,1999,FIC,Pop!GoesWeasel,A,B,C,"   2684 It was a September to remember! In Moose County, 400 miles north of everywhere, plans were rife and hopes were high"
19,1858,MAG,Atlantic,A,B,C,"  sound of Joe's birch horn in the midst of all this silence calling the moose, ugh, ugh, oo-oo-oo-oo-oo-oo, and I prepared to hear a furious moose"
20,1877,MAG,Scribners,A,B,C,"  host had a favorite spot in the neighborhood, where he promised a choice of moose, caribou, deer, otter or beaver, but our time was so limited"
21,1988,FIC,Alaska,A,B,C,"  and that the extra dogs would provide hauling power to carry both him and the moose, but the Eskimo, always mindful of his dogs and the purpose of this"
22,1965,MAG,SatEvePost,A,B,C,"  not speak to Suss-kind or Melnick. "" All communications must be in writing. Moose, "" Susskind said on the phone "" I don't want to talk to"
23,1912,NEWS,NYT-Ed,A,B,C,"  Chairman of the Republican Convention at Chicago, told William Flinn, the new Bull Moose boss of Pennsylvania, that he had to behave himself, and ever since William"
24,1939,MAG,Time,A,B,C,"  definition was easier. At that seething high tide of trustbusting, muckraking, Bull Moose progressivism, the settlement house movement, the suffragette movement, the I.W.W., liberals"
25,1886,FIC,JosBoys,A,B,C,"  then this devilish temper of mine is more than I can manage. Fighting a moose or a buffalo is all right; but when you pitch into a man,"
