entry,year,genre,source,a,b,c,text,
1,1879,FIC,NightOff,A,B,C,"  n't help it, papa. Mr. Cassius made love so naturally. MUL. Mulberry (joining their hands). You see, I was right after all.",
2,1875,NF,AdventuresChevalier,A,B,C,"  is covered with palm trees, laurels of two kinds, plums, peaches, mulberry, apple, and pear trees of every variety. There are also five or",
3,1888,MAG,NorthAmRev,A,B,C,"  Ohio, the factories of New England, the lumber camps of Michigan, or Mulberry street, New York, to find a class of beings that are far from",
4,1867,FIC,CameronPridePurified,A,B,C,"  feeling as she thought of Silverton, and the plain tea-table, graced with the mulberry set instead of the costly china before her. Never had Katy felt so embarrassed",
5,1907,NF,ThreeAcresLiberty,A,B,C,"  lack of food, as the worm thrives best on the leaf of the white mulberry tree. Until a substitute is found, it will be necessary therefore to set",
6,1944,FIC,DeadWorld,A,B,C,"  personal secretary. "" He turned to Marian. "" I think you remember Miss Mulberry. She was a rather grim old girl, and I doubt that even she",
7,1880,FIC,BricksWithoutStraw,A,B,C,  XXXI. A LIFE FOR A LIFE. It was a time of struggle at Mulberry Hill. Love and death fought for the life of little Hildreth Le Moyne.,
8,1853,FIC,Virginalia,A,B,C,"  look through the boughs up at me; And shot with my Cross-bow -- my Mulberry Cross-bow, The Robins that perched on the boughs near the Gate. Ah!",
9,1896,NF,PrehistoricTextile,A,B,C,"  they are clothed from the waist to the ankles with a fringe of threads of mulberry bark, fastened to a band Illustration: BUREAU OF ETHNOLOGY THIRTEENTH ANNUAL REPORT PL",
10,1880,FIC,BricksWithoutStraw,A,B,C,"  after thanking his companion for a pleasant hour, and being invited to call at Mulberry Hill whenever occasion might serve, the two men parted, each with pleasant impressions",
11,1879,FIC,NightOff,A,B,C,  . -- House-jacket and cap. JACK. Business suit; derby hat. LORD MULBERRY. Heavy clothing; large travelling coat; muffler; fur gloves; sealskin cap,
12,1928,MAG,NatGeog,A,B,C,"  he brought in new varieties of grain, fruit, and vegetables. He planted mulberry trees for silk culture and a vineyard for wine. In his youth he fell",
13,1954,FIC,LoveIsEternal,A,B,C,  it as a second home. Some of his happiest hours had been spent at Mulberry. He loved the view of the river from the room in which he always,
14,1966,NEWS,NYT-Reg,A,B,C,"  Gennaro in Lower Manhattan, where they were warmly greeted as they moved along crowded Mulberry Street. Chat With Spectators Mr. O'Connor and his running mates stopped often to chat",
15,1902,FIC,CaliforniaGirl,A,B,C,"  of the perfume of flowers. The birds were warbling their sweetest notes in the mulberry and walnut trees, and the hum of the bees were heard around the flowers",
16,2003,NEWS,Atlanta,A,B,C,"  p.m. Jan. 15 and 23. $10. # * GRAND OPERA HOUSE. 651 Mulberry St., Macon. 478-301-5470, www2.mercer.edu/thegrand. (Note: See the Sound Check section",
17,1943,FIC,HumanComedy,A,B,C,  three years old that day we went past the office on our way to the mulberry grove. Ned was standing in the doorway as we came down the path.,
18,2007,NEWS,Atlanta,A,B,C,"  golf or baseball, or take a swim, indoors or out. # Little Mulberry Park in Auburn offers the most room to roam and includes trails for people and",
19,1897,NEWS,NYT-Reg,A,B,C,  Street 2 East 67th Street... 5 Charles Street.1 East 88th Street... 4 Mulberry Street 8 East 104th Street.. 5 Eldridge Street 5 East 126th Street.. 3,
20,1879,FIC,NightOff,A,B,C,"  things. (Aloud.) Excuse me, but I really -- MUL. Mulberry (pausing in the act of disrobing). You don't remember me?",
21,1891,NEWS,NYT-Reg,A,B,C,"  screaming across the street into the provision store of Augustus Ferret!, at 84 Mulberry Street. He made his way into the back room, where he fell dead",
22,1913,FIC,OPioneers!,A,B,C,"  being who took from her all her bodily weariness. PART IV. The White Mulberry Tree I The French Church, properly the Church of Sainte-Agnes, stood upon a",
