entry,year,genre,source,a,b,c,text
1,1822,FIC,OdofriedeOutcast,A,B,C,"  tears are ever warm -- Where the spirits shriek in horror, Where the deadly nightshade's growing, Where the lone heart nought can borrow, To quench the tear"
2,1827,FIC,Fratricide,A,B,C,"  It seems almost too soon to mow it down. Marc. Marchesa The deadly nightshade, can you crop too soon, Or other poisonous shrubs, which taking root"
3,1836,FIC,PoorRichManRich,A,B,C,"  , Harry, "" said Susan May, looking up from weaving a wreath of nightshade that grew about them. "" What do you guess, Susy? "" """
4,1836,FIC,PoorRichManRich,A,B,C,"  and her sister, and bound over Charlotte's pale forehead the wreath of ominous nightshade. "" Despise money,' Morris, I would do any thing in the"
5,1844,FIC,Ximena,A,B,C,"  dust; Even Hope shall lose her song and sunny smile, And twine a nightshade wreath around his brow. No grateful voice shall haunt his musing hours, Telling"
6,1845,FIC,MargaretATaleReal,A,B,C,"  myrtle, rose, thyme, white jasmin, white poppy, bluebell, bittersweet nightshade, acacia and eglantine; and spun round and round in silken silence. By"
7,1845,FIC,WesternClearings,A,B,C,"  . So, in silence and secrecy grew this baleful hatred! as the deadly nightshade becomes more intensely poisonous when sheltered from the sun-light and the breeze. Imagination is"
8,1845,FIC,ForestLeaves,A,B,C,"  , and deep sad sighs Were breathing round, her like the atmosphere Which noxious nightshade gathers round her bower. -- Her ample robe, which had been purely white"
9,1846,FIC,ForestMinstrel,A,B,C,"  present hours; Blending low wailing notes with Hope's sweet song, And twining nightshade with all Memory's flowers, Yet still they walk beside us. Still we"
10,1847,FIC,LovesSacrifice,A,B,C,"  Laf. Paul Lafont Aside. Hm! Is there no aconite -- no deadly nightshade -- No arsenic -- no henbane -- no quick drug, To poison the whole"
11,1850,FIC,ScarletLetter,A,B,C,"  blasted spot, where, in due course of time, would be seen deadly nightshade, dogwood, henbane, and whatever else of vegetable wickedness the climate could produce"
13,1856,FIC,ErnestLinwood,A,B,C,"  , among which I could distinguish the deadly bloom and sickening odor of the nightshade. There was a rock covered with the brightest, richest covering of dark green"
14,1856,FIC,PoemsMiscellanies,A,B,C,"  God above or man below. To blight that hero's laurel-crown, Her deadly nightshade on she threw, And round the stars of his renown, A dark and"
15,1860,FIC,Areytos,A,B,C,"  by storm and time; The flowers all withered, and in their place Grew nightshade, and hemlock, and weeds of ill; And she, the so beautiful"
16,1860,FIC,SirRohansGhost,A,B,C,"  moment returned with an armful of white raspberry-blossoms, and long wreaths of the purple nightshade, and heaped them in a large vase upon the sideboard. "" A bush"
17,1860,FIC,SirRohansGhost,A,B,C,"  , "" responded Sir Rohan, and, absently tearing off a spray of the nightshade, he presented it to her, saying, "" It agrees well with the"
18,1860,FIC,SirRohansGhost,A,B,C,"  room, humming in a low key to herself. As she walked, the nightshade in her hair emitted a heavy fragrance, and having flung it down, she"
19,1861,NF,BookHouseholdManagement,A,B,C,"  2220 Room, the 2208 Heart, palpitation of the 2646 Henbane, hemlock, nightshade, and foxglove 2664 Herbs, to dry for winter use 445 Powder of,"
20,1861,NF,BookHouseholdManagement,A,B,C,"  2649 Syrup of poppies and Godfrey's cordial 2663 Treatment after taking henbane hemlock, nightshade, or foxglove 2664 Polish tartlets 1320 Pomatum, an excellent 2256 Pork, carving"
21,1863,MAG,ContMonth,A,B,C,"  save us from stagnation. It is the cold spirit of routine which is the nightshade of our nature. It sits upon men like a blight, blunting their faculties"
22,1863,MAG,Atlantic,A,B,C,"  There, one whose voice was venomed mel-ody Sat by a well, under the nightshade bowers: The breath of her false mouth was like faint flowers; Her touch"
23,1864,FIC,Moods,A,B,C,"  bona fide sugar-plums and I'll take them; but arsenic, mercury, and nightshade are not to my taste. "" "" Would you feel insulted if I ask"
24,1865,MAG,Atlantic,A,B,C,"  them that popular plant, the potato, though it has the blood of the nightshade in its veins. But these may be made moderately poisonous by putting them into"
25,1868,FIC,JackCadeCaptain,A,B,C,"  most foul murder! Lacy. Lacy His father's fate, Rooted, like nightshade, in the stripling's heart, And angered o'er his brow with sterner thoughts"
26,1869,FIC,WomanWhoDared,A,B,C,"  quarter? Keep a carriage? And is he in society? Such women Plant nightshade, and affect to wonder why The growth is not of lilies and carnations!"
27,1871,FIC,Wanderer,A,B,C,"  , Dreams of the time he shot the hippogriff Trooping about his plains heavy with nightshade; Or in his torrid swamps bestrode that beast, The ichthyosaur, and listens"
28,1872,MAG,Atlantic,A,B,C,"  may become poisonous by falling upon the wrong mental soil, and what seemed a nightshade in one mind unfold as a morning-glory in the other. -I thank God,"
29,1873,NF,OldportDays,A,B,C,"  grow great masses of wild-roses, and the simultaneous blossoms and berries of the gaudy nightshade. Or of those winding tracks that lead here and there among the flat stones"
30,1876,FIC,Ishmael InDepths,A,B,C,"  as the Father of Falsehood himself! When thorns produce figs, or the deadly nightshade nectarines; when eaglets are hatched in owls' nests and young lions spring from"
31,1879,FIC,Poems,A,B,C,"  , From the realms of Fairie brought. Thou shalt stain the dusky warp In nightshade wet with twilight dew; I, with streaks of morning gold, Will strike"
32,1882,FIC,Poems,A,B,C,"  ; Nor dreamed how soon the blight Of long-implanted seeds of care would throw Their nightshade flowers above the springing corn. Since then, full many a year hath risen"
