entry,year,genre,source,a,b,c,text,
1,2001,FIC,Ploughshares,A,B,C,"  against the trunk as he pushed it open. Then he moved out onto the oak limb, agile as the siamang monkeys Ella had seen at the zoo. He",
2,1833,NF,HistoryVegetable,A,B,C,"  with ice and snow in the long winter, are enough to destroy the stoutest oak, and quite sufficient to account for their short-lived duration. "" When the oak",
3,1849,FIC,WoodmanOtherPoems,A,B,C,"  And resting there after my thirst was quenched, Beneath the curtain of a civil oak, That muses near this water and the sky, I tried some names with",
4,2000,MAG,Antiques,A,B,C,"  to Peter Ormerod of Wyersdale Park, Scorton, Lancashire.25 Near the mantelpiece is an oak reclining chair made by Morris, Marshall, Faulkner and Company. Designed by Philip",
5,2002,MAG,GoodHouse,A,B,C,"  Web site, www.ccare.hearst mags.com; or by mail at P.O. Box 7186, Red Oak, IA 51591-0186. Sidebar who is your hero? Sidebar "" It's corny",
6,1875,FIC,ElsiesWomanhood,A,B,C,"  in, laden with sweets from garden and lawn, and the rich carpet of oak and green was flecked with gold where the sunbeams came shimmering down between the fluttering",
7,1838,FIC,WreathWildFlowers,A,B,C,"  with the richest tapestry, and adorned with silver mirrors, couches and footstools of oak, inlaid with gold and covered with embroidered silk. In the centre of the",
8,1893,FIC,Poems,A,B,C,"  is bending his proud top, and now Among the nearer groves, chestnut and oak Are tossing their green boughs about. He comes! Lo, where the grassy",
9,1998,MAG,GolfMag,A,B,C,"  . The attractive holes are laid out over gently rolling terrain, with massive old oak trees wreaking havoc with even mildly off-line shots. Salado Creek comes into play on",
10,1832,MAG,NorthAmRev,A,B,C,"  growth from the acorn is exceedingly slow. We have cultiva // ted the English Oak, which grows rapidly from the seed; and we suspect that this is one",
11,2001,FIC,ChurchLadiesNovel,A,B,C,"  censorious church maven, Miss Poole. "" Reverend Fraser needsthree teams for the Mount Oak All-Church Spring Troubles Tennis Tournament in July. "" That typo deserved typo hall of",
12,1987,NEWS,Chicago,A,B,C,"  Thursday through Sunday, "" said Western Open tournament director Peter de Young. The Oak Brook club, which was hit by big floods in 1982 and 1983, received",
13,1947,FIC,OneBasket,A,B,C,"  and for years she had ridiculed him. She and Eugene had called him Sturdy Oak because he was always talking about his strength and endurance, his walks, his",
14,2009,FIC,TemporalVoid,A,B,C,"  thunderbolt echoed across the dome. One of the huge lower boughs on a two-hundred-year-old oak tree split open close to the thick trunk, and the bough crashed down.",
15,1995,FIC,Ploughshares,A,B,C,"  hands held a translucent switch which was connected to a wire that ran along the oak baseboards to the front door. "" Where are my funds? "" she asked",
16,1834,FIC,AnOutlineSketch,A,B,C,"  revolve the rattling wheels. The setting sun reveals the tall groves, the great oak, the lawns, the meadows, the fountains. "" My mother! """,
17,1990,FIC,SouthernRev,A,B,C,"  . # This is what brought me to the slump of grief against the live oak in my front yard. I leaned there, and the time passed, and",
18,1867,NF,OurCommonInsects,A,B,C,"  is closely allied to the Polyphemus moth, and its caterpillar also feeds on the oak. Its silk is said to be quite brilliant, but a little coarser and",
19,1833,NF,HistoryVegetable,A,B,C,"  shipbuilding than when the trees are close together. In thickly planted groups, the oak will reach an elevation of eighty or a hundred feet before it begins to decay",
20,2002,FIC,Roscoe,A,B,C,"  made for moneyed creatures and small boys. The three walked the virgin woods of oak and maple and birch and hemlock and white pine, they fished the pristine waters",
21,1995,FIC,FantasySciFi,A,B,C,"  trawler, white paint flaking from its cedar hull, green trim similarly chipping off oak railings. Its deck was scuffed, and mottled with thirty years' accretion of",
22,1985,FIC,WishsongShannara,A,B,C,"  and thrusting the beast back until it came to a jarring halt against a great oak. Astonishingly, the Jachyra was back on its feet almost at once. """,
23,1846,FIC,PoeticalWritings,A,B,C,"  branches creaked and swayed But they bent not to the blast, For the stout oak tree, where centuries played Was sturdy to the last. But the sapling had",
24,1833,NF,HistoryVegetable,A,B,C,"  oak, and a native of India, it is used in ship-building like the oak, and has some resemblance to it in its timber. It is a tree",
25,1952,MAG,Time,A,B,C,"  : "" Listening to it, you could see the pile growing. "" # Oak Ridge's local music critic found some of it "" rather repetitious. But then",
26,1950,FIC,WorldEnoughTime,A,B,C,"  any moment now like a flame to consume all his past life like a dead oak struck by lightning. Old Barron must live out the next month, the next",
27,1835,FIC,PartisanATaleRevolution,A,B,C,"  ? "" was the farther inquiry of the prisoner. He pointed to the huge oak that surmounted the spring, and at the same moment a corporal approached with a",
28,1869,NF,MemoirsExtraordinary,A,B,C,"  shown him a great number of ingots of pure gold, buried under a large oak in the neighbouring forest, all of which, and as many more as he",
29,1891,FIC,UnderTreesElsewhere,A,B,C,  is there for those who will listen; the mighty activities which feed the century-girded oak from the invisible chambers of air and the secret places of the earth are so,
30,2000,FIC,SouthernRev,A,B,C,"  flunking. In Nuclear Physics students perched high on bleachers and stared down at the Oak Ridge scientist onstage, whose accent was untranslatable to my ears. The Symbolic Logic",
31,1972,FIC,Augustus,A,B,C,"  ruthlessness, of cold dominance. Sean was like a waving blossom compared with an oak, and Bernadette despised Sean, who was now in Harvard and not doing excellently",
32,1996,MAG,NaturalHist,A,B,C,"  reason, like Carriere's serpents. This grove also included two specimens of English oak (Quercus robur) with the same twisting growth. The grove at Verzy also",
33,1901,NF,SecretWoods,A,B,C,"  that they used exactly the same paths, -- up the trunk of a big oak to a certain boss, along a branch to a certain crook, a jump",
34,1914,NF,AncientAlbemarle,A,B,C,"  importance. We may imagine the scene: Under the spreading boughs of a lordly oak, this group of men were gathered. Around them the dark forest stretched,",
35,1845,FIC,Pioneers,A,B,C,"  manner, to the spot. Mohegan was seated on the trunk of a fallen oak, with his tawny visage turned toward her, and his eyes fixed on her",
