entry,year,genre,source,a,b,c,text
1,1855,MAG,Harpers,A,B,C,"  a native of Africa, and the tiger of India; the ounce, the ocelot, the leopard, the lynx, and the cougar are more diffused, hut"
2,1855,MAG,Harpers,A,B,C,"  through a long life, did he entirely recover from the terrible encounter. The Ocelot is the tiger-cat of Peru and Mexico. It is beautifully marked, and is"
3,1873,FIC,FairGodTheLast,A,B,C,"  right hand completed his equipments, and served him in lieu of staff. An ocelot, trudging stealthily behind him, was his sole companion. In the course of"
4,1873,FIC,FairGodTheLast,A,B,C,"  of a strange civilization. So rapt was he that he did not observe the ocelot come and lay its head in his lap, like a dog seeking caresses."
5,1873,FIC,FairGodTheLast,A,B,C,"  rather a king's courier, "" suggested another. "" Is not that an ocelot at his heels? "" asked a third. "" That it is. Bring"
6,1873,FIC,FairGodTheLast,A,B,C,"  fruit the wayfarer helped himself. A running conversation was meantime maintained. "" My ocelot? The story is simple; for your sakes, good friends, I wish"
7,1873,FIC,FairGodTheLast,A,B,C,"  in the city to-morrow. The gods go with you! "" Whistling to his ocelot, the adventurer quickened his pace, and was soon far in the advance."
8,1873,FIC,FairGodTheLast,A,B,C,"  boy. He set one foot in the vessel, but instantly retreated -- an ocelot, crouched in the bottom, raised its round head, and stared fixedly at"
9,1873,FIC,FairGodTheLast,A,B,C,"  his shoulders. "" But -- Down, fellow! "" he cried to the ocelot, whose approaches discomposed the prince. "" I was going to say, """
10,1873,FIC,FairGodTheLast,A,B,C,"  to go down the shaded vales free-footed and fearless, stalking deer or following his ocelot. Ah, what is ambition gratified to freedom lost! Unused to the confinement"
11,1873,FIC,FairGodTheLast,A,B,C,"  identified it. In all his hunter's experience, he had never seen an ocelot so large. The screams he had heard were now explained, -- the monster"
12,1873,FIC,FairGodTheLast,A,B,C,  still gazed thoughtfully over the wall of the tank. Holy Huitzil'! the ocelot was creeping upon the monarch! The flash of understanding that revealed the fact to
13,1873,FIC,FairGodTheLast,A,B,C,"  such a danger. An impulse aside from native chivalry urged him to confront the ocelot; but under the circumstances, -- and he recounted them rapidly, -- he"
14,1873,FIC,FairGodTheLast,A,B,C,"  knees he crept out into the walk. The moment he became exposed, the ocelot stopped, raised its round head, and watched him with a gaze as intent"
15,1873,FIC,FairGodTheLast,A,B,C,"  call. Verily, the hunter had become the king! A moment after the ocelot lowered its head, and leaped. The Tihuancan had barely time to put himself"
16,1873,FIC,FairGodTheLast,A,B,C,"  . "" It can not be; an assassin would not have interfered with the ocelot. Take up the knife, and follow me. "" Hualpa obeyed. On"
17,1873,FIC,FairGodTheLast,A,B,C,"  was close by; and while waiting a chance to escape, I saw the ocelot creeping upon you; and -- and -- the great king is too generous to"
18,1873,FIC,FairGodTheLast,A,B,C,"  my lord, and at such peril! Ah, you should have seen the ocelot when taken from the tank! The keepers told me it was the largest and"
19,1874,NF,WesternWorld,A,B,C,"  irritated, it does not hesitate to attack human beings. The tiger-cat, or ocelot, which much resembles a common cat, but is considerably larger, is also"
20,1886,FIC,LastPeterkins,A,B,C,"  the hippopotamus, the jaguar; there was the leopard, the panther, the ocelot. Mrs. Dyer put her hands up to her ears in dismay. She could"
21,1897,FIC,ChoirInvisible,A,B,C,"  kindred the royal tiger and the fatal leopard of the Old World, the beautiful ocelot and splendid unconquerable jaguar of the New, is now rarely found in the Atlantic"
22,1922,FIC,BlackPhantom,A,B,C,"  But this stranger actually threatened him. In resentment he rushed blindly forward until the ocelot, for such it was, also charged and bowled him over with a swift"
23,1922,FIC,BlackPhantom,A,B,C,"  of distress and charged out of the dense cover with a snarl, but the ocelot had anticipated her coming and in a graceful leap to one side disappeared in the"
24,1922,FIC,BlackPhantom,A,B,C,  and to reassure himself on that point he lay still as death when a spiteful ocelot came into view not a dozen paces away. So soon as this prowler on
25,1939,MAG,Time,A,B,C,"  make himself look more inscrutable. Alexander was imaginative, athletic, quick as an ocelot; Stalin is practical, ponderous, deliberate as a bear. Only similarity:"
26,1947,MAG,Atlantic,A,B,C,"  if we take a series of closely related animals, such as the cat, ocelot, puma, and lion, we fmd that their brain weight is proportional to"
