entry,year,genre,source,a,b,c,text
1,1820,NF,JournalsTwoExpeditions,A,B,C,"  , with long beards: there were a few cloaks among them made of the opossum skin, and it was evident that some of the party had been at Bathurst"
2,1820,NF,JournalsTwoExpeditions,A,B,C,"  of us, but came boldly up: they were covered with cloaks made of opossum skins; their faces daubed with a red and yellow pigment, with neatly worked"
3,1820,NF,JournalsTwoExpeditions,A,B,C,"  mean time he threw down to us the game he had procured (a ring-tailed opossum), making signs for us to take it up: in a short time"
4,1820,NF,JournalsTwoExpeditions,A,B,C,"  , and nets for the head, with thread formed of the sinews of the opossum's tail for making their cloaks. The men belonging to the camp were heard"
5,1827,FIC,Novels,A,B,C,"  which, for a time, I hoped was no more than a raccoon or opossum; but which presently appeared to be a panther. His grey coat, extended"
6,1829,MAG,NorthAmRev,A,B,C,"  , who regards with tenderness her humblest offspring. The mice and rats, and opossum, who might find it difficult to ascend the plain surface of the trunk,"
7,1831,MAG,NewEngMag,A,B,C,  it is seldom that they have not in larder the flesh of a raccoon or opossum. The allowance of food to an adult is a peck of corn weekly;
8,1832,FIC,SwallowBarnASojourn,A,B,C,"  the two ladies. "" It was as good as a dozen dogs treeing an opossum, "" said Ralph Tracy, who made up a fourth in the party."
9,1832,FIC,SwallowBarnASojourn,A,B,C,"  , whether he, as an old sportsman, thought it lawful to hunt an opossum at midsummer. This interrogatory set the old negro to chuckling, and afterwards,"
10,1832,FIC,SwallowBarnASojourn,A,B,C,"  let alone until their appropriate time. This, however, was a large male opossum, that was known to be engaged in nefarious practices; and, moreover,"
11,1832,FIC,SwallowBarnASojourn,A,B,C,"  at the foot of the gum tree, in order that he might prevent the opossum from retreating into the hollow; and then suggested that we should conceal ourselves under"
12,1832,FIC,SwallowBarnASojourn,A,B,C,"  him now. "" This quick outcry was occasioned by the actual apparition of the opossum, almost at the old man's feet. The little animal had been lying"
13,1832,FIC,SwallowBarnASojourn,A,B,C,"  he gained the point above mentioned, he recommenced barking with unwearied earnestness. The opossum began now to prepare himself for his last desperate effort. An active enemy in"
14,1832,FIC,SwallowBarnASojourn,A,B,C,"  earth; and thus prevented him from inflicting a wound upon his captive. The opossum, instead of assaying a fruitless effort to escape, lay upon the turf,"
15,1832,FIC,SwallowBarnASojourn,A,B,C,"  to know that you were engaged in the refined and elegant amusement of hunting an opossum all night, with a band of negroes. "" "" Who was so indiscreet"
16,1832,FIC,SwallowBarnASojourn,A,B,C,"  , I assure you! Nothing takes off the load from the mind like an opossum hunt. "" "" And then, last night, "" resumed Bel, """
17,1832,MAG,NewEngMag,A,B,C,"  with small conical tubercies, like those on the bottom of the foot of the Opossum, which appear to give pain when compressed; it is supposed that they are"
18,1832,MAG,NewEngMag,A,B,C,  mischievous as the Monkey; agile as the Cat; and more curious than the Opossum. Its anterior digits are inserted in nooks and crannies that would exclude the tongue
19,1834,FIC,GuyRiversATale,A,B,C,"  his shoulders; and thus laden, he yet, with the agility of the opossum, her young ones in her pouch, climbed up a tree which stood a"
20,1834,FIC,ProseSketchesPoems,A,B,C,"  They were the last we saw; the same day we killed and ate an opossum. On the 22d, Gillet killed his horse, and became my companion on"
21,1835,FIC,HawksHawk-Hollow,A,B,C,"  I should have picked him up, rolled up in a ball, like an opossum; which is a job for a black man, and not a captain of"
22,1837,NF,AnAccompaniment,A,B,C,"  , red, black, dusky, and barking, or prairie-wolf. Of the opossum, found from Pennsylvania to Brazil, there are several species, of which the"
23,1837,NF,AnAccompaniment,A,B,C,"  to Brazil, there are several species, of which the Virginia, or common opossum, is well known in the United States; also, the skunk, marmots"
24,1839,MAG,NorthAmRev,A,B,C,"  Admonished by this failure, Waupee disguised himself, the next day, as an opossum; but this animal appears to have been an object of suspicion even in that"
25,1839,MAG,NorthAmRev,A,B,C,"  and ate up all the fat and choice pieces, like the bear and the opossum; while the moose, the martin, and others, the late corners,"
