entry,year,genre,source,a,b,c,text
1,1818,MAG,NorthAmRev,A,B,C,"  - the Scarlet Tanager, at once brilliant in plumage and gifted in song; - the Oriole, hardly less in either; -- the Bay-winged Bunting, the Song and Field"
2,1818,MAG,NorthAmRev,A,B,C,  darting like a flash of fire among the thick leaves! It is the GOLDEN ORIOLE. What a beauty! Can any sunset cloud surpass the dazzling brilliancy of his
3,1818,MAG,NorthAmRev,A,B,C,"  -- a call which I have no doubt his doxy understands. // But the Oriole's nest is an object worth your curiosity, -- a piece of architecture that"
4,1818,MAG,NorthAmRev,A,B,C,"  with the fact, that a familiarity even with man has its dangers. The Oriole is no fool; he has no notion of raising a brood of young,"
5,1818,MAG,NorthAmRev,A,B,C,  with tow and hair in a most workmanlike fashion. It is necessary for the Oriole to have good stout strings to begin the frame work of the nest with;
6,1845,FIC,MargaretATaleReal,A,B,C,"  ' wow wow wow -- O shame Molly, I am going to rob an oriole's nest, I would'nt go to Meeting. "" She entered the Mowing;"
7,1846,FIC,Poems,A,B,C,"  , blushes, and warbles, -- a Nonpareil too! There the Lory and Oriole glance on gay pinion, There the regal Magnolia's snow-banners wave: --'"
8,1846,FIC,MiscellaneousWritings,A,B,C,"  of strength and peace to cheer life's slow decline...... There the bright oriole built his airy home, Pendent from slender bough, beyond the hope Of truant"
9,1847,FIC,AroundTheTea-Table,A,B,C,"  cactus in his buttonhole; and Audubon set a cage of birds on the table -- Baltimore oriole, chaffinch, starling and bobolink doing their prettiest; and Christopher North thumped his"
10,1850,FIC,RichardEdneyGovernors,A,B,C,"  perish, -- I die! "" answered Junia. "" The voice of the oriole has been heard. My happiness is complete when yours begins. I am called"
11,1853,FIC,LittleFernsFor,A,B,C,"  ; she liked to look up in the tall trees, and see the bright-winged oriole dart through the branches; she liked to watch the clouds, and fancy that"
12,1854,FIC,Walden,A,B,C,"  and a fox to bark in the night. Not even a lark or an oriole, those mild plantation birds, ever visited my clearing. No cockerels to crow"
13,1854,FIC,PoeticalWorks,A,B,C,"  ), 1814-1877: ADDRESS TO THE ORIOLE. from The poetical works (1854) Oriole, bright oriole! Stay, and that clear note prolong While each fibre of"
14,1854,FIC,PoeticalWorks,A,B,C,"  : ADDRESS TO THE ORIOLE. from The poetical works (1854) Oriole, bright oriole! Stay, and that clear note prolong While each fibre of my soul Throbs"
15,1854,FIC,PoeticalWorks,A,B,C,"  that were silent long; In a rich suit of gold and black, The Oriole hath wandered back, To weave her hammock light; And the brown thrush,"
16,1855,FIC,WorksEdgarAllan,A,B,C,"  cylinder with a ring at top, revelled a mocking bird; in another an oriole; in a third the impudent bobolink -- while three or four more delicate prisons"
17,1855,FIC,NestInHoneysuckles,A,B,C,"  look in upon them, and, now and then, their cousin, the oriole, comes, clad in the richest golden plumage, and sings them a song"
