entry,year,genre,source,a,b,c,text
534,1821,NF,VerminDestroyer,A,B,C,"  directed, it will draw him the more easily to the bait To take an Otter. Otters are great destroyers of fish, and will travel in a night ten"
806,1821,MAG,NorthAmRev,A,B,C,"  , to the eastern confines of Styria. Round Top, and the Peaks of Otter would dwindle into mole-hills by the side of Mont Blanc, Monte Rosa, the"
145,1822,MAG,NorthAmRev,A,B,C,"  more important. But we suspect a deeper design than the monopoly of a few otter skins, for which the interests of the fur company are made a convenient cover"
149,1822,MAG,NorthAmRev,A,B,C,"  It is well known to the Russian fur company, that nearly all the sea otter skins, and most of the other valuable furs, are procured north of the"
518,1822,MAG,NorthAmRev,A,B,C,"  fifteen of which were Americans, and one English. Upwards of eighteen thousand sea otter skins, besides other furs, were collected for the China market in that year"
562,1822,MAG,NorthAmRev,A,B,C,"  the *American vessels alone. Since that time the trade has declined, the sea otter having become scarce, in consequence of the impolitic system pursued by the Russians,"
8,1823,NF,ViewHebrewsExhibiting,A,B,C,"  bored in the middle oi it, through which he puts the ends of an otter skin strap, and fastens a buck horn white button to the outside of each"
201,1823,NF,ViewHebrewsExhibiting,A,B,C,"  breast plate is made of a white conch shell, through which two straps of otter skin pass in two perfo rations; while white buttons of buck's horn are"
289,1823,MAG,NorthAmRev,A,B,C,"  a work of this description. The great defect of this play, on the otter hand, is that the principal character is a conception wholly false and unnatural."
955,1823,NF,ViewHebrewsExhibiting,A,B,C,"  my suppliants (or a people who are my worshippers,) shall bring mine otter ing, even the daughter of my dispersed, (as the verse should be"
980,1823,FIC,WildernessBraddocks,A,B,C,"  good thought, father; "" replied Paddy, "" I have a package of otter and minx skins, that I wish immediately conveyed to Gist's. Father,"
819,1828,FIC,ChurchInWilderness,A,B,C,"  Spread its blue sheet, that flashed with many an oar, Where the brown otter plunged him from the brake, And the deer drank -- as the light gale"
191,1830,MAG,NorthAmRev,A,B,C,"  the most spirited and pleasing is the one entitled Payton Skaht, or the White Otter, which we extract entire as a specimen of the author's manner. We"
523,1830,MAG,NorthAmRev,A,B,C,"  the war lath, none was more conspicuous than Payton Skab, or the White Otter. He belonged to the Yankton band. When he returned from the field with"
576,1830,MAG,NorthAmRev,A,B,C,"  be found there we will take down our lodge and move. "" The White Otter did as he was desired. His wife brought his beautiful black horse, which"
435,1831,FIC,AmericanCommon-place,A,B,C,"  Spread its blue sheet, that flashed with many an oar, Where the brown otter plunged him from the brake, And the deer drank -- as the light gale"
60,1832,MAG,NewEngMag,A,B,C,"  could do was to waddle about, and utter a very disagreeable squeak. The Otter can be taught to fisl* for his master, but the beaver can not."
443,1833,FIC,CrayonSketches [ed],A,B,C,"  ; and to which some such euphonious title as Big Elk, Buffalo, or Otter, is usually prefixed. Besides, America is not rich in recollections of the"
10,1835,FIC,AdventuresTimothy,A,B,C,"  that had closely wrapt, through the night, the head waters of the sluggish Otter, as they applied the string to the back of old Cyclops, and rattled"
712,1835,FIC,BrothersATaleFronde,A,B,C,"  Dunlap. 8vo. THE LIFE AND REMAINS OF EDWARD DANIEL CLARKE. By Rev. Daniel Otter, A.M. 8vo. ANNALS OF TRYON COUNTY; or, the Border Warfare of"
871,1835,FIC,Writings,A,B,C,"  No other robe by the band was worn, Save the girdles rude from the otter torn; End note: 2Kb Below, besmeared with sable stain, Above,"
787,1836,FIC,Tecumseh,A,B,C,"  To verdant hunting grounds repair -- where the huge buffalo -- the elk -- the otter -- nimble-footed deer, invite you to the chase. -- Bathe in silver streams"
845,1836,NF,AstoriaAnecdotes,A,B,C,"  man. The lodge would soon be crowded with Indians bringing bear, beaver, otter, and other skins. No one was allowed to dispute the prices fixed by"
923,1836,NF,StPierresStudies,A,B,C,"  ; as the whole amphibious race; for example, the white bear, the otter, the crocodile. In hot countries especially, where the effects of corruption are"
