entry,year,genre,source,a,b,c,text
1,1890,FIC,DelightMakers,A,B,C,"  it would happen. Yonder "" - - he points at the mountains -- "" I heard the owl, and I knew it meant what is now coming upon us. "" The"
2,1912,NF,MothsLimberlost,A,B,C,"  contrary, or to do the birds justice, when they had experiences with an owl the previous night, or with a hawk in the morning, and were restless"
3,1923,FIC,Play:AddingMachine,A,B,C,"  one is visible, but there are occasional sounds throughout: the hooting of an owl, the whistle of a distant whippoor-will, the croaking of a bull-frog, and"
4,1981,FIC,Stroll,A,B,C,"  it. I want to see you happy. "" | When the scream began Owl believed it was her own voice defending herself from the Flasher. Still? Again"
5,1969,FIC,ListenSilence,A,B,C,"  scream from a farther building, and at first I think, that's an owl in response to the first, but then I remember where I am and that"
6,1891,FIC,InitialStudies,A,B,C,"  and thick without, or disputed whether the last sound was the screech of an owl or the creak of a bough, or imagination only; and through this broad"
7,1980,FIC,RiddleyWalker,A,B,C,  He dint have no eyes he lissent all the time. When he heard the owl saying the sylents in his other voyce he heard the sylents swallering up the souns
8,1997,NEWS,SanFran,A,B,C,"  with seating for 1,700; restored century-old tasting room exudes history. Look for barn owl in palm tree by entrance. # Specialties: Reserve Chardonnay, Cabernet; late"
9,1839,FIC,BehemothALegend,A,B,C,"  surmounted with a clasp or circlet of silver and ornamented with the device of an owl hooting. The person of Kluckhatch was, as I have hinted, pigmean rather"
10,1901,NF,SecretWoods,A,B,C,  and goings of men who were masters of the woods kept fox and lynx and owl far away -- that he learned after a day or two. Only the mink
11,1956,FIC,DontGoNearTheWater,A,B,C,  a genius really. But he had about as much glamor as a stuffed barn owl. He just wasn't a character. Reporters at heart resent the absenceof glamor
12,1885,FIC,DrivenBackEden,A,B,C,"  I said, and by reading further we learned that the barred, or hoot owl, and the great horned owl, were deserving of a surer aim of Merton"
13,1922,FIC,JudithGodlessValley,A,B,C,"  face gave way to a smile. "" O Doug! Doug! You old owl! What's the matter with you? After all, it's good to"
14,1921,FIC,GraceHarlowesOverland,A,B,C,"  .' Interpreted freely, this means, in addition to the truth of the owl's wise assertion, that you have gathered all the ingredients of a calamity,"
15,2007,NF,AmericasCheapest,A,B,C,  about it and your pile of loot will really start to accumulate. // Wise Owl // A family of great horned owls inhabits the area around our home. We
16,1991,FIC,Play:PowerPipes,A,B,C,"  - ohWay - ya - ha, Way - ya - ha - yo. OWL MESSENGER I used to be a raving beauty.You can seeI'm growing older.I surely miss"
