entry,year,genre,source,a,b,c,text
1,1853,FIC,Virginalia,A,B,C,"  . Nursed in the wind-rocked cradle of the beach, I grew unharmed above the Panther's reach -- Beneath the Mighty Oaks whose stately ranks Now bristle on the Muschecheebee"
2,1970,MAG,Time,A,B,C,"  the black man. "" In Freddie Hampton's Door, a rendition of the Panther leader's bullet-splintered door bears a stamp of U.S. Government approval. # Into the"
3,1965,MAG,Time,A,B,C,"  design the first Volkswagen in 1936. He also had a hand in designing the Panther, Elefant and Tiger tanks that terrorized Europe in World War II, spent two"
4,1970,NEWS,CSMonitor,A,B,C,"  white radicals mired in intellectual discussions. But the conflicts which observers note within the Panther Party -- over whether or not to encourage alliances with whites, and whether to"
5,1883,FIC,HerMothersSecret,A,B,C,"  cat,' a' wolf,' a' tiger,' a' panther' or a' rhine-horse-o-rus,' "" said Le, laughing; "" but"
6,1945,FIC,MrTuttFindsWay,A,B,C,"  her eye. "" They've beaten us! "" she said. "" The Panther from Eastport is just off Fox Island, heading in here to take the Murches"
7,1891,FIC,FeastVirginsOther,A,B,C,"  In the wigwam of the spirits -- In the lodge of Nebe-naw-baigs. "" 24 Then spoke Panther to the Raven: "" On the tall cliff by the waters Wait and watch"
8,1887,FIC,ConfessionsCriticisms,A,B,C,"  together in death after the combat is over. In the former group, the panther, in springing upon the deer, had impaled its neck on the deer's"
9,1844,NF,KnickerbockerNew-,A,B,C,"  knew that flight would be vain, for what human being could outrun a hungry panther? She raised one alarm-whoop, and awaited her fate. At the loud,"
10,1961,FIC,Carpetbaggers,A,B,C,"  , remembering. The little one had grace, much grace -- natural like a panther. And the gun. Caramba! There had never been anything so fast."
11,1995,FIC,Mov:Panther,A,B,C,"  STREET - DUSK (MAGIC HOUR) Something's CHANGED in the neighborhood, the Panther presence seems to have given the street focus. Folks gather nearby, hanging enjoying"
12,1977,MAG,Time,A,B,C,"  Sellers, 51, zany comedian who plays the bumbling Inspector Clouseau in the Pink Panther movies; and Lynne Frederick, 22, a British actress; he for the"
13,1878,FIC,ForestKing,A,B,C,"  leaped from his leafy bed and fled into the forest with the speed of a panther. Mayall, seeing his retreating form, sprang to the Indian's guns and"
14,1839,FIC,MortonsHopeThe,A,B,C,"  and terrible roar reverberated through the cavern. It was a wild beast -- a panther probably, who was seeking shelter from the terrible storm. "" Presently, the"
15,1901,MAG,McClures,A,B,C,  hour a pebble in the path may cause the great racer to leap like a panther. At seventy miles an hour one can not hold to his seat without seizing
16,1981,MAG,NewRepublic,A,B,C,"  the same station. Only Donald Weems, who like Burns was then a Black Panther, was found guilty at that time. He escaped from prison in 1978 and"
