entry,year,genre,source,a,b,c,text
1,1942,FIC,RiversGlory,A,B,C,"  , wide-brimmed straw hats, others wearing a panache of vari-colored macaw, flamingo or parrot feathers. Now and then one of the raiders would stand up, scream somethingunintelligible"
2,1833,FIC,CrayonSketches [ed],A,B,C,"  a pert little creature, which has been taught to repeat certain words like a parrot, and drilled to imitate certain actions like a monkey, and is then stuck"
3,1876,FIC,SeaShore ASequel,A,B,C,"  "" "" Calhoun and cotton! "" "" Coal and codfish! "" shouted the parrot at the top of his voice. "" Catfish and coffee! "" -- """
4,1902,NEWS,NYT-Reg,A,B,C,"  she began to beg the firemen to rescue her pets -- a cat and a parrot. A fireman went up and brought them down, half dead. The fire"
5,1909,FIC,FashionableAdventures,A,B,C,"  them I think of Thomas. "" "" No, they're more like the parrot's -- they're claws.... That's why I'm marrying him."
6,1959,FIC,EmpireCity,A,B,C,"  , "" I can talk to these animals, too. I once had a parrot named Billy, and we used to understand each other fine. "" "" Is"
7,1921,FIC,CurlytopsTheir,A,B,C,"  belong to the man called Bill. "" They're burglars trying to get our parrot! "" quickly thought Teddy. "" I'm not going to let them have"
8,1975,FIC,Baroni,A,B,C,"  . "" The intersection was straight ahead. A large neon sign depicting a purple parrot spread more illumination on the parking lot opposite than the streetlights did. Even before"
9,1875,FIC,Infelice,A,B,C,"  upon my brow. To-night I have danced, laughed, chattered like a yellow parrot, ate, drank champagne, flattered, flirted, and fibbed, until I"
10,1937,FIC,IllMetByMoonlight,A,B,C,"  . "" His sparkling black eyes, shrewd and sharp and bright as an old parrot's, looked steadily into mine. "" It's absurd, isn't it"
11,1894,FIC,BeautifulJoe,A,B,C,"  up laughing, his face as red as a beet. "" It's the parrot, Joe! "" cried Ned. "" Look at her, you gaby."
12,1905,NF,NaturalHistory,A,B,C,"  Nevertheless, mutton chops have often been freely supplied to these birds when in the parrot house. The capacity for an entire change of diet gives the philosopher room """
13,2007,MAG,USNWR,A,B,C,"  six and differentiate colors and shapes, rendering him quite the overachiever -- for a parrot. Alex, an African Gray research parrot, died unexpectedly at 31 on September"
14,1862,FIC,Morgesons,A,B,C,"  Surrey, but she brought with her all her clothes, and a large green parrot, which her son had brought from foreign parts. Her name was Joy Morgeson"
15,1978,NEWS,Chicago,A,B,C,"  barracudas and occasional yellow stingrays to gather speckled moray eels, queen angelfish, bucktooth parrot fish, and a single porcupine puffer. "" By coining ourselves there's a"
16,2006,FIC,SpyThriller,A,B,C,"  method of detecting hostile vibrations. A tremor, a snapping twig, or a parrot's sudden shriek might herald the approach of a war party. Indian headhunters,"
17,1870,NF,VikramVampireClassic,A,B,C,"  him, a treasure more valuable than gold and silver: one Churaman, a parrot, who knew the world, and who besides discoursed in the most correct Sanscrit"
18,1981,FIC,WorldWithoutEnd,A,B,C,"  to paint, fields of daisies? "" "" Today! Today! "" the parrot screamed. "" The problem of avoiding emotional strain can only be cured by the"
19,1905,NF,NaturalHistory,A,B,C,"  trodden the Accipitrine path and deserted the innocent and frugivorous ways of most of the parrot tribe. Inasmuch as there are, or were, some ornithologists who regarded the"
20,2003,MAG,MotherJones,A,B,C,"  more leeway to experiment with better ways of providing services. But, notes Sharon Parrot of the nonpartisan Center on Budget and Policy Priorities, state and local governments could"
21,1960,FIC,WereFriendsNow,A,B,C,"  : ELLERY SHERLOCK: SUB-CIRCUIT REFERRAL: ELLERY SHERLOCK -- "" He sounded like a well-grooved parrot. Mandleco turned east, then south, then south-by-east, like a compass on"
22,1909,FIC,ThreeLives,A,B,C,"  Miss Mathilda did not like its scream. Baby was all right but not the parrot. But then Anna never really loved the parrot, and so she gave it"
23,1957,FIC,LighterThanYou,A,B,C,  of his inventions and linguistic hell breaks loose. He begins jabbering like a schizophrenic parrot reading a Sanskrit dictionary backward! I sighed and surrendered all hope of ever actually
24,1894,FIC,SelectPoems,A,B,C,"  "" "" Ah me! "" the sorrowing merchant said, "" That was my parrot's mate, Who died with grief to hear from me Her old companion's"
25,1930,FIC,YearsGrace,A,B,C,"  Well, I hope Sarah remembers it when you're out,' said Miss Parrot, with a sigh of resignation. Jane looked up from her sewing at Miss"
26,1937,MAG,SatEvePost,A,B,C,"  near Geneva. He took him along that day, but, unfortunately, that parrot -- and really one had to laugh at the thought -- got into a fight"
27,1974,MAG,Time,A,B,C,  ) 5th Division has been able to return to its traditional base area in the Parrot's Beak inside Cambodia. There it poses a constant threat to Tay Ninh.
28,1986,FIC,WieldingRedSword,A,B,C,"  "" Mym replied, annoyed. "" Prove it! Prove it! "" the parrot squawked. "" You birdbrain, don't you see me? "" | """
29,1880,FIC,Ben-HurTaleChrist,A,B,C,"  ? "" "" That it is a vast pity its inditer was not born a parrot -- in which case he would have been the most illustrious parrot of his race"
30,2008,NF,AlexAmpMeHowScientist,A,B,C,"  Guardian, wrote, "" America is in mourning. Alex, the African Grey parrot who was smarter than the average U.S. president, has died at the relatively tender"
31,1883,FIC,PecksBadBoyHis,A,B,C,"  Well, you'd a dide to see that woman look at me. The parrot cage was partly behind the window curtain, and they couldn't see it,"
32,1873,FIC,OldCountessThe,A,B,C,"  understand Italian, though he was a splendid musician, and repeated it like a parrot. Besides, what did Eliza know about Tasso, Petrarch, Dante, or"
33,1930,FIC,YearsGrace,A,B,C,"  , he swung back on the platform. Don't worry!' called Miss Parrot again, dragging little Steve to his feet. The children were all waving wildly"
34,1917,MAG,SouthAtlanticQ,A,B,C,"  point where it seemed to be theirs to reason why, | they but repeated parrot like arguments made ready for the occasion by the strong men or the employees of"
35,2002,MAG,Smithsonian,A,B,C,  (COLOR) # By Derek Grzelewski # # Derek Grzelewski wrote about the kakapo parrot in the October issue. #
36,1934,FIC,SoRedRose,A,B,C,"  "" he said to Mary Hartwell. But the little girl begged to carry the parrot herself, who as soon as she was taken up began to call for Mrs."
37,1874,NF,WesternWorld,A,B,C,"  , and would immediately come when called. Procuring a cage, he placed the parrot under a piazza, where, by its call, it soon attracted the passing"
38,1900,FIC,Rita,A,B,C,"  never guess who else is with us; Chiquito, our poor old friend the parrot, the sacred legacy of that white saint, our departed aunt. Could I"
39,1901,FIC,CrucialInstances,A,B,C,"  and the statue of Daphne at the end of the bowling-green, and the Indian parrot that my black boy brought me last Michaelmas from the Bohemians -- so you see"
40,1845,FIC,WesternClearings,A,B,C,"  This must account for Clary's not being terrified, and for the shrewd old parrot's staring so knowingly. "" I will wait no longer, "" said the"
41,1921,FIC,CurlytopsTheir,A,B,C,"  must go to bed! "" called Mrs. Martin. "" Mr. Nip, the parrot, has gone to sleep long ago, with his head under his wing,"
42,1981,FIC,WorldWithoutEnd,A,B,C,"  , dogs barking somewhere next door. Sophie was wearing a turban. A large parrot hovered over Edmund, staring out of a mean yellow eye. This was New"
43,1981,FIC,FollowRiver,A,B,C,"  monk's face was smiling, the eyes were as bright and unblinking as a parrot's. He was a disconcerting figure. "" I think, "" said Prince"
44,2006,NEWS,Chicago,A,B,C,"  . Each Friday, in a funky west suburban Riverside coffee shop called the Blue Parrot, she meets with this informal group, most of whom are in their 40s"
45,1999,NF,LetsGetLost,A,B,C,"  the whole tree would fall over into your lap. The restaurant also features a parrot and monkey zoo, and while we were drinking coffee, a very Inca-looking woman"
46,1922,FIC,VoyagesDrDolittle,A,B,C,"  Now -- this moment -- is the time for you to go. "" The truth of the old parrot's words seemed to be striking home; for the Doctor stood silent a minute"
47,2008,NF,AlexAmpMeHowScientist,A,B,C,"  I don't have a working TV.) "" Sad news: a thirty-year-old parrot by the name of Alex, who had been used by researchers at Harvard University"
