entry,year,genre,source,a,b,c,text
35,1810,FIC,ItalianFather,A,B,C,"  young, and a father see his child starve? that were hard. The pelican does it, and shall not I? She shall drink of my wealth,"
108,1824,FIC,Hobomok,A,B,C,"  abode. My hearte woulde incline to staye here; but England, like the pelican we have read of, is mangling her owne bosome: though unlike that birde"
90,1830,FIC,Sertorius,A,B,C,"  dear embrace; To jointly prey upon a parent's bosom, And like the pelican, in ruthless famine, Devour our source of life? PHAROS. PHAROS DEMETRIUS"
150,1831,FIC,Julian,A,B,C,  the seal of constancy upon me. (Dies.) ISHMAEL. Ishmael The pelican defiles its nest With blood torn from the breast. And nurtures its young brood
157,1834,FIC,CalavarTheKnight,A,B,C,"  He remarked with satisfaction the bright plumage of water-fowl, -- the egret, the pelican, the heron, and sometimes the flamingo, sporting among the pools; gazed"
184,1834,FIC,CalavarTheKnight,A,B,C,"  the follower, staring, to his side; "" dost thou feed like a pelican, and yet refuse to share thy meal, as a pelican would, with"
25,1835,FIC,AnOldSailorsYarns,A,B,C,"  , that the water was "" just as smooth as a mill-pond. "" The pelican, that grave and contemplative bird, sat on the rocks near the water's"
101,1838,FIC,NarrativeArthur,A,B,C,"  and several were shot from the deck; one of them, a species of pelican, proved to be excellent eating. About midday a small floe of ice was"
52,1843,FIC,IdomenValeYumuri,A,B,C,"  Pharamond, the boy I was leaving behind -- yet whom, like the fabled pelican, I would fain have nourished with my blood. Still, when we approached"
62,1848,NF,PersonalNarrative,A,B,C,"  , the shores of which were peopled with alcatras, * (* A brown pelican, of the size of a swan. (Pelicanus fuscus, Linn.))"
8,1849,FIC,MardiVoyageThither,A,B,C,"  fain to assert their dental claims to distinction, by clumsily carrying their treasures in pelican pouches slung over their shoulders; which pouches were a huge burden to carry about"
94,1849,FIC,MardiVoyageThither,A,B,C,"  throwing away the precious teeth, which otherwise might have sensibly rattled in his own pelican pouches. When we quitted the hovel, Jiji, marking little Vee-Vee, from"
124,1849,FIC,MardiVoyageThither,A,B,C,"  a bald overgrown head, intent upon an upright row of dark-colored bags: -- pelican pouches -- prepared by dropping a stone within, and suspending them, when moist"
121,1853,FIC,PrismaticsByRichard,A,B,C,"  , nourished her young like the wife of the Rev. John Rogers; but the pelican, with the same habits, had nothing to put into the mouths of young"
31,1855,NF,WondersGeology,A,B,C,"  , also, are found, and several species of birds, as, the pelican, sea-lark, curlew, woodcock, buzzard, owl, quail, &c."
82,1855,NF,WondersGeology,A,B,C,"  . Birds: Buzzard, Owl, Quail, Woodcock, Sea-lark, Curlew, Pelican, Albatross, Vulture. Reptiles: Fresh-water Tortoises. Fishes: Seven extinct species"
198,1855,NF,EightYearsWanderings,A,B,C,"  water for millions in former ages now lie idle and out of repair; the pelican sails in solitude upon their waters, and the crocodile basks upon their shores;"
44,1861,MAG,NorthAmRev,A,B,C,"  ninth or tenth century, and it is interesting as representing the stork, the pelican, and other early Christian emblems. It was in the immediate neighborhood of Novara"
14,1862,FIC,EdwinBrothertoft,A,B,C,"  ? We saw him with a spy-glass, and you said he looked like a pelican with a mullet in his pouch. By the way, where did you ever"
65,1862,FIC,EdwinBrothertoft,A,B,C,"  How Jack Burgoyne will stick out that great under-lip of his, -- the ugly pelican! "" continued old Put, "" when he hears of this. He'"
125,1862,MAG,NorthAmRev,A,B,C,"  stork and the cormorant, the hawk after her kind, the swan and the pelican, all remind the Saints of the land of ancient Israel, while of birds"
47,1864,FIC,"CaptainBrand """,A,B,C,"  slashing the oars and boat-hooks around to drive away the greedy birds, a huge pelican, unmindful of powder or ash, made one dashing swoop into the sail,"
66,1864,FIC,"CaptainBrand """,A,B,C,  peer away in all directions around the island -- never missing the glance of a pelican's pinion or the leap of a fish out of water. Then he would
84,1866,FIC,War-lyrics,A,B,C,"  waste is seen -- But the cayman couched by his weedy spring, And the pelican, bird unclean -- Or the buzzard, flapping on heavy wing Like an evil"
