entry,year,genre,source,a,b,c,text
1,1852,FIC,HillsShatemuc,A,B,C,"  not, part of the way, you will have to take the stage-coach from Pimpernel here; and you must stop at the little village of Mountain Spring, opposite"
2,1852,FIC,HillsShatemuc,A,B,C,"  ' most any place, "" said Karen; -- "" sometimes they goes to Pimpernel, -- and maybe to Starlings, or to Deerford; they don't go"
3,1852,FIC,HillsShatemuc,A,B,C,"  they don't go much nowheres. "" "" Can I get such things at Pimpernel? "" "" If you was there, you could, I s'pose, """
4,1852,FIC,HillsShatemuc,A,B,C,"  weather, was a rainy day. The twenty-eighth, Karen and Anderese went to Pimpernel on their furniture hunting, and came back at night with the articles, selected"
5,1870,MAG,Atlantic,A,B,C,"  of Autumn's finger to light their torches and join the fair procession. The pimpernel is awake, and the heavy, stout stalks of the mulleins uprear their woolly"
6,1876,NF,PeoplesCommonSense,A,B,C,"  with its winding paths and arbors, the streamlet bordered with drooping violets and dreamy pimpernel, the clouds, and even "" the very tones in which we spoke,"
7,1877,FIC,HettysStrangeHistory,A,B,C,"  trees and the house, and rambled down towards the lighthouse. Wild pea and pimpernel made this road gay; white clover and wild rose made it fragrant; and"
8,1881,MAG,Atlantic,A,B,C,"  to come and rout his troublesome enemy? How much we shall know when the pimpernel teaches us how she makes her prophecies of the weather, and how long we"
9,1885,FIC,PoeticalWorks,A,B,C,"  ; Samphire and marsh-rosemary All along the wet shore creeping; Sandwort, beach-peas, pimpernel, Out of nooks and corners peeping. "" Oh, my little prairie girl"
10,1895,FIC,OklahomaOtherPoems,A,B,C,"  Where the lovely lake is sleeping. Raptures echo in the wood, Where the pimpernel reposes; Gladness fills the solitude Where the blushes kiss the roses; Sunny beam"
11,1895,MAG,Atlantic,A,B,C,"  all her wisdom would not have dispelled the wonder. Later, the little scarlet pimpernel charmed me. It seemed more than a flower; it was like a human"
12,1896,FIC,Poems,A,B,C,"  June bids the sweet wild rose to blow; Wakes from its dream the drowsy pimpernel; Unfolds the bindweed's ivory buds, that glow As delicately blushing as a"
13,1896,FIC,Poems,A,B,C,"  sea And Nature is holy and still. Thaxter, Celia, 1835-1894: THE PIMPERNEL from The poems (1896) She walks beside the silent shore, The tide"
14,1896,FIC,Poems,A,B,C,"  stone and shell, And thick about her path the sweet Red blossoms of the pimpernel. "" Oh, sleep not yet, my flower! "" she cries,"
15,1896,FIC,Poems,A,B,C,"  spell; The color from her bright cheek dies, -- Close folded is the pimpernel. With rapid glance she scans the sky; Rises a sudden wind, and"
16,1896,FIC,Poems,A,B,C,"  , She sinks, -- upon her lips a prayer, Her cheek against the pimpernel. Bright blossoms wet with showery tears On her shut eyes their droplets shed."
17,1896,FIC,Poems,A,B,C,"  all is well, And left beside the ebbing tide, Forgotten, is the pimpernel. Thaxter, Celia, 1835-1894: BY THE DEAD from The poems (1896"
18,1896,FIC,Poems,A,B,C,"  bell, But close in a loving hand I hold Long sprays of the scarlet pimpernel, And thick at my feet are blossom and leaf, Blossoms rich red as"
19,1901,NF,WildFlowers,A,B,C,"  name for a vessel than it proved to be. # The WATER SPEEDWELL, or PIMPERNEL (V. Anagallis-aquatica), differs from the preceding chiefly in having most of its"
20,1905,FIC,Visionaries,A,B,C,"  cedar, and balsam reached him. Mozart passed roguishly by in strains of scarlet pimpernel, mignonette, syringa, and violets. Then the sky was darkened with Schumann"
21,1907,FIC,AuntJaneKentucky,A,B,C,"  and Her German Garden. "") Elusive Isabel. By Jacques Futrelle. Elusive Pimpernel, The. By Baroness Orczy. Enchanted Hat, The. By Harold McGrath"
22,1909,FIC,ScarletFeather,A,B,C,"  light touch, a venturesome spirit and an eye for human oddities. THE SCARLET PIMPERNEL. By Baroness Orczy. Illustrated with scenes from the play. A realistic story"
23,1910,FIC,DixieHart,A,B,C,"  = By Florence Finch Kelly. =Dominant Dollar, The. = By Will Lillibridge. =Elusive Pimpernel, The. = By Baroness Orczy. =Ganton &; Co. = By Arthur J. Eddy"
24,1917,FIC,VirginiaElkCreek,A,B,C,"  Complete List of A. L. Burt Company's Popular Copyright Fiction League of the Scarlet Pimpernel. By Baroness Orczy. Lifted Veil, The. By Basil King. Lighted"
25,1935,MAG,Time,A,B,C,"  , to find Mr. Hopson. At Albany last week he quoted from The Scarlet Pimpernel on Runaway Hopson: They seek him here, they seek him there. #"
26,1935,MAG,Time,A,B,C,"  . # Is he in heaven? Is he in hell? That damned elusive Pimpernel! Smiled Judge Mack: "" The Scarlet Pimpernel hasn't a damned thing on"
27,1935,MAG,Time,A,B,C,"  in hell? That damned elusive Pimpernel! Smiled Judge Mack: "" The Scarlet Pimpernel hasn't a damned thing on Hopson! "" # Senate investigators reported that A."
28,1937,MAG,SatEvePost,A,B,C,"  the Fox Studio, where he made several excellent pictures, among them The Scarlet Pimpernel. He returned to our company to direct Kathleen Williams, whose early serial,"
29,1941,FIC,MildredPierce,A,B,C,"  more than you do already? "" "" Richard, will you stop doing a Pimpernel? I don't talk in my sleep and, anyway, I sleep only"
30,1942,FIC,Harpers,A,B,C,"  signature is in, code, "" he said. "" It's signed' Pimpernel.' Now you are to tell us exactly what it means. "" Susan"
31,1942,FIC,Harpers,A,B,C,"  the name aloud, but the look had already altered in her eyes. "" Pimpernel, "" she said, "" Pimpernel, "" and it might have been music"
32,1942,FIC,Harpers,A,B,C,"  had already altered in her eyes. "" Pimpernel, "" she said, "" Pimpernel, "" and it might have been music playing strong and sweet in the room"
33,1942,FIC,Harpers,A,B,C,"  victory. "" The Revolution! "" she said. "" The French Revolution! Pimpernel was a character from a book -- the substance of the dream? "" """
34,1942,FIC,Harpers,A,B,C,"  overcoat on his shoulders, "" who this telegram is from. "" "" But Pimpernel! "" Susan Farrow cried. "" Pimpernel! He saved French patriots from the"
35,1942,FIC,Harpers,A,B,C,"  telegram is from. "" "" But Pimpernel! "" Susan Farrow cried. "" Pimpernel! He saved French patriots from the guillotine! He got them to England or"
36,1942,FIC,Harpers,A,B,C,"  He got them to England or somewhere -- anyway, out of the country! Pimpernel! "" she said with love. In a moment she might start laughing aloud"
37,1947,FIC,Moneyman,A,B,C,"  stimulate our men to greater exertion. "" With a delicate gesture the Burgundian crushed pimpernel aromatisante into his goblet and then motioned to the servingman to fill it with wine"
38,1953,MAG,Time,A,B,C,"  mental world swarming with such heroes as Sherlock Holmes, Hoot Gibson and the Scarlet pimpernel. But his chief hero is his father, a schoolmaster who has been blacklisted"
39,1954,FIC,ThirdGeneration,A,B,C,"  Alexander the Great and the Count of Monte Cristo, Genghis Khan and the Scarlet Pimpernel. It was often his face in the iron mask, and his strong back"
40,1955,FIC,TenNorthFrederick,A,B,C,"  messenger, it's all hush-hush, for some reason I feel like the Scarlet Pimpernel. "" It was incredible, Marjorie was thinkin how this man changed with the"
41,1957,FIC,RallyRoundFlag,A,B,C,"  . But Bob Frazier sang, "" Like whisky kegs those Mandan legs! Like pimpernel that bosom's smell...! "" Still, Frazier admitted aloud,"
42,1958,MAG,Harpers,A,B,C,"  else. You could call him the poor man's insurrectionist or a phony Scarlet Pimpernel if you liked, but, after all, he had not failed. How"
43,1958,NEWS,WallStJrnl,A,B,C,"  out, as Robin Hood stormed the Sheriff of Nottingham's castle and the Scarlet Pimpernel spirited nobles out of the shadow of the French Revolution's guillotine. Why the"
44,1958,NF,EnglishMansFood,A,B,C,  cure every ailment; scurvy grass was provided as a remedy against scurvy just as pimpernel was provided as a cure for the plague. It no more occurred to them
45,1958,NF,EnglishMansFood,A,B,C,"  a lack of scurvy grass, or similar herbs, than that a deficiency of pimpernel would bring about an outbreak of plague. The idea that illness could be related"
46,1963,MAG,SatEvePost,A,B,C,"  live expensive establishments among which he moves in great secrecy, like a modern-day Scarlet Pimpernel, while maintaining a constant battle of harassment against his opposition. But in the"
47,1970,FIC,RipleyUnderGround,A,B,C,"  , "" So it means Derwatt entered and maybe even left England like the Scarlet Pimpernel or a ghost. "" He chuckled. "" But you, Mr. Tufts,"
48,1970,NF,DemocracyResponsbility,A,B,C,"  gave a further stimulus, with the need for really good propaganda. Films like Pimpernel Smith, The Way Ahead and San Demetrio, London, dated though they may"
49,1971,MAG,SatEvePost,A,B,C,"  , I would turn back to the novel, resuming the adventures of the Scarlet Pimpernel. By degrees, a strange feeling crept over me, an irritation I could"
50,1982,FIC,MasterGame,A,B,C,"  the news a good deal. The South African newspapers were calling him the scarlet pimpernel, and there was a grudging admiration in their stories. He escaped the police"
51,1989,MAG,Time,A,B,C,"  of Hollywood versions of 19th century romances: Leslie Howard as "" that demmed elusive Pimpernel, "" or Ronald Colman doing a "" far, far better thing "" by"
52,1998,MAG,Forbes,A,B,C,"  by Frank Wildhorn -- from, he says, "" the musicalization of The Scarlet Pimpernel. "" # If the choice seems a trifle recherche, well, that's"
53,2000,MAG,Time,A,B,C,"  n't give him any Old Guy awards. But by then he was the Scarlet Pimpernel of those illusive qualities, grace and charm. He made his living mysteriously --"
54,2006,NEWS,Houston,A,B,C,"  involved in a love triangle, on stage, that is in "" The Scarlet Pimpernel "". # The play, which will be performed Jan. 19-28 at the Spring"
55,2006,NEWS,Houston,A,B,C,"  senior Christina Stroup, who plays Marguerite in the production. # "" The Scarlet Pimpernel "" is definitely the soap opera of musicals. "" # The plot revolves around"
56,2006,NEWS,Houston,A,B,C,"  him attempt to bring an end to the violence and goes undercover as The Scarlet Pimpernel. # Stroup portrays Marguerite, one of the great actresses in France who is"
57,2006,NEWS,Houston,A,B,C,"  carried away by the music and the play's plot. # "" The Scarlet Pimpernel "" has the depth and complexity of "" Les Miserables "" and the charming humor"
58,2006,NEWS,Houston,A,B,C,  High School and Stratford High School have in store. # ... # THE SCARLET PIMPERNEL' # When: 7:20 p.m. Jan. 19-21 and Jan. 26-28; and 2:30
