entry,year,genre,source,a,b,c,text,
1,1851,FIC,TrueStoriesHistory,A,B,C,"  of the forest for his homestead; another is hewing the trunk of a fallen pine tree, in order to build himself a dwelling; a third is hoeing in",
2,1843,FIC,IdomenValeYumuri,A,B,C,"  that fell. Oh, how I loved! -- the coldest glen, The pine tree bending' neath its ice, The snows that form the black bear's",
3,1915,FIC,HouseMistyStar,A,B,C,"  upset my systematic household to the point of confusion. She supplied untold excitement to Pine Tree and Maple Leaf, the two serving maids earning an education by service,",
4,1975,FIC,BrightArrows,A,B,C,"  Now come on over here, "" Tracker says and moved off closer to the pine tree where the rock had a different color and, come to notice, dusty-looking",
5,1896,FIC,Writings [1896-1914],A,B,C,"  lady we have inside to-day. As for the man -- you see that blackened pine tree, Up which the green vine creeps heavenward away! He was that scarred",
6,1900,FIC,HeroTales,A,B,C,"  both blood and flesh and even life itself. "" Then Oliver climbed a high pine tree, and looked down into the grassy valley behind them. There he beheld",
7,1865,FIC,DoraDarlingDaughter,A,B,C,"  camp, if you did, Picter? "" asked a merry voice from the pine tree. "" Shore' nough, chile; an', after all,",
8,1922,FIC,LastHarvest,A,B,C,"  into manure. "" Not a happy comparison, but no matter. If the pine tree had not been cut down and made into lumber, it is quite certain",
9,1958,FIC,WinthropWoman,A,B,C,"  he couldn't stand up, to cut the tall saw briers from around a pine tree with his pocketknife. He didn't know while he was down on his",
10,1854,NF,SunnyMemoriesForeign,A,B,C,"  , where travellers sleep going up Mont Blanc. "" We wind now among the pine tree still we come almost under the Mer de Glace. A most fairy-like cascade",
11,1951,NF,GrowthScientific,A,B,C,"  million odd eggs of the Sunfish or the astronomical number of pollen grains from every pine tree. Curiously enough it met less widespread recognition on the physical side, for",
12,1943,FIC,ForestFort,A,B,C,  Turtle looked back. Kaysinata stood on a high point of land with a single pine tree on it. The eagle feathers in the chief's hair spread out raggedly,
