entry,year,genre,source,a,b,c,text,
105,1816,NF,LifeStudiesWorks,A,B,C,  with the tools of the workmen. One day several large and beautiful boards of poplar tree were brought to it; and he happening to observe that they would answer,
243,1818,FIC,LadiesMonitor,A,B,C,"  the country yields O'er velvet lawns, and flower-enamell'd fields. NARCISSA. Those poplar leaves, like parasols display'd, Seem beckoning us beneath their friendly shade,",
174,1822,FIC,New-EnglandTale,A,B,C,"  no breeze was upon;' from whose bosom rose the green spires of the poplar, rich masses of maple foliage, and the graceful and widely spreading boughs of",
156,1824,FIC,RedwoodATaleVolume1,A,B,C,"  farm-houses planted here and there on the surrounding hills was marked by the tall Lombardy poplar, which through our country-towns is every where the sign of a habitation. The",
34,1827,NF,IntroductionMechanical,A,B,C,"  following table. Table of lateral cohesion of square inch in pounds* Oak, 2316 Poplar,. 1782 Larch, from 870 to 1700, - mean 1325 It is",
120,1827,NF,IntroductionMechanical,A,B,C,"  , Mahogany, Spanish, seasoned, 852 Honduras, "" Walnut, green, Poplar, Lombardy, "" Abele, Teak, Willow, Birch, Cedar of Lebanon",
138,1827,FIC,Novels,A,B,C,  what sort of hair? of a hog -- and the wooden handle -- of poplar or cedar or white oak. At one time a troop of swine munching mast,
155,1827,FIC,Novels,A,B,C,"  with the reverberations of the torrents and the whistling of the blasts. Hiccory and poplar, which abound in the lowlands, find here no fostering elements. A sort",
195,1827,NF,IntroductionMechanical,A,B,C,"  = 1 502.5, Ans. ii. What weight will break a stick of Lombardy poplar fixed at one end and loaded at the other; the length being 8 feet",
246,1827,FIC,BuccaneersARomance,A,B,C,"  time over a clear and level country, here and there scantily strown with the poplar and wild locust, and thickets of leafless underwood, fast dying to rottenness beneath",
280,1827,FIC,BuccaneersARomance,A,B,C,"  of the lofty acacias, and here and there in the line towered a mighty poplar, which, straight, bare and limbless, was like the tall mast of",
299,1832,FIC,SwallowBarnASojourn,A,B,C,"  both in its serpent-like folds, or here and there where some prim old maidish poplar, long and lean, was furbelowed with wild ivy, and in this sylvan",
314,1832,FIC,SwallowBarnASojourn,A,B,C,"  directed my attention to the scenery around us. The trees were principally beech, poplar and sycamore, springing from a moist carpet of matted grass. The forest was",
420,1832,MAG,NorthAmRev,A,B,C,"  it grows wild near Connecticut river. Michaux speaks of its most common name as Poplar, but we must confess that we have never beard that name applied to it",
16,1833,MAG,NorthAmRev,A,B,C,"  discovered as they supposed, the walls of the old jail, of four inch poplar plank dovetailed at the corners. Old Isaac Parish, a laudator temporis ecu,",
21,1833,NF,HistoryVegetable,A,B,C,"  to durability. It is possible, in consequence of the rapidity with which the poplar grows, and the ease with which it can be worked, that, on",
42,1833,NF,HistoryVegetable,A,B,C,"  breath of wind stirs it, when other trees are at rest. The Lombardy poplar grows rapidly, and shoots in a compact spire to a great height. It",
85,1833,NF,HistoryVegetable,A,B,C,"  they should never be used above the low water mark. The different species of poplar, the sycamore, the lime, and the birch are, generally speaking,",
87,1833,NF,HistoryVegetable,A,B,C,"  , and then the appearance of the tree is rather unsightly. /z/ Of the Poplar (Populus) there are about fifteen species described; but it is necessary to",
132,1833,NF,HistoryVegetable,A,B,C,"  adapted to their moist soil and climate. On the /q/ Continent a species of poplar is manufactured into thin slices, called sparterie, which is made up into ladies",
187,1833,NF,HistoryVegetable,A,B,C,"  where few other trees, save the alder, will grow. The small-leaved white poplar is a native of most parts of Europe; but it is doubtful whether the",
232,1833,NF,HistoryVegetable,A,B,C,"  , or spreading poplar (Populus canescens); and the Lombardy poplar, or poplar of the valley of the Po (Populus dilatata), which is spire-shaped,",
247,1833,NF,HistoryVegetable,A,B,C,"  ; but for temporary purposes the rapidity of its growth is some compen- /z/ Liombardy Poplar Populus dilatata. sation. It is, perhaps, the lightest of timber, and",
253,1833,NF,HistoryVegetable,A,B,C,"  loppings of trees are used. WKitt Poplm Popultu caneicens. The wood of the poplar is soft, and it is far from durable; but it is not apt",
372,1833,NF,HistoryVegetable,A,B,C,"  the white poplar, or spreading poplar (Populus canescens); and the Lombardy poplar, or poplar of the valley of the Po (Populus dilatata), which",
413,1833,FIC,LifeWritingsMajor,A,B,C,"  Elder Hall, that was President of the Sinnet, seemed to be the most poplar man in the whole bunch of both Legislaters. There wasn't one of the",
424,1833,NF,HistoryVegetable,A,B,C,"  it. Lime, however, is much the best timber for carving, and poplar answers very well for the boardings of stairs. The properties of chesnut have already",
426,1834,FIC,Poems,A,B,C,"  history. -- Up came the singing breeze And the broad leaves of the cool poplar spake Responsive, every one. -- Even busy life Woke in that dell.",
50,1835,FIC,ItalianSketchBook,A,B,C,"  , and our remaining journey formed a striking contrast with its preceding portions. The poplar, peculiar to the country, bordered the road, but in form it is",
58,1835,NF,NarrativeVisit,A,B,C,"  the church, and the angles of a few cottages ffarough the foliage of the poplar, the oak, and the pine, r // which concealed all the rest",
100,1835,FIC,BrothersATaleFronde,A,B,C,"  bordered on either hand, as I have before described it, by the eternal poplar, stretched, as straight as the bird flies, over an arable country,",
179,1835,MAG,NorthAmRev,A,B,C,"  lie saw two of them, evidently conversing on the subject of building in a poplar, and shortly after saw them making the frame-work of their nest, by disposing",
226,1835,FIC,BrothersATaleFronde,A,B,C,  side by rows of that to me most dismal and monotonous of trees -- the poplar. The misty state of the morning cut off all view beyond these limits;,
256,1835,MAG,NewEngMag,A,B,C,"  great proportion of the Arkansas bottom. The cottonwood - a tree similar to the poplar, but of gigantic size and immense height - is the most common tree in",
298,1835,FIC,HorseShoeRobinson,A,B,C,"  , the ash, and gum, and, towering above all, the majestic poplar, with its branchless trunk bound up in the embraces of a huge serpent-like grapevine",
331,1835,FIC,South-WestByYankee,A,B,C,"  maple, hickory, sweet gum, cypress, (in the bottoms) yellow poplar, holly, black and white flowering locusts, pecan, and pine on the",
380,1835,FIC,InfidelFallMexico,A,B,C,"  musical. The breeze sleeps among the boughs, or it stirs only through the poplar leaves, and its rustling sound is mingled with the hum of a thousand nocturnal",
176,1837,FIC,Nacoochee,A,B,C,"  of my warrior-love -- Oh! white man! slay not my Eagle-Dove! The poplar stands by the river tall, But the giant oak makes the greatest sound;",
277,1837,MAG,NorthAmRev,A,B,C,"  dress. Immense forests of walnut, hickory, maple, beech, ash, poplar, and oaks, of different species and of enormous size, stretch out before",
20,1838,MAG,USDemRev,A,B,C,"  of brown, and sometimes retaining a mixture of the original green. The Wild Poplar -- the Aspen-exhibits its unquiet leaves of a yellow tint, approaching occasionally to orange",
19,1840,FIC,GreyslaerARomance,A,B,C,"  succeeding to the shapely pine, had not made its appearance; and the pale poplar, whose delicate leaves here and there quivered over the few runnels which traversed the",
183,1840,FIC,Politicians,A,B,C,"  , excepting a little roll of linen over their breasts, and a sprig of poplar in their hand? BRISK. Brisk You not fit for governor! that's",
476,1840,FIC,BorderBeaglesA,A,B,C,"  able to speak home upon the subject. While Saxon, seated upon a fallen poplar, was busy chewing the cud of various thought -- thought no less perplexing in",
5,1841,NF,Book,ATreatise,A,B,C,"  , though but little used, is much firmer than that of any other British poplar; making as handsome floors as the best Norway fir, with the additional advantage"
22,1841,NF,Book,ATreatise,A,B,C,"  . There are two sorts of timber known; viz. the Yellow and the White Poplar, or Tulip tree. These, however, it is well known are the"
77,1841,NF,Book,ATreatise,A,B,C,"  (Cupressus sempervirens), a beautiful evergreen tree, shaped like a small Lombardy poplar, which is the principal ornament of the churchyards and cemeteries abroad, is unfortunately"
95,1841,FIC,KinsmenTheBlack,A,B,C,"  be to strength, were the rich and various hues of the bay, the poplar, the dogwood, and the red bud of the sassafras -- all growing and",
111,1841,NF,Book,ATreatise,A,B,C,"  as in the example of the groups of the three trees, the willow, poplar, and oak: or they may be such as to produce spirited and pleasing"
136,1841,NF,Book,ATreatise,A,B,C,"  or 70 feet, with leaves downy in a young state; the American Black poplar of smaller size, having the young shoots covered with short hair; the Cotton"
140,1841,NF,Book,ATreatise,A,B,C,"  native of the bankg of the Po, where it is sometimes called the Cypress poplar /z/ from its resembance to that tree, is too well known among us to"
144,1841,NF,Book,ATreatise,A,B,C,"  some doubts respecting its origin: in the south it is generally called the Virginia poplar. The Lombardy poplar (P. dilatata), a native of the bankg of"
149,1841,NF,Book,ATreatise,A,B,C,"  most ornamental, as we have already remarked, is the Silver aspen, White poplar, or Abele tree (P. alba), which grows to a great size"
287,1841,NF,Book,ATreatise,A,B,C,"  fine tree, with smooth, unequally-toothed, wide cordate leaves; and the Carolina poplar (P. angulata /z/ an enormous tree of the swamps of the south and west"
322,1841,NF,Book,ATreatise,A,B,C,"  than spiry-topped ones do, they may perhaps be more frequently introduced. The Lombardy poplar may be considered the representative of this division, as the oak is of the"
353,1841,NF,Book,ATreatise,A,B,C,"  spirited effect is lost which its sparing introduction among other trees produces. The Lombardy poplar /z/ is so well adapted to confined situations, as its branches require less lateral"
361,1841,NF,Book,ATreatise,A,B,C,"  with smaller, more rounded, and equally serrated foliage. The common Black European poplar (P. nigra) is also a large, rapidly growing tree, with pale-green"
387,1841,NF,Book,ATreatise,A,B,C,"  leaves confess, E'er since, a troubled consciousness. "" In Landscape Gardening the poplar is not highly esteemed; but it is a valuable tree when judiciously employed,"
391,1841,NF,Book,ATreatise,A,B,C,"  , have their buds enveloped in a fragrant gum; others, as the Silver poplar, or Abele, are remarkable for the snowy whiteness of the under side of"
415,1841,NF,Book,ATreatise,A,B,C,"  it advances more slowly, and in 20 years would probably be overtopped by the poplar, the plane, or any other fast growing tree. There are, as"
162,1842,FIC,CharlesStuartPrince,A,B,C,"  this Isle are trees of every sort. The Lemon, Orange, Lentiek, Poplar, Pine. Large Orange trees, that blossom while they bear, Burthened with",
14,1843,FIC,NewPurchaseSeven,A,B,C,"  puncheons numerous indented mementos of our friend's lazy ingenuity. The plane beauty of poplar or pine floors it would have marred forever! The puncheons, however, thought",
53,1843,FIC,LettersFromNew-,A,B,C,"  you doubt it? Try the willow and the oak, the elm and the poplar, and see whether each has not its own peculiar sound, waiting only for",
209,1843,FIC,MayflowerSketches,A,B,C,"  boy, who used to spell the longest words, make the best snowballs and poplar whistles, and read the loudest and fastest in the Columbian Orator of any boy",
245,1843,FIC,VariousWritings,A,B,C,"  , excepting a little roll of linen over their breasts, and a sprig of poplar in their hand? BRISK. You not fit for governor! that's a",
283,1843,FIC,NewPurchaseSeven,A,B,C,"  -- and all the time Tom talking and laughing away, like a fellow whittling poplar with a dirk-knife. Oh! it was really delicious to see such cutting;",
260,1844,MAG,NewEngYaleRev,A,B,C,"  exert his official power to quell the disturbance, for that power is limited by Poplar street. The Sheriff of the County, whose authority extends alike over the city",
291,1844,MAG,NewEngYaleRev,A,B,C,"  is the district of Northern Liberties, (N. L.) extending from Vine to Poplar streets, and from Sixth street to the Delaware. This district is compactly built",
438,1844,MAG,NorthAmRev,A,B,C,"  by arranging them with a view to that end. // The Birch, the Poplar, the Locust, the Mountain-ash, and the Willow are also common trees,",
439,1844,MAG,NewEngYaleRev,A,B,C,"  district is that of Spring Garden, (S. G.) extending from Vine to Poplar streets, and from Sixth street to the Schuylkill. The importance of this district",
54,1845,FIC,MargaretATaleReal,A,B,C,"  the bushes, scampered before her as for dear life, its ears shaking like poplar leaves, and dashed out of sight into the bushes again. The birds had",
57,1845,FIC,Pioneers,A,B,C,  were sending forth the music of their thousand tenants. The leaf of the native poplar was seen quivering in the woods; the sides of the mountains began to lose,
400,1845,FIC,WigwamCabinVolume2,A,B,C,"  , were enjoyed among them in full perfection; and, from Four Holes to Poplar Springs, they were emphatically one and the same, and a very happy people",
65,1849,FIC,WashingtonHisMen,A,B,C,"  incessantly into the great harvest of death. Meanwhile, the boy by the solitary poplar, beaten to the earth by Braddock's sword, wipes the blood from his",
91,1849,FIC,WashingtonHisMen,A,B,C,"  her brother. A man of twenty years, with a form like the forest poplar, a ruddy brown face, brilliant with large grey eyes and shadowed by masses",
96,1849,FIC,WashingtonHisMen,A,B,C,"  some future day. And the gaunt hunter went slowly to the foot of the poplar tree; and bent near the dead boy, and wiped the blood, still",
336,1849,FIC,MemoirsPreacher,A,B,C,"  year ago our baby was just born, and we were living so comfortably in Poplar street -- our home was small, but we had a house to ourselves --",
370,1849,FIC,WashingtonHisMen,A,B,C,"  . And then, while his young brother lay bleeding at the foot of the poplar tree, the sunburnt man, with the great tears starting over his tawny cheeks",
108,1851,NF,FlowerGardenBrecks,A,B,C,"  tremvla, and is a desirable ornamental tree. The Balm of Gilead and Lombardy Poplar were in great repute fifty years ago, but have had their day, and",
129,1851,NF,GlancesAtEurope,A,B,C,"  thirty to fifty feet high, and six to twelve inches through. The Lombardy Poplar is in like manner preferred, as giving a large amount of trunk to little",
207,1851,NF,FlowerGardenBrecks,A,B,C,"  as being a tree peculiarly appropriated to the people. But Bullet asserts that the Poplar has obtained its name from the constant motion of the leaves, which "" are",
290,1851,NF,FlowerGardenBrecks,A,B,C,"  the green of the upper side. Populus tremuliformis. American Aspen, or Trembling Poplar. This is a well-known, small, graceful tree of our forests, remarkable",
323,1851,NF,GlancesAtEurope,A,B,C,"  ' narrow domain. This planting is mainly confined to two varieties -- the Lombardy Poplar and what I took to be the Pollard, a species of Willow which displays",
324,1851,NF,FlowerGardenBrecks,A,B,C,"  It has beautiful foliage, and well deserves a place among other trees. /z/ Poplar. In ancient times, the public places of Rome were decorated with rows of",
346,1851,NF,GlancesAtEurope,A,B,C,"  covered and checkered the whole distance with vineyards, meadows, woods, &c.; The Poplar and the Pollard are still planted, but the scale of cultivation is larger and",
384,1851,FIC,CrushedMouse,A,B,C,"  for torture, -- gave all monstrous things, Cockroach, and dragon-fly, and poplar worm, Wide passport, -- had at once destroyed the boast Of a whole",
90,1852,FIC,TwoAltarsTwoPictures,A,B,C,"  so I did, "" said Dick, who was standing as straight as a poplar behind the group; "" and I heard it in one of father's letters",
206,1852,MAG,AmWhigRev,A,B,C,"  great countryman. Many had even climbed among the branches of the elm and the poplar, and sat mournfully looking down upon the scene. The services, performed hy",
460,1852,MAG,AmWhigRev,A,B,C,"  by yacht or steamer; all tending towards the centre of interest, the silver-leafed poplar, under which lay all that was mortal of Daniel Webster. The lawn was",
134,1853,NF,LangstrothOnHive,A,B,C,"  smell of the propolis is often precisely similar to that of the resin from the poplar, and chemical analysis proves the identity of the two substances. It is frequently",
224,1853,FIC,ChevaliersFrance,A,B,C,"  and is overspread by a finer forest of oak, maple, birch, and poplar, with here and there the arrowy cone of a gigantic white-pine, piercing the",
30,1854,FIC,Walden,A,B,C,"  on the rippling wind from over the water. Sympathy with the fluttering alder and poplar leaves almost takes away my breath; yet, like the lake, my serenity",
327,1854,FIC,LifeSayingsMrs,A,B,C,"  tree, as she said, constituted her whole orchard, unless she counted the poplar by the corner. "" I can't see so fur off, "" said",
374,1854,MAG,Harpers,A,B,C,"  mountains, all fringed with green walnut trees, and here and there an aspiring poplar. From its inclosing yard you look down on sloping vineyards and gardens, edged",
235,1855,FIC,LaysAncientVirginia,A,B,C,"  murmuring breeze, And dim and indistinct the landscape view -- Lonely I stray among the poplar trees And muse, dear Eleanor, dear love, on you. When Luna",
267,1855,FIC,Poems,A,B,C,"  , And fierce on the earth the sunbeams beat; When the leaf on the poplar's bough is still, And hushed is the voice of the mountain rill;",
320,1855,FIC,Inez ATaleAlamo,A,B,C,"  weary, aching heart. The margin of the river was fringed with willow, poplar, cotton-wood, and cypress, the delicate fresh green foliage contrasting beautifully with the",
