entry,year,genre,source,a,b,c,text
1,1987,NEWS,CSMonitor,A,B,C,"  it. For example, the report estimates that 20 to 40 percent of the Porcupine caribou herd would be eliminated or disturbed by development. Yet the administration argues in"
2,1835,FIC,MayMartinTheMoney,A,B,C,"  rising stiff and bristly on the top of the head, like a tuft of porcupine quills, and flowing down in long snaky ringlets over his neck and shoulders below"
3,1894,FIC,AsWeGo,A,B,C,"  with an intelligent curmudgeon, who made himself at all points as prickly as the porcupine. There was no getting on with him. And yet when he dropped out"
4,1972,FIC,VisionsCody,A,B,C,"  many rods stickin out of her as she had in she'd look like a porcupine, yah, don't laugh I stole it from Tony "" -- and everything"
5,1874,NF,WesternWorld,A,B,C,"  are of a dull white colour, the points being dark. Awkward as the porcupine looks, it can gallop along at considerable speed; and when surprised, generally"
6,1884,NF,AlgonquinLegends,A,B,C,"  the hideous vermin, and each, as he took it, became a horrid porcupine or toad. Footnote: In the Eskimo mythology, Arnarkuagsak, the old woman"
7,1891,NF,CeremonialHasjelti,A,B,C,  of Hasjelti's. Two strips of beaver skin tipped with six quills of the porcupine are attached to the right of the throat. The four colored stars on the
8,1919,FIC,NomadsNorth,A,B,C,"  tribe. It was not until then that Miki observed Iskwasis, the young female porcupine, who had poked herself slyly out from under a bush near Kawook. In"
9,1902,NF,WoodFolkAtSchool,A,B,C,"  FISHER JUMPED, FILLING THE AIR WITH FEATHERS "" 104 "" BOTHERS AND IRRITATES THE PORCUPINE BY FLIPPING EARTH AT HIM "" 118 "" THEY WOULD TURN THEIR HEADS AND LISTEN"
10,1898,FIC,BoyIKnewFourDogs,A,B,C,"  hair to stand on end Full of quills, shot out by a fretful Onteora porcupine. But this eternal blazon must not be To ears that are quite as handsome"
11,1998,FIC,Storyworks,A,B,C,  around in the wigwam. He tickled him with a toy he made from a porcupine quill and duck feathers. He smiled when he thought of his baby brother's
12,1998,FIC,SouthernRev,A,B,C,"  as the Sacred Heart hung above their bed. Gold beams like spikes of a porcupine radiated from his very pink heart, which was the color of cube steak,"
13,1937,FIC,NoneShallLookBack,A,B,C,"  Indians, wear cast-off white man's raiment. Her soft doeskins were worked with porcupine quills. There were seams and lines on her face and grey upon her temples"
14,1856,FIC,HomeAndAbroad,A,B,C,"  of the illiberal, bristling nature too often met here, which casts out its porcupine quills against everything like enthusiasm (of the more generous Saxon blood I know some"
15,1835,FIC,BrothersATaleFronde,A,B,C,"  sensation as though every hair were standing erect, "" like quills upon the fretful porcupine. "" The terror which came upon me -- for terror it was -- was"
16,1875,NF,SquirrelsOther,A,B,C,"  the foot of the tree and wait till morning. Illustration: RACCOON XI THE PORCUPINE Among our wild animals there are three that are slow-moving, dull-witted, and almost"
17,1983,NEWS,CSMonitor,A,B,C,"  bigger, you' d have to be scared. You are scared of the porcupine fish - ouch! No problem figuring out how it got its name, either."
18,1827,MAG,NorthAmRev,A,B,C,"  Little Turtle, the Water Turtle, and the Large Land Turtle tribes; the Porcupine tribe, the Deer tribe, the Bear tribe, and the Snake tribe."
19,1912,NF,PaganTribesBorneo,A,B,C,"  expeditions in the jungle, often bringing a wild pig, a monkey, a porcupine, or some jungle fruit, or young shoots of bamboo, as their contribution"
20,1867,FIC,MissRavenelsConversion,A,B,C,"  fierce little hisses and glares, sticking out from it like quills of the fretful porcupine. Miss Ravenel did not sympathize with the conduct of the fair snubbers, and"
21,1901,MAG,Atlantic,A,B,C,"  , he hastens his steps a little, as much, perhaps, as a porcupine can, and disappears in the brush, dragging his ridiculous, sloping, straw"
