entry,year,genre,source,a,b,c,text
1,1886,FIC,TheirPilgrimage,A,B,C,"  by a stout, elderly woman, who landed in the exhausted condition of a porpoise that has come ashore, and stood regardless of everything but her own weight,"
2,1979,MAG,NatGeog,A,B,C,"  , that was an interesting trick. What's next?' "" Almost every porpoise trainer has tales of the dolphin's cleverness and ingenuity. Like Jim Mullen of"
3,1819,FIC,SeaSerpent,A,B,C,"  feel! He eats them all, and lashes with his tail, The panting porpoise, and the spouting whale. Tim. Timothy Now, if the deacon,"
4,1963,MAG,SatEvePost,A,B,C,"  after hour to spear pilot fish or dolphin. I even tried to harpoon a porpoise, though l had often told the rest of the crew that a porpoise is"
5,1925,FIC,Play:BuccaneerThe,A,B,C,"  fools with me I'll feed his guts to the sharks, my little white porpoise! Let them try to take me -- let them try to take you from"
6,1979,MAG,NatGeog,A,B,C,"  snouted families Delphinidae and Platani - tidae as "" dolphins. "" They apply "" porpoise "" only to a few species of Phocoenidae that lack a pronounced rostrum, or"
7,1884,NF,AlgonquinLegends,A,B,C,"  the fuel he could find, and all there was of the oil of a porpoise; and this oil he so multiplied by magic that there was ten times more"
8,1966,NEWS,NYT-Let,A,B,C,"  against similar attacks: that is, they will have to develop an effective antiporpoize porpoise. From the point of view of a "" Flipper "" fan it would appear"
9,1838,FIC,CharcoalSketches,A,B,C,"  Rocky, therefore, puts on his coat again, puffing and blowing like a porpoise, as he walks vapouring about, and repeating with an occasional attitude a la"
10,1851,FIC,MobyDickWhale,A,B,C,"  him captured. BOOK III. (DUODECIMO), CHAPTER III. (MEALY-MOUTHED PORPOISE). -- The largest kind of Porpoise; and only found in the Pacific"
11,1856,NF,BuchanansJournal,A,B,C,"  same part presents a striking protuberance in the partridge. In the dolphin, the porpoise, the seal, and many other animals, the male could there be distinguished"
12,1845,FIC,WarwickWoodlands,A,B,C,"  of them; and to beat us too, to boot, you stupid old porpoise. Why, there's Harry T --, and Nick L --, and"
13,1995,MAG,Skiing,A,B,C,"  and again. I feel like every cliche in the book: I am a porpoise, a bird, an otter. But really I am me, feeling at"
14,1879,MAG,Harpers,A,B,C,"  them, their gunwales swinging from side to side, in the manner of a porpoise rolling, and their stem and stern going up and down like a pair of"
15,1932,FIC,IJamesLewis,A,B,C,"  men had clapped its wings and told the Killer Whale, who had told the Porpoise People, who had told the Ten Brothers of the Sea Lion, that Comcomly"
16,1931,FIC,XXXYYY,A,B,C,"  I watched her every minute and, believe me, I'd have let the Porpoise go in one split second and taken her in if I'd seen she needed"
17,1835,FIC,ClintonBradshaw,A,B,C,"  . Egad! he takes it hard: he raged; he blew like a porpoise -- but I'll manage him. "" Bradshaw stole away from Mr. Chesterton,"
18,1855,NF,WondersGeology,A,B,C,"  IbV which was sometimes more than thirty feet long, had the snout of a porpoise, the teeth of a crocodile, often amounting to one hundred and eighty,"
19,1840,FIC,BorderBeaglesA,A,B,C,"  plunging, and blowing, which might have done honour to the wind-bags of a porpoise. "" Phew! Jones -- what the devil's the matter? "" was"
20,1844,NF,VestigesNatural,A,B,C,"  paddles of the whale tribes. The beak, moreover, was that of a porpoise, and the teeth were those of a crocodile. It must have been a"
21,1973,FIC,WindShiftingWest,A,B,C,"  of the water. Giles paced alongside, popping up and down like a gray porpoise. It was a longish swim, and she was unused to any exertion."
