entry,year,genre,source,a,b,c,text
1,1902,FIC,RubaiyatOmarKhayyam,A,B,C,"  Day grows old, The Shepherd pipes his sundered Flocks to Fold, Your Garments quail and ripple in the Chill, Your pagan Nose empurples with the Cold. XCII"
2,1957,FIC,OldManBoy,A,B,C,"  through the timber stand, heading for a big deserted peafield that usually had some quail in it. Mickey lumbered off to where she figured the birds ought to be"
3,2004,NEWS,Atlanta,A,B,C,  : Appetizers: Mussels Gratin with Spinach and Asiago Cheese Sauce ($8); Quail Breast on Couscous ($9); Spinach Salad with Pan-Fried Chicken Livers ($8
4,1957,FIC,OldManBoy,A,B,C,"  was certain. She would find a covey of quail as good as any professional quail dog. Although she wouldn't hold a point, she'd slow down enough"
5,1936,FIC,CrookedTrailsStraight,A,B,C,  canyon lie called a halt and bade her light a fire and cook him the quail. She gathered ironwood and catclaw while he watched her vigilantly. Together they roasted
6,1842,FIC,SportingScenes,A,B,C,"  in his condemning the southern application of the word "" partridge "" to the American quail, he is clearly wrong. For as to the word "" Flocks, """
7,1894,FIC,BeautifulJoe,A,B,C,"  funny dog! And you are having a funny supper. I have heard of quail on toast, but I never heard of turkey on newspaper. "" "" Had"
8,1992,MAG,ConsumResrch,A,B,C,"  Squirrel, rabbit, waterfowl and such upland game birds as grouse, dove, quail, woodcock, and pheasant are probably the first to come to mind when one"
9,1892,FIC,RabbiPriest,A,B,C,"  "" "" And the Jews an enemy before whom the stoutest of their number shall quail, "" continued the priest. "" So shall it be, your excellency."
10,1885,FIC,DrivenBackEden,A,B,C,"  enforced, nature would fill the woods, fields, and mountains with partridges, quail, rabbits, and other wholesome food. Remember what an old and thickly settled"
11,1922,FIC,SkyLineSpruce,A,B,C,"  northern species of that full-bosomed clan, the upland game birds; little, brown quail, willow grouse, fool hens, and the incomparable blue grouse, half of"
12,1854,FIC,PoeticalWorks,A,B,C,"  , though many fields Had heard his warlike shout, And pale now, and quail now His thousands put to rout. Twine garlands for our Cavalier, The gallant"
13,1834,FIC,ProseSketchesPoems,A,B,C,"  disgrace and shame resting darkly upon my name? Be not deceived; nay, quail not, hide not your eyes, and turn not away your heads. Be"
14,1842,FIC,SportingScenes,A,B,C,"  induce us sportsmen and farmers of the North to give up the name of "" quail. "" When our New England forefathers first arrived in this country, some of"
