entry,year,genre,source,a,b,c,text
731,1814,FIC,LoversVows,A,B,C,"  a whole night in the open fields. Once, I had arrived at the river side, there where stands the mill, and sorely was I tempted to throw"
17,1820,NF,JournalsTwoExpeditions,A,B,C,"  at least, we had never before seen any fresh-water shell resembling it. The river fell during the last night and the course of this day very considerably, and"
46,1820,NF,JournalsTwoExpeditions,A,B,C,"  the Lachlan, although the people there had observed some very high floods in the river; one particularly that would nearly correspond with the time when an unexpected fresh surprised"
104,1820,NF,JournalsTwoExpeditions,A,B,C,"  every where seen. The general elevation of the country still continues high; the river pours along a vast body of water; there is no fresh in it,"
110,1820,NF,JournalsTwoExpeditions,A,B,C,"  of the natives were seen armed, or in any way hostilely inclined. The river ran to the north-west by north over a bottom of rock and sand: in"
121,1820,NF,JournalsTwoExpeditions,A,B,C,"  appeared quite new but not in flower. Four or five miles back from the river (east), the country rises and is not flooded, the soil being"
135,1820,NF,JournalsTwoExpeditions,A,B,C,"  in the mountainous and rocky ridges which are occasionally to be met with. The river and lagoons abound with fish and fowl, and it is scarcely reasonable to suppose"
191,1820,NF,JournalsTwoExpeditions,A,B,C,"  not of large growth; the soil is not good. In returning to the river we came upon the creek which terminated Mr. Evans's journey, down which we"
238,1820,NF,JournalsTwoExpeditions,A,B,C,"  , and weighed about two pounds three quarters. June 6. -- Proceeded down the river about four miles, when the boats were finally laden. The river in Wellington"
824,1820,NF,JournalsTwoExpeditions,A,B,C,"  , and its current is about a mile and a half per hour. The river has fallen yesterday and to-day nearly eighteen inches. June 27. -- The river continues"
887,1820,NF,JournalsTwoExpeditions,A,B,C,"  the soil upon them, that the rain rendered the ground very soft. The river had many fine reaches, extending in straight lines from one to three miles,"
990,1820,NF,JournalsTwoExpeditions,A,B,C,"  them in the direction of S. 65. W. and N. 65. E. The river wound immediately under the hill, taking a westerly direction as far as I went"
291,1821,MAG,NorthAmRev,A,B,C,"  . She towed two boats of her own burden along side, and ascended the river at the rate of thirty miles a day. Her expenses are estimated to have"
709,1821,MAG,NorthAmRev,A,B,C,"  . The following year an English corvette of twelve guns, was met in the river by the French commander, 20 leagues from its mouth, and ordered to withdraw"
981,1821,NF,SketchLifeBrig,A,B,C,"  and took a position near Hick's creek, on the east side of the river, not many miles from Chatham. From this place his first despatch to Gen."
