entry,year,genre,source,a,b,c,text
1,1918,FIC,AdventuresJimmy,A,B,C,"  escape. "" He's coming! Farmer Brown's boy is coming, Brer Skunk! Yo' better get away while yo' can! "" whispered Unc'"
2,1881,FIC,ShoreAcres,A,B,C,  NAT. Thet so. What was it? GATES.' T was a skunk. A murmur of amusement goes around the table. GATES starts to go.
3,1932,FIC,BeyondDesire,A,B,C,"  "" she said. "" The damn rat, "" she said, "" the skunk. I'll bet he's a spy. "" They were having the union"
4,1942,NF,ColorDesignInApparel,A,B,C,"  Little spotted skunk, formerly known as American civet, is a sub-species of the skunk. It has a silky, short-haired, black pelt with white markings. Popular"
5,1916,FIC,AdventuresPrickly,A,B,C,"  , "" he chuckled. "" Ah must get word to Brer Porky and Brer Skunk and Brer Rabbit. "" XVI OLD GRANNY FOX LOSES HER DIGNITY Unc' Billy"
6,1918,FIC,AdventuresJimmy,A,B,C,  decided to stay. He even grinned. A few seconds later up came Jimmy Skunk. It was a white stripe on Jimmy's coat that Unc' Billy had
7,2009,FIC,DeepDown,A,B,C,"  themselves real scarce, and they didn't smell like that. It wasn't skunk, she thought, as her nostrils flared. # Hair prickled on the nape"
8,1941,FIC,MarksOwn,A,B,C,"  much as by your leave, the Federal Government itself investigated. It was that skunk, James Evans, who had started all this investigation nonsense, Arch was sure"
9,1944,FIC,CrazyWeather,A,B,C,  he went around to the tool-shed back of the house and found a can of skunk grease -- the Mormonhater's sovereign lubricant. He wiped and greased the gun and
10,1964,FIC,Harpers,A,B,C,  to their amazement that the animal was Risha. She lay dead dressed in a skunk fur coat wet with blood. One felt boot was missing. The hatchet had
11,1979,MAG,Harpers,A,B,C,"  Management and Budget. Bloom later said that he didn't want to be the skunk at the garden party. On the other hand, he didn't get to"
12,1922,FIC,SheBoss AWestern,A,B,C,"  her gun. It was only some animals, she told herself -- a coon or a skunk, or perhaps a wild cat or coyote prowling about to spring upon an unsuspecting"
13,1916,FIC,AdventuresPrickly,A,B,C,  sounded to him more foolish than before. He had to tell it to Jimmy Skunk and to Johnny Chuck and to Danny Meadow Mouse and to Digger the Badger and
14,1944,FIC,HistoryRomeHanks,A,B,C,"  a rheumy cold. Ain't that correct, Dr. Murchison? "" "" A skunk, "" said Horace, "" is a cleanly and respectable creature side a fly"
15,1922,FIC,VirginiaScout,A,B,C,"  he was mortal hit, but he managed to reach this hole. Then the skunk jumped in a-purpose to make us all this bother to git his scalp. """
16,1939,FIC,WebRock,A,B,C,"  , taken a firm stand in favor of law and truth and right. The skunk,' Mr. Christian said, scarcely bothering to whisper. Mr. Alton waved his"
17,1963,FIC,Centaur,A,B,C,  let her run after lunch. When she came back she had been after another skunk. Pop's so mad at me he won't come out of his room
18,1950,FIC,Disenchanted,A,B,C,"  "" The great Manley Halliday, "" Hoffman sneered. "" Stinkin' as a skunk and twice as drunk. "" "" Disappear, Gene, "" Shep said."
19,1918,FIC,AdventuresJimmy,A,B,C,  notice what a bad thing for the temper disappointment often is? Illustration XIX JIMMY SKUNK IS TRUE TO HIS WORD Unc' Billy Possum was having a bad night of
20,1918,FIC,AdventuresJimmy,A,B,C,"  temper, a thing he rarely does. XVIII A SAD, SAD QUARREL Jimmy Skunk sat on the floor of Farmer Brown's henhouse, rubbing his head and glaring"
21,1882,FIC,PecksSunshine,A,B,C,"  by burying them, and then he went on to tell how he shot a skunk once, and spoiled a suit of clothes. We spoke to Colonel Wood,"
22,1975,FIC,LastValley,A,B,C,"  magpies flew up from it. Farther along lay a dead porcupine, then a skunk. The odor of skunk filled the Buick. The dam site was a confusion"
23,1913,FIC,WithinLaw,A,B,C,"  "" Garson's my monaker. I shot English Eddie, because he was a skunk, and a stool-pigeon, and he got just what was coming to him."
24,1909,FIC,FashionableAdventures,A,B,C,"  The chief one -- Fact is, Josh, I've acted like a howling skunk about you with her. I ran you down to her; tried to get"
25,1971,MAG,GoodHouse,A,B,C,"  thought the coyotes were kings of the desert "" until the night we saw a skunk waddle into their midst, and they flew off, tails between their legs."
26,1892,FIC,VestyBasins,A,B,C,"  battles overpast. "" Mebbe you think' t the drippin's o' one skunk did it, "" said he; "" but they didn't. Did ye"
27,1916,FIC,AdventuresPrickly,A,B,C,"  of fright, Unc' Billy Possum scampered for the nearest tree, and Jimmy Skunk dodged behind a big stump. You see, it was so sudden that they"
28,1970,FIC,MovingOn,A,B,C,"  cost fifteen cents now, "" she said. "" Do you still have your skunk? "" Patsy would have liked to kick her, but the clown stood up"
29,1867,MAG,Atlantic,A,B,C,"  since the name they gave it, - Chicago, - if it does not mean skunk, as some old hunters aver, signifies nothing of sweeter odor than wild onion"
30,1957,MAG,SatEvePost,A,B,C,"  been said, and publicly, by scientists who should know better, that the skunk has no natural enemies, It is just this sort of smug generalization that gives"
31,1908,FIC,WyomingStoryOutdoor,A,B,C,"  through many canons even to the heart of the Tetons. It had been on Skunk Creek that he had heard of her three days before, and now he had"
32,1922,FIC,HiddenGold,A,B,C,"  moment, but Santry rounded upon him in a rage. "" You -- you skunk! "" he snarled, and gestured fiercely toward the bed. "" He left"
33,1987,FIC,Mov:Overboard,A,B,C,"  !   GREG PROFITTI was going for the skunk!   DEAN PROFITTWho let a skunk in the house!? Joe, Travis and Greg point at each other,"
34,1922,FIC,Play:HairyApe,A,B,C,"  dirty spy, you rotten agent provocator, you can go back and tell whatever skunk is paying you blood-money for betraying your brothers that he's wasting his coin."
35,1974,FIC,Centennial,A,B,C,"  ' Poteet said. Three things no sensible manp453fools with. A rattlesnake, a skunk, and most of all, a cook. "" Or women,' Ragland"
36,1917,FIC,Barbarians,A,B,C,"  . "" Ain't that me all over! -- soft-hearted enough to do that skunk a kindness thataway! "" But his youthful voice was shaking, and he stared"
37,1957,FIC,RallyRoundFlag,A,B,C,  another had called him a worse thief than any red man on earth -- a skunk and a scoundrel who to the white man's vices had added those of the
38,1933,FIC,ObelistsAtSea,A,B,C,  the gangplank right behind her. And next day I scraped an acquaintance with that skunk Younghusband and got him to introduce me. I've waited and searched -- and
39,1993,FIC,FarriersLane,A,B,C,"  have a smell to it. "" "" It's' bout as powerful as skunk, I reckon. "" Lem made a clicking sound in his mouth. Hammerhead"
40,1884,FIC,Ramona,A,B,C,"  Farrar, thet's lighted out er hyar, he's nothin' more'n a skunk, but he's got the Lawd after him, naow. It's jest"
41,1918,FIC,AdventuresJimmy,A,B,C,"  ? "" XIV A LITTLE SOMETHING ABOUT EGGS "" An egg, "" says Jimmy Skunk, "" is good; It's very good indeed to eat. "" """
42,1938,FIC,Millbrook,A,B,C,"  for it, too. And now he' s run away -- the white-livered skunk! "" William stood so still Lyde said you' d have thought he'"
43,1905,MAG,Atlantic,A,B,C,"  as is also our bobolink which, in some localities, is called "" the skunk bird, "" and neither of these birds has any such reason to advertise itself"
44,1918,FIC,AdventuresJimmy,A,B,C,"  does, and your politeness is as fine as yo' are han'some, Brer Skunk. Ah'll just step one side and let yo' go first just to"
45,1933,FIC,ErieWater,A,B,C,"  with tuberculosis, against which she dosed herself with a ferocious concoction known as "" skunk oil "" which she kept on the sill of the kitchen window. Its smell"
46,1911,FIC,Mavericks,A,B,C,"  way of it, yet you save my life even while you think me a skunk. I can't thank you. What's the use of trying? """
