entry,year,genre,source,a,b,c,text
1,1874,FIC,StorySummer,A,B,C,"  so the boat was righted, and we proceeded upon our journey, at a snail's pace, however. "" Owing to the accident, we did not reach"
2,1882,NEWS,NYT-Reg,A,B,C,"  cases of Small against Tillman, from the Fifth District of South Carolina, and Snail against Shelley, from the Fourth District of Alabama. Sergeant-at-Arms Hooker says he can"
3,1951,NEWS,WallStJrnl,A,B,C,  ever received on a piece of major legislation. Yesterday's voting continued at the snail's pace that has characterized House action on the controls bill 811 week. Only
4,1847,FIC,SurfSkiffTheHeroine,A,B,C,"  the cliff creeping along like a sick crab, and Buttermilk after you like a snail with his shell on his back. What is that I hear -- thunder or"
5,1898,FIC,LauncelotGuenevere [1898-1907],A,B,C,"  as far this Ladinas o'erpeer As mountains anthills. Fie, a worm, a snail! Kaye. Kaye.' T is most deplorable. Let us bring the"
6,1922,FIC,VoyagesDrDolittle,A,B,C,  started off to paddle it down the shore. I was mortally afraid that the snail might have left before I got back. And you can imagine how delighted I
7,1935,MAG,Harpers,A,B,C,"  By comparison, the organization of labor in the United States has proceeded at a snail's pace. In 1934 the membership of the American Federation of Labor, after"
8,1999,FIC,Play:QueensTwoBodies,A,B,C,"  the Big Dipper and the Little Dipper. ELIZABETH Have you seen it, little snail? p. 71 HELEN No. ELIZABETH You will never see it. The firmament"
9,2005,FIC,OtherwiseEngaged,A,B,C,"  , then slid halfway down before plopping unceremoniously on the floor, leaving a brown snail trail on the yellow paint. She stared at the mess, then let out"
10,1922,FIC,VoyagesDrDolittle,A,B,C,"  he knew he was on the right road to Puddleby River. And what the snail said in reply got the Doctor so excited, that having no paper left,"
11,1962,FIC,ThinRedLine,A,B,C,"  , and they could not take any chances. As they moved along in this snail's way, sweating and panting in the sun from the exertion, Bell's"
12,1944,MAG,Harpers,A,B,C,"  a relic. Among the Indian objects some are very interesting, such as big snail shells with ornamentations. The shells must have come from the Gulf of Mexico and"
13,1907,NF,ThreeAcresLiberty,A,B,C,"  Caesar and Pompey, as Jacques Boyer says in American Homes and Gardens. The snail lays from fifty to sixty eggs annually. They are deposited in a smooth hole"
14,1891,FIC,StandByTheUnion,A,B,C,"  look at the Vernon, which had just begun to move, though at a snail's pace, and he hoped he should be able to get on board of"
15,1987,FIC,CaptiveBride,A,B,C,"  of the bees were sucking at the flowers' cups, and there was a snail or two climbing up green stems. There was plenty of white space between the"
16,1940,NEWS,NYT-Let,A,B,C,  or summonses. No space is left for cars going through without slowing to a snail's pace. There is no space against a curb for parking a car for
