entry,year,genre,source,a,b,c,text
633,1818,FIC,LadiesMonitor,A,B,C,"  , To dress a lady like a humming-bird, Full many a despicable worm and snake Wear finer robes than art could ever make -- Could she appear like Esther at"
122,1819,FIC,SeaSerpent,A,B,C,"  make a feast, One thousand affidavits at the least. O! that the snake, for woman's ruin made, Should patronize me in my honest trade;"
343,1819,FIC,SeaSerpent,A,B,C,"  in my honest trade; Let a new sign upon my door appear: -- Snake! snake! snake affidavits, taken here! Mean time I'll to the"
382,1819,FIC,SeaSerpent,A,B,C,"  their covering every year. A better proof of victory had been To send the snake himself, as well as skin. Ser. Servant Why, so it would"
790,1819,FIC,SeaSerpent,A,B,C,"  Consult the learned, send a painter down, To take the likeness of the snake and town. To both. Meet not a woman but you straight accost her"
30,1820,FIC,PoeticalWorks,A,B,C,"  thy lawless love, Unhappy Fair! nor on the fated way Saw the dire snake, that ambush'd for his prey. Her sister Dryades wail'd the deadly"
494,1820,NF,JournalsTwoExpeditions,A,B,C,"  of the mount for the purpose of looking around: a very large brown speckled snake was killed about half way up, which, in the absence of fresh provisions"
712,1820,FIC,PoeticalWorks,A,B,C,"  to freedom, Save like the Jewish pole in Edom; Or like the brazen snake of Moses, Cure your crackt skulls and batter'd noses? "" Ye dupes"
82,1822,FIC,New-EnglandTale,A,B,C,"  toad with his glistening eye, springs far from me; and the big scaly snake, that's coiled and ready to dart, glides away from me. """
921,1823,FIC,ErrataTheWorks,A,B,C,"  -- Hammond buckled his long, lithe arms, with the swiftness of a black snake, about his waist -- knuckled his back, till his head and heels almost"
681,1824,FIC,Hobomok,A,B,C,  . That's like Tatobam's wampum. Tatobam kill snakes -- make great spirit snake very angry -- That's reason the Indian from the west call him Tongoomlishcah.
886,1824,NF,JournalConversations,A,B,C,"  against my' Cain.' He "" contends, it seems, that the snake which tempted Eve "" was not a snake, but the Devil in disguise;"
22,1827,FIC,BuccaneersARomance,A,B,C,"  of Graham, while his wily eye darted, like the piercing orbs of a snake, on all about him: and close to his side stood the heavy and"
217,1827,FIC,BuccaneersARomance,A,B,C,"  on my soul it doth amuse one, to see the forked tongue of the snake spit out venom against the bosom that cherished it "" -- his dark eyes dilated"
869,1827,FIC,HopeLeslieVolume1,A,B,C,"  's race, I will speak. This, "" she added, unfolding the snake's skin, "" this betokeneth the unseen and silent approach of an enemy."
264,1828,FIC,ChurchInWilderness,A,B,C,  should the child die?' The fierce old prophet watched his emotions as the snake fixes her infernal eye on the bird she is charming unto death. Because the
11,1832,MAG,NewEngMag,A,B,C,"  299 sixty miles an hour. But they can stop, at selected points, snake their excursions, explore the country, collect specimens for their cabinets, and have"
134,1832,FIC,SwallowBarnASojourn,A,B,C,"  at that knowledge? "" "" He should be old enough to catch a black snake in the water, Mister Ned; or, at least, he ought to"
142,1833,FIC,PoemsProseWritings,A,B,C,"  over it, then shook it from his hand as if it had been a snake he held. -- "" This is not her blood, "" muttered he,"
169,1834,FIC,ProseSketchesPoems,A,B,C,"  , And steer my boat before the gale. I coil myself like a quivering snake, Invisible on a chaotic lake; And I stay unseen in the chasms of"
