entry,year,genre,source,a,b,c,text,
1,1921,FIC,GraceHarlowesOverland,A,B,C,"  lower than the front, and across these he laid ridge poles. When the spruce boughs were brought in they were placed on top of the framework thus erected,",
2,1960,FIC,ConstantImage,A,B,C,"  already guessed, a bottle of Dom Perignon. Carlo appeared in the doorway, very spruce and beaming with pride. "" See what a good provider I am? """,
3,2001,MAG,NaturalHist,A,B,C,"  rock jasmine, and alpine primrose. Sidebar Subalpine forest has subalpine fir, Engelmann spruce, lodgepole pine, and mountain ash. Myrtle-leaved blueberry is the most abundant shrub",
4,1912,MAG,Scribners,A,B,C,"  Theirs is not the possession of luxurious beauty laden with the scent of pine and spruce and redwood, such as is given the lofty Sierras. They are tumbled together",
5,1868,FIC,BoneSquash,A,B,C,"  common black man. Mose. Mose Who do you call de black man? Spruce. Spruce Pink You, you common nigger. Crossing to Mose, but is",
6,1980,NEWS,Boston,A,B,C,  she didn' t fling herself off such local landmarks as Mt. Mansfield and Spruce Peak. As a child eccentric who avoided the usual playgrounds - ski trails called,
7,1963,NF,ChemistryWoods,A,B,C,"  181). Later, Freudenberg (65) demonstrated that the elemental composition of spruce lignin conforms closely to that of a guaiacylpropane polymer. The concept has found valuable",
8,1995,NEWS,Denver,A,B,C,"  the town of Jefferson, then southeast on Tarryall Road for about 25 miles to Spruce Grove Campground. Or head west of Colorado Springs on U.S. 24, turn onto",
9,1946,NEWS,NYT-Let,A,B,C,"  found in only two types: the beech, birch, maple type and the spruce, fir type. Furthermore, most of this is quite inaccessibly located on steep",
10,1918,FIC,MyÁntonia,A,B,C,"  iced lemonade under a white umbrella at the corner, and made faces at the spruce youngsters who came to dance. That vacant lot soon became the most cheerful place",
11,1976,MAG,Time,A,B,C,"  West. In forest areas, the gypsy moth, the tussock moth, the spruce budworm and the southern pine beetle are wreaking devastation on huge areas of woodland,",
