entry,year,genre,source,a,b,c,text
1,1880,FIC,TalesChesapeake,A,B,C,"  a stork. It was a white stork with a red bill and plenty of stork's neck, but short legs. Nanking doubted if it could stand on one"
2,1955,FIC,Lolita,A,B,C,"  Street. "" "" Yes. "" "" When you were born, did the stork bring you? "" "" No. "" "" Your mother and father made love"
3,1960,FIC,CallArctic,A,B,C,"  quick and curt way of talking, all the time capering about like an ancient stork. "" Yes, yes! I remember Mr. Hall! Of course I do"
4,1924,MAG,NatGeog,A,B,C,"  ? Excluding from the reckoning domestic poultry of all sorts, as well as the stork, which, wherever European tradition holds sway, is saddled with the responsibility for"
5,1966,FIC,MatterTime,A,B,C,"  She stood, before dressing, looking at herself in the full-length mirror. "" Stork, stork, "" she hissed, and turned quickly away. She hadn't"
6,1893,MAG,Century,A,B,C,"  out some of the types that you see? Here are the pine-tree and the stork, emblems of long life; or the bamboo and the sparrow, which typify"
7,1876,NF,HistoryWarfare,A,B,C,"  July, 1873, article on Some Assumptions against Christianity, by Rev. C. A. Stork, Baltimore, Md., pp. 325, 326; also, in the same"
8,1976,FIC,SpectatorBird,A,B,C,"  pedigree. "" The countess stood up, and as she did so, the stork left its nestp107and flapped off low over the tops of the trees. We watched"
9,1919,NF,AmericanLutheranism,A,B,C,"  , M.L. Stoever, S.S. Schmucker, Krauth, Sr., E.W. Hutter, T. Stork, C.A. Hay, W.H. Lochman, M. Valentine, B. Sadtler, and J.A"
10,1937,MAG,SatEvePost,A,B,C,"  lay squarely in the basin behind the Huffman Dam, was bought, lock, stork, barrel. Oshornites later bought 129.48 acres two miles away, above flood line"
11,1952,FIC,CatherineWheel,A,B,C,"  been engaged in nothing but small talk, she began to plan a picnic on Stork Island to which they would invite the Smithwick boys. Rhetorically she inquired whether they"
12,1964,MAG,Time,A,B,C,"  the company had recovered its financial health, Opel's Ohio-born Managing Director Nelson J. Stork, 59, a veteran in G.M.'s overseas divisions, began to level his"
13,1964,NEWS,Chicago,A,B,C,"  national conven tion. "" Burch added that he war. weary of seeing press stork. about "" the Pentagon says, "" and noted that the name of a"
14,1966,FIC,MatterTime,A,B,C,"  , before dressing, looking at herself in the full-length mirror. "" Stork, stork, "" she hissed, and turned quickly away. She hadn't lost much"
15,1925,NEWS,NYT-Reg,A,B,C,"  and Playgrounds Association, the United Neighborhood Houses DZ New' York, the New Stork Chapter of the Society of Landscape Architects,. the Fifth Avenue Association, the"
16,1867,FIC,MissRavenelsConversion,A,B,C,"  ; and during that time -- "" "" That is not the point. King Stork has succeeded King Log. King Stork's men must have the nice places and"
17,1945,FIC,WhiteTower,A,B,C,  sparkling burgundy. Then you went to the Persian Room and danced and to the Stork and danced and to all the other places and danced (all at no charge
18,1880,FIC,TalesChesapeake,A,B,C,"  too, but its wings are all white! "" ""' T is a stork, yah, op myne eer! Upon my honor, it is! """
19,1947,MAG,GoodHouse,A,B,C,"  the comic Violin, but Miss Bankhead is prettier. A left her at the Stork Club one es. for a conference with a theatrical mar. who had incurred her wrath"
20,1955,FIC,Harpers,A,B,C,"  of a prison-van, but on the rear door of it was painted a pink-legged stork, better than life-size, with its eye cocked, half in sagacity, half"
21,1929,MAG,Time,A,B,C,"  had no intention of writing one. # Tailless Plane. A triangular shaped "" stork "" plane, lacking conventional tail structure, flew 78 m.p.h. with a 8-h.p. motor"
22,1919,FIC,BoyAlliesWithVictorious,A,B,C,"  , and Manly. Outer patrol off Zeebrugge -- Attentive, Scot, Ulleswater, Teazer and Stork. At Dunkirk -- Monitors for bombarding Ostend: Marshal Soult, Lord Clive, Prince Eugene"
23,1874,NF,MannersCustoms,A,B,C,"  feathered game the heron, the crane, the crow, the swan, the stork, the cormorant, and the bittern. These supplied the best tables, especially"
24,1880,FIC,TalesChesapeake,A,B,C,"  on the bird and set it on the new-made nest. In a minute the stork stood up on its short legs, poked its beautiful head and neck into the"
25,1986,FIC,Whirlwind,A,B,C,  really wasn't any company left when that fire was over. Henry Whitsun... Stork Anson... Alan Snopes... Everett McCaslin... Horton Sartoris... all
26,1975,FIC,Ragtime,A,B,C,"  inch black orbs, talking to three young men on chopper motorcycles. "" The Stork Club, "" Spencer remarked, shaking his head disgustedly. "" They go in"
27,1964,MAG,NatGeog,A,B,C,  paid not the slightest attention to us. Mickey Reveals an Enormous Appetite A wood stork needs a lot of food? a f; L I came to appreciate after
28,1997,NF,HiredPens,A,B,C,"  her historical interest in Madame Roland. She also was put to work translating short stork for which she was paid less than a dollar a translation, while her articles"
29,1880,FIC,TalesChesapeake,A,B,C,  him into their tribe. On the third day the absent Indians returned with a stork. It was a white stork with a red bill and plenty of stork's
30,1960,NEWS,WallStJrnl,A,B,C,"  . Tom Milani of PHHHH14 Brands, Inc, comma ins "" evelyborly this to stork everything and compete on the! owe of every item with everybody else "" All"
31,1991,MAG,MotherJones,A,B,C,"  's one of us. "" # Reagan was fight. Seaga, following the stork's counsel, set out to cut the legs from the previous Jamaican government's"
32,1959,NF,WorldMan,A,B,C,"  difficult. How can the Japanese association of cherry blossoms with spring, or the stork with new hope, be rendered in English without copious and cumbersome footnotes? //"
33,1875,FIC,JestEarnest,A,B,C,"  . "" "" Perhaps you had better read the fable of the Frogs and King Stork. "" "" Thank you. I had never dared to hope that you regarded"
34,1905,NF,NaturalHistory,A,B,C,"  , particularly well in the case of a long-legged bird such as a crane or stork, that when a bird is standing upright it stands upon its toes only."
35,1891,NF,ScienceFairyTales,A,B,C,  . In this need a thought struck him: he caught and tamed a giant stork and taught him to carry him. On the back of this bird he returned
36,2001,MAG,Jet,A,B,C,"  for protesting the U.S. Navy bombing exercises in Puerto Rico. * WAITING FOR THE STORK: NBA star Grant Hill and his wife, singer Tamia, are expecting a"
37,1923,NF,HighwaysHighway,A,B,C,"  These same men started the scheme, whirls afterward became common, of watering the stork, that, is increasing the outstanding stock, and distribute ig it as dividends"
38,1870,FIC,PrudyKeepingHouse,A,B,C,"  ground. Horace thought of Lady Jane Grey in prison. There was a white stork holding his red nose against his bosom, as if to warm it. A"
39,1980,FIC,MorgansPassing,A,B,C,"  ordered Ben-Gurion Airport to prepareHassida for takeoff. "" Hassida, "" Hebrew for "" stork, "" was the code word for a Boeing 707. From the outside,"
40,1936,FIC,BigMoney,A,B,C,"  about his divorce and how much it was costing him. One night at the Stork Club, when he was showing her pictures of his kids, he broke down"
41,1933,MAG,NatGeog,A,B,C,"  as palnaar, or palm grove, and teems with bird life. The jabiru stork, standing five feet high, lives on the margins of Chaco lagoons. It"
42,1963,FIC,MyNameIsMorgan,A,B,C,"  known to them. "" "" You're entitled, "" Morgan said. The stork gathered its plumage. "" You may scoff at figures if you like, Mr."
43,1919,FIC,BoyAlliesWithVictorious,A,B,C,"  a force consisting of the flotilla leaders Scott and the destroyers Ulleswater, Teazer and Stork, and the light cruiser Attentive, flying the pennant of Commodore Boyle, was"
44,1994,FIC,coca_mag,A,B,C,"  "" her father exclaimed. # Sarah did not believe babies were brought by the stork or found under cabbage leaves. Nor did she believe the magazine she had once"
45,1923,NEWS,WallStJrnl,A,B,C,"  , appraisal of real property is not in the same case with annual inventories of stork in trade."
46,1905,MAG,Atlantic,A,B,C,"  high hand. The same is in a measure true of the ibex, the stork, the crane,? all birds more or less gregarious, and all birds"
47,1951,MAG,Time,A,B,C,"  "" Since then Winchell has always had his own table there, and uses the Stork as his night office. There, he has planned many of the crusades which"
48,1934,FIC,CaptainCaution,A,B,C,"  rising to eaves that swept upward to still higher eaves, and thence to a stork at the top; a stork so graceful and so lifelikethat it seemed poised above"
49,1970,FIC,IslandsInStream,A,B,C,"  that she loved so well. He planned to leave the other one at the Stork, which was the place she really loved, but he was afraid Mr Billingsley"
50,1854,FIC,PoeticalWorks,A,B,C,"  , 1814-1877: PRELUDE. from The poetical works (1854) Yea, the stork in the heaven knoweth her appointed times; and the turtle and the crane and"
51,1971,FIC,Tenants,A,B,C,"  danced with Sam, who shimmied high and shimmied low. Sam moved like a stork with palsy, Mary, both arms aloft, danced with hot eyes. At"
52,1966,MAG,GoodHouse,A,B,C,"  playing in the corridor. "" Aha, "" he observed, "" soon the stork will bring a little baby. "" Caroline frowned at him. "" How can"
53,1947,MAG,Time,A,B,C,  more in his career he was trying to get someone to stop using the name Stork Club on a gin mill other than his own. # This time it was
54,1959,NF,DressDoctor,A,B,C,"  played. Then, when she was finally put into more sophisticated roles, in Stork Club, for instance, she absorbed fashion with a mind as receptive as blotting"
55,1948,FIC,NakedDead,A,B,C,"  was one of the beautiful Eliots), and standing on one leg like a stork had thoughtfully wiped his nose on the back of his left hand. Then she"
56,1939,MAG,Time,A,B,C,"  Frankie to the chair. Such versatility caused Director Howard's friends at Manhattan's Stork Club, whose major-domo Jack Entratter got a policeman's part in the picture,"
57,1958,MAG,SatEvePost,A,B,C,"  was a Kansas City haberdasher. I have a lot of trouble getting into the Stork Club, It's not that I'm barred from the Stork Club. I"
58,1980,MAG,NewRepublic,A,B,C,"  all lost ground since our last round, following the general decline of both the stork and bond markets. But once again, rising interest rates meant a better return"
59,1966,FIC,Harpers,A,B,C,"  could hear him flap away making a cracking noise like a broken helicopter. The stork should have been used to the smoke now, perhaps selected this spot to enjoy"
