entry,year,genre,source,a,b,c,text
1,1984,FIC,Stillwatch,A,B,C,"  doors. The dining room table was set with an elaborate buffet: caviar and sturgeon, a Virginia ham, turkey en gelee, hot biscuits and salads. Two"
2,2004,MAG,OutdoorLife,A,B,C,"  , roller-tip rod and a heavy-duty level-wind reel spooled with at least 40-pound-test line. Sturgeon are scent feeders that stay on the bottom, so bait has to be kept"
3,1853,FIC,ChevaliersFrance,A,B,C,"  her topmasts. No sounds or sights of life save the plash of the heavy sturgeon falling back on the mirrored surface, and breaking the green-wood picture, which slept"
4,1874,NF,WesternWorld,A,B,C,  weigh from two or three to seven pounds. There are fine pike also. Sturgeon are caught in Lake Winnipeg and the Lower Saskatchewan of the weight of 160 pounds
5,1909,NF,UnionCuaseInSt,A,B,C,"  must become fatal to liberty. Snead also holds that few Secessionists organized until "" Sturgeon's folly "" set fire to the passions of men and lit the flames of"
6,1977,MAG,Harpers,A,B,C,"  . There were books by Robert Heinlein, Harlan Ellison, Isaac Asimov, Theodore Sturgeon. There were also Camus, Steinbeck, the Durants. There were novelistic spin-offs"
7,1856,NF,IndianFairyBook,A,B,C,"  , lonely, and out-of-the-way place. The Manito advised Owasso to spear a large sturgeon which came alongside, and with its great glassy eye turned up, seemed to"
8,1836,NF,AstoriaAnecdotes,A,B,C,"  been a gathering of warriors in a neighboring bay, under pretext of fishing for sturgeon; and fleets of canoes were expected to join them from the north and South"
9,1962,MAG,SportsIll,A,B,C,"  or since. The lake sturgeon brought a slightly higher price, but the white sturgeon compensated for the difference with its immense size and, more important, with its"
10,1977,NF,TasteAmerica,A,B,C,"  For his turn, Brezhnev had an allRussianfeast flown in from Moscow: caviar, sturgeon, Kamchatka crabs, cucumbers, an assortment of game, P215strawberry mousse, Soviet"
11,2000,FIC,Ploughshares,A,B,C,"  shame what happened to it which is not pretty. Irrigation and all and no sturgeon any more and pubic hairs and pollution. # -- Harve Benedict, English 12"
12,1943,NF,SociologyPrinciples,A,B,C,"  survival of offspring is secured simply through the production of enormous numbers. Thus the sturgeon, a low type of fish, produces between one and two million eggs at"
13,1937,MAG,Time,A,B,C,"  slid down the back; had evidently been playing the game all night. # Sturgeon # In Hot Coffee, Miss., R. J. Knight exhibited a 7-ft., 198-lb."
14,1932,FIC,Invasion,A,B,C,"  he had stayed long at Chegoimegon to fish and had smoked a great quantity of sturgeon and whitefish. He had not left until late in October, and before his"
15,1963,MAG,Time,A,B,C,"  blurry traces of Viking visits to North America before Columbus; of uremia; in Sturgeon Bay, Wise. Holand was an unknown amateur in his field when, in"
16,1962,MAG,SportsIll,A,B,C,  almost sense an outraged snort as it moves out. How far an eight-or nine-foot sturgeon can go before it runs out of steam has never been determined. The poor
17,1933,FIC,ErieWater,A,B,C,  . He told her of the marshes wherep173the wild fowl came in and of the sturgeon in the river. He told her of the sleigh rides on winter nights and
18,1999,FIC,VirginiaQRev,A,B,C,"  , or some sort of metallic trifle, stimulating historical fantasies, or a dead sturgeon, selfmummified; in addition to all this, you can smell such a refined"
19,1962,MAG,SportsIll,A,B,C,"  , he corners the sturgeon in a deep pool surrounded by shallows; sometimes the sturgeon may go thrashing into the shallows or run aground on a bar. But the"
20,1999,FIC,NewEnglandRev,A,B,C,"  to spirit her away from the possessive Schlee, whom he dubbed "" the Russian sturgeon. "" In this one, Garbo's face is in the dark, her"
21,1962,MAG,SportsIll,A,B,C,  and even onions and potatoes. There is no way a fisherman can lure a sturgeon or hasten its hunger pangs. All he can do is cast his bait in
22,2000,FIC,FantasySciFi,A,B,C,"  , a velvet quiver, and silver-headed quarrels. Dwarfs scurried about, serving up sturgeon roe, pickled tongue, quail eggs, and capons-in lemon and saffron - the"
23,2004,MAG,OutdoorLife,A,B,C,"  . Using a 15-inch leader of soft, woven Dacron reduces the likelihood that a sturgeon will spit the hook out of its sensitive mouth. Heavy, stainless steel barrel"
24,1998,NEWS,AP,A,B,C,  . Catch and release fishing may continue. # The Dalles Pool: Closed to sturgeon retention. Catch and release fishing may continue. # John Day Pool: No
25,2004,MAG,OutdoorLife,A,B,C,"  unharmed at once. Smoked or grilled, sturgeon backstrap is a gourmet feast. Sturgeon fishing goes on year-round from Bonneville Dam to Astoria, including the lower Willamette River"
26,1962,MAG,SportsIll,A,B,C,  to have sighted in such an uncommonly large number of western lakes are also trapped sturgeon. The fact that in some instances two or three successive generations of fishermen supposedly
27,1957,FIC,Play:Founders,A,B,C,"  They spy after Pocahontas as well as us. JOHN DODS We hung a monstrous sturgeon, but he broke our net in our weakness and went flopping away. The"
28,1932,FIC,IJamesLewis,A,B,C,"  our metal frying pans and must be forbidden any more fish. Then that the sturgeon season was coming, and with it a great number of kinsmen' from near-by"
29,1962,MAG,SportsIll,A,B,C,"  is one that weighs 200 pounds or more, though nobody doubts that, as sturgeon still go, a 200-pounder is just a middling fish. After the Bonneville Dam"
30,1962,MAG,SportsIll,A,B,C,"  a nearby pasture. // There are varying reports about the exact size of this sturgeon, but no dispute at all that it was at least 12 feet long and"
31,1932,FIC,IJamesLewis,A,B,C,"  . Once he had been a prisoner among the Tanu, who had taught him sturgeon fishing. He preferred the white men's ships, where one need only sail"
32,1962,MAG,SportsIll,A,B,C,  housewives of the era called sturgeon Albany beef. By the turn of the century sturgeon fisheries were flourishing along the Atlantic and Pacific seaboards and all through the Great Lakes
33,1962,MAG,SportsIll,A,B,C,"  getting recognition as a gamefish, some scientists are beginning to speculate that the Atlantic sturgeon, which may grow to be 600 pounds, and the lake sturgeon, which"
34,1994,FIC,FantasySciFi,A,B,C,  hardest to write -- and Zenna Henderson had already written it several times over. Sturgeon was another one who could handle that angle. I wished I could pick up
35,1962,MAG,SportsIll,A,B,C,  weekend fisherman there is only a fair chance that he will recognize it as a sturgeon. Even if he is blessed enough to have an intimate knowledge of one or
36,1932,FIC,IJamesLewis,A,B,C,"  of Comcomly for our passage North. He had drifted down with the many visiting sturgeon fishermen from Gray's Harbor. A young man still, a captive of the"
37,1981,NF,PatternsVertebrate,A,B,C,"  odor, and the behavior is probably common in this large group of fishes.656 The sturgeon chub (Hybopsis gelida) is adapted for life in rapid, turbid streams;"
38,1962,MAG,SportsIll,A,B,C,"  across the Columbia was completed in 1937, it was generally conceded that truly huge sturgeon would never be seen in the rivers again, but then the Yakima Indian caught"
39,2000,FIC,Ploughshares,A,B,C,"  your added fragment, which you would not change: Irrigation and all and no sturgeon any more and pubic hair and pollution. O Harve, O hundreds and hundreds-with"
40,1856,NF,IndianFairyBook,A,B,C,"  having speared him, as he was created to be meat for man. The sturgeon made no reply, or if he did, it has not been reported;"
41,1880,FIC,TalesChesapeake,A,B,C,"  its shelving interior, and yet sustain no great atmospheric pressure. I selected a sturgeon, whose body was so powerfully plated that he could not be crushed, and"
42,1962,MAG,SportsIll,A,B,C,"  , most fishermen simply will not believe how difficult it is to land a white sturgeon that weighs 200 pounds or better. It requires skill, of course, but"
43,1881,NF,CaptainJohnSmith,A,B,C,"  colony was fed by the labors of thirty or forty men: there was more sturgeon than could be devoured by dog and man; it was dried, pounded,"
44,1856,NF,IndianFairyBook,A,B,C,"  carried him along, which he did at great speed. Once he directed the sturgeon to rise near the surface of the water, so that he might, if"
45,2004,NEWS,Denver,A,B,C,"  on the crme frache. If you can splurge, try some of the stunning sturgeon caviar being produced in this country; otherwise, the salmon roe sold in supermarkets"
46,2002,NEWS,Chicago,A,B,C,"  were speared, even though 4,368 shanties were counted. That compares with the 1,074 sturgeon speared and 4,997 shanties counted on opening day last year. # Generally, the"
47,1912,FIC,BoyWithUSFisheries,A,B,C,"  the sharks and the true bony fishes. The paddle-fish is closely allied to the sturgeon, and its roe has recently been found to be almost as good for caviare"
48,1998,NEWS,AP,A,B,C,  sturgeon angling from the mouth up to Bonneville Dam. The daily bag limit for sturgeon is one fish between 42 and 60 inches. # *The Columbia River and tributaries
49,1837,NF,DirectionsCookery,A,B,C,"  fish. STURGEON CUTLETS OR STEAKS. This is the most approved way of dressing sturgeon. Carefully take off the skin, as its oiliness will give the fish a"
50,1850,MAG,AmWhigRev,A,B,C,"  , Mason, Morton, Pearce, Rusk, Sebastian, Soule, Spruance, Sturgeon, Turney, Underwood, Yulee. NAYs-Baldwin, Benton, Bradbury, Bright,"
51,1962,MAG,SportsIll,A,B,C,"  it disappear and feel mad and helpless and sorry for yourself. "" // The sturgeon fisherman in a boat is somewhat better off, particularly if he has had the"
52,1962,MAG,SportsIll,A,B,C,"  days, Glenns Ferry still proudly proclaims itself Home of the Sturgeon. // Fishing for sturgeon with rod and reel started in this area on a small scale in the years"
53,2004,MAG,OutdoorLife,A,B,C,"  ; Washington Road and Recreational Atlas, www.benchmarkmaps.com COLUMBIA RIVER LEVIATHANS "" I saw a Sturgeon which had been thrown on Shore and left by the tide 10 feet in length"
54,1845,MAG,LivingAge,A,B,C,"  , cedar, arbor-251 // vitie; its rivers and bays swarm with fishsalmon, sturgeon, cod, herring; whales and sea otters sport along its coasts; and"
55,1962,MAG,SportsIll,A,B,C,"  It is the largest of six, and some ichthyologists claim seven, species of sturgeon found in U.S. waters, and all sturgeons are what Sunday-supplement writers like to call"
56,1962,MAG,SportsIll,A,B,C,"  , and industrial plants spewed poisonous waste into lakes, bays and inlets where the sturgeon gathered to feed on lampreys and mollusks. The sturgeon was doomed as a major"
57,1981,FIC,ThirdDeadlySin,A,B,C,"  square kind from the frozen food section. A quarter-pound of smoked sable, because sturgeon was too expensive. A bunch of scallions. He made two sandwiches carefully:"
58,1962,MAG,SportsIll,A,B,C,"  that, if nothing else had changed, these laws eventually would have saved the sturgeon. It is a fact that in areas where they had been butchered almost to"
59,1838,FIC,CharcoalSketches,A,B,C,"  each loaf was as big as a grindstone and each fish as big as a sturgeon. Give Peter a chance, and leave him alone for that. Then,"
60,1962,MAG,SportsIll,A,B,C,"  deep holes along the main current. // Even so, hooking into a white sturgeon is seldom easy. It calls for perseverance, patience and, above all,"
61,1962,MAG,SportsIll,A,B,C,"  Spinning gear, even the heaviest ocean type, is generally ineffective when a big sturgeon is hooked, but fishermen who are out for thrills or glory probably will continue"
62,2003,FIC,FantasySciFi,A,B,C,"  # Nodding, James said, "" Look at Samuel Delany. Look at Theodore Sturgeon. Look at Ramsey Campbell. There are any number of writers who prove that"
63,2006,MAG,Sunset,A,B,C,"  a towel and some snacks into a day pack and drive to Sauvie Island's Sturgeon Lake, a few minutes north. A 3-mile loop trail circles Oak Island;"
64,1838,FIC,CharcoalSketches,A,B,C,"  manner, flip-flopping it about the stage as he defuncts, like a new caught sturgeon. He should be able to hagonize other people too, by taking the biggest"
65,1998,FIC,Mov:DeepImpact,A,B,C,"  differently. (pause) How come they call you Fish?   TANNERSpurgeon, Sturgeon, Fish. That took about fifteen minutes of my first day at Annapolis."
66,1999,FIC,MercyRule,A,B,C,"  see him, he'd park by the hydrant and sell salmon, abalone, sturgeon, caviar, and any other produce of the sea he happened to get his"
67,1962,MAG,SportsIll,A,B,C,"  . But no one paid much attention to these warnings, and when bills regulating sturgeon fishing were introduced in some state legislatures, they were killed by fishery operators who"
68,1971,FIC,DreamMuseum,A,B,C,  into the iced bowl of large and most perfect grains of beluga gutted from some sturgeon royal and far away. Sip this champagne bubbling palest gold. A tang of
69,1959,MAG,SatEvePost,A,B,C,"  , such as the skin ling and the scale ling, the sheepshead, the sturgeon, the billfish, the eel, the mullet, the mooneye. A skin"
70,1918,FIC,PeggyStewartAt,A,B,C,"  . As she reached it she came face to face with the Sturgeon and the Sturgeon's eyes held no "" lovelight "" for her. "" Miss Howland, what"
71,1962,MAG,SportsIll,A,B,C,"  release, or clutch, and bear the trademark of a good manufacturer. // Sturgeon usually are found in deep pools of fairly fast-flowing water along the main current."
72,1880,NF,MissParloasNew,A,B,C,"  is cut and sold like halibut, and in season in July and August. Sturgeon. This fish, like the halibut and sword fish, is large. The"
73,1851,FIC,MobyDickWhale,A,B,C,"  has hinted of the matter; but by inference it seems to me that the sturgeon must be divided in the same way as the whale, the King receiving the"
74,1962,MAG,SportsIll,A,B,C,"  with rod and reel, but they would no more think of going after a sturgeon with the equipment they use for salmon and trout than they would of hunting mule"
75,1978,NF,WildWildWoman,A,B,C,"  , on big TVA lakes in Kentucky, on Lake Shasta in California, on Sturgeon Bay in Wisconsin? and on many other suitable lakes and rivers all across the"
76,1899,FIC,WinterAdventures,A,B,C,  visit they had with them while Sam was having his bruised body well rubbed in sturgeon oil by a stalwart Indian. This is the Indian's drastic remedy for such
77,1947,MAG,Harpers,A,B,C,"  , "" but they like our food better. The Russians shun caviar I had sturgeon and caviar on the buffer table, think of it, and Gromyko's secretary"
78,1999,MAG,NaturalHist,A,B,C,"  bit more ad hoc. A visit to the nearly deserted state-owned caviar factory and sturgeon hatchery near the mouth of the Kur in Neftechala, seventy-five miles south of Baku"
79,1999,MAG,NaturalHist,A,B,C,"  overfishing. Back in the days of the Soviet Union, strict quotas on the sturgeon catch were enforced by the caviar commissars, but since then, the market has"
80,1962,MAG,SportsIll,A,B,C,"  a white sturgeon, or, to be precise, as an Acipenser transmontanus (sturgeon beyond the mountain). // The fact that a vast majority of our 20"
81,1962,MAG,SportsIll,A,B,C,"  fishery operators who howled that their livelihood was threatened. By 1900 commercial fishing for sturgeon had become practically non existent in U.S. waters, and though some fisheries sent out"
82,1956,NF,TomorrowsFood,A,B,C,"  sorts of hitherto little-known fish, including carp, buffalo, drum, and spoonbill sturgeon. At a trading post on Hudson Bay a new plant is freezing and storing"
83,2005,NF,GreatMortality,A,B,C,"  skyline, while across the bustling town docks flowed Merdacaxi silks from Central Asia, sturgeon from the Don, slaves from the Ukraine, and timber and furs from the"
84,1909,NF,UnionCuaseInSt,A,B,C,"  pocket thief is arrested, and before 1861 soldiers were an unusual sight. Mr. Sturgeon, as United States Assistant Treasurer, showed only proper discretion and care for the"
85,1962,MAG,SportsIll,A,B,C,"  pounds, and others have doubted it. Most experts agree that the biggest certifiable sturgeon, and thus the biggest known fish taken in America's freshwaters, was a"
86,2002,NEWS,Chicago,A,B,C,"  water have kept down the kill. On opening day this year, only 227 sturgeon were speared, even though 4,368 shanties were counted. That compares with the 1,074"
87,1962,MAG,SportsIll,A,B,C,"  as plentiful. Nevertheless, for as long as anyone can remember, the largest sturgeon have been found in this area, both in and out of the spawning season"
88,1869,NF,BOWCBookBoys,A,B,C,"  , but not often. "" "" I shouldn't wonder if it was a sturgeon, "" said Arthur. "" After all, it may only have been a"
89,1952,NF,CourseEmpire,A,B,C,"  else there might be, carp, pike, lake trout, and the huge sturgeon of the region. "" The freshwater hog, "" David Thompson called the sturgeon"
90,1971,FIC,BestLaidPlans,A,B,C,"  reception was dazzling. The profusion of caviar, herrings, smoked salmon, and sturgeon, and the generous pouring of vodka and champagne, made the affair a huge"
