entry,year,genre,source,a,b,c,text
1,1950,FIC,JoyStreet,A,B,C,"  No, I thought we'd better 69ask three girls too -- Caroline and Marion Swan and anyone else you'd like. "" "" Caroline was pretty rude to David"
2,1875,FIC,EasternFruitOn,A,B,C,"  ; her skin was as pure as alabaster, her neck was truly like the swan's, and her arms were rounded as they ought to be, her feet"
3,1910,FIC,CowboySongs and,A,B,C,"  Went gliding o'er the waters In a small birch canoe; Just like the white swan That glides o'er the tide, Young Albon and Amanda O'er the waters did ride"
4,1981,FIC,GorkyPark,A,B,C,"  I don't want to worry about him too. You need an informant. Swan has a telephone, even a car, he'd be perfect for you."
5,1984,FIC,Valediction,A,B,C,  book. I went to the Public Garden and sat on a bench near the swan boat pond and read. A man and woman in their forties came and sat
6,1960,MAG,Time,A,B,C,"  1962. # At night, Cubans listened to the anti-Castro broadcasts from U.S.-operated Radio Swan in the Caribbean and whispered among themselves that Castro militiamen had been found hanging from"
7,1837,FIC,Twice-ToldTales,A,B,C,"  , whose hearts were brimming full of scorn, ejected their venomous superfluity on David Swan. A middle-aged widow, when nobody else was near, thrust her head a"
8,1877,FIC,MinistersCharge,A,B,C,"  was trying to control himself. "" But I can tell you what, Miss Swan; you spoke too late, as the man said when he swallowed the chicken"
9,1965,MAG,Time,A,B,C,  the Rolls-Royce exhibit drew large crowds. They may have been looking at a dying swan. The rumor in Britain is that at the London auto show next month the
10,1937,MAG,Time,A,B,C,"  twice. In August 1929, while he was vacationing in Glacier Park, Banker Swan received a telegram from one of his vice presidents, reporting a conversation with Harold"
11,1884,NF,TeaLeaves Being,A,B,C,"  Hill Monument. "" Communicated by Hon. Isaac Story, of Somerville. COLONEL JAMES SWAN, Merchant, politician, soldier and author before the age of twenty-two; born"
12,1856,NF,IndianFairyBook,A,B,C,"  the edge of the sky. He was bent on success in pursuit of the swan, whose red track he marked well far westward till she was lost to sight"
13,1991,MAG,RollingStone,A,B,C,  isn't it. The Essential Collection doesn't include the transitional Ride a White Swan' or the breakthrough Bang a Gong (Get It On).' Instead
14,1974,NF,GuideStars,A,B,C,"  with a modest telescope. One is Chi Cygni, in the Cross of the Swan, which has an exceptionally large range. At its brightest it may reach the"
15,1905,MAG,Atlantic,A,B,C,"  is probably more various, and hence it has greater adaptiveness and variability. Tile swan is still more restricted in its range and numbers than the goose, and,"
16,2008,FIC,WeddingBelles,A,B,C,"  have tended the ties that bind on the second Tuesday of every month at the Swan Coach House Restaurant, where we share laughter, fun, fellowship, frozen fruit"
17,1865,FIC,FairyFingers,A,B,C,"  coming in to see him? You're his own mother; and, I swan, you haven't been near him this blessed day. "" "" Woman!"
18,1870,FIC,Clemence The,A,B,C,"  the former residence of both the Garnet family and the minister's lady. Mrs. Swan was sitting with little baby Garnet on her lap, at her friend's house"
19,1960,FIC,Play:SamHighestJumper,A,B,C,"  the alarm button, for God's sake. (SAM presses the button. Swan Lake is heard. The AMBASSADOR gets to his feet, confused. The MAN"
20,1946,FIC,SnakePit,A,B,C,"  I please. "" Red Horn sat straight in his scarlet uniform, holding the swan's wing idle in both his hands, while his mind seemed working at the"
21,1889,FIC,QueenHildegarde,A,B,C,"  and then, giving it up, he said simply: "" Well, I swan! Do ye kerry all that round with ye all the time? "" Hilda"
22,1994,MAG,SatEvenPost,A,B,C,"  features. # PHOTO: Swan Lake one of the scenes from the movie The Swan Princes # PHOTO: "" We named the company Nest because, by definition,"
23,2004,MAG,FieldStream,A,B,C,"  planting a tree for each deer killed. It's your choice, because as Swan says, "" It's more about the attitude than the action. "" Illustration"
24,1986,MAG,NewYorker,A,B,C,"  a silent respect. The performance is very good: ex -- cerpts from "" Swan Lake, "" "" Sleeping Beauty, "" "" La Bayadere. "" In contrast"
25,1991,MAG,NatlParks,A,B,C,"  's Centennial Valley, was created in 1935 by Congress in response to the trumpeter swan's urgent need for protection. Then, as now, trumpeters were vulnerable to"
26,1878,FIC,[PoemsIn]AMasque,A,B,C,"  elegance of place Seemed native to them, as the lakelet's glass To the swan's form and duplicated grace. To their grand house thronged Flattery and Grimace;"
27,1856,NF,IndianFairyBook,A,B,C,"  near his daughter. "" And you also, "" he said to the Red Swan. The chief's daughter was engaged in coloring a girdle, and, as"
28,1984,MAG,NewYorker,A,B,C,"  of some Real Troubles. Common and adjoining Public Garden a winter delight. No swan boats, of course, or flower beds, but proper sparrows, chickadees,"
29,1876,FIC,Clarel,A,B,C,"  bird? "" Pure as the rain Which diamondeth with lucid grain, The white swan in the April hours Floating between two sunny showers Upon the lake, while buds"
30,1920,NF,DaysBeforeYesterday,A,B,C,"  , and it seemed hardly credible that the resplendent Lohengrin would so soon abandon his swan in favour of the homely goose that was awaiting him at the Spiegelbergs',"
31,1906,FIC,Doomsman,A,B,C,"  a side arranged in two banks. The figure-head was the representation of a black swan, and on the poop-deck stood the slight, graceful figure of a man wearing"
32,1905,MAG,Atlantic,A,B,C,"  coloration. so pronounced in the case of the goose, is quite ignored in the swan. Neither the goose nor the swan, so far as I know, has"
33,1896,FIC,SecondBookTales,A,B,C,"  open spot between the witch and the kingly retinue. "" A fine, plump swan will you make, "" hissed the old witch. "" Now can you tell"
34,1992,MAG,Astronomy,A,B,C,"  of many stargazers. Albireo, at the base of the Cross, marks the Swan's head. The crossbar marks the Swan's wings. The head of the"
35,1983,NEWS,NYT,A,B,C,"  , probably will make the team as a starting pitcher behind Tom Seaver, Craig Swan and Mike Torrez. In 1981, he was second in strikeouts in the Texas"
36,1950,FIC,JoyStreet,A,B,C,"  so much more quick witted and more experienced than himself, or even from Mr. Swan, the only one of the three firm members about whom Roger found nothing to"
37,1877,FIC,MinistersCharge,A,B,C,"  her, said nothing. After a minute's study of the pictures, Miss Swan suggested, "" If Mr. Barker had any friends he would like to show them"
38,1931,NF,RoeblingsACentury,A,B,C,"  the left hand in Latin and the other in French. "" He tells Mr. Swan exactly where to look for the book and directs him to send it to his"
39,1991,MAG,NatlParks,A,B,C,"  for the future of the species. "" # PHOTO (COLOR): Mute swan #"
40,1877,FIC,MinistersCharge,A,B,C,"  unaware that Lemuel had not reciprocated his confidences. He celebrated his familiarity with Miss Swan and her friend, though no doubt he had the greater share of the acquaintance"
41,1963,FIC,Centaur,A,B,C,"  boy was stooping over a pile of newspapers -- one of the Negroes; when Swan came in, his face jerked up immediately. "" You want somethin',"
42,1950,FIC,JoyStreet,A,B,C,"  I'd put Pell on mine. He's been with Cutter, Mills and Swan longer than the others, hasn't he? "" Then, as Roger nodded"
43,1964,FIC,SongMetamoris,A,B,C,"  for a brief instant, but never really stopped, moving by him like a swan on a smooth pond. At the same time she accorded the startled young man"
44,1950,FIC,JoyStreet,A,B,C,"  any definite provision been made for Caroline; it was understood that she and Marion Swan had "" plans "" for some joint undertaking which might mean a general readjustment in"
45,1921,FIC,GalushaMagnificent,A,B,C,  's like this: IF you sold them Development shares of yours -- and I swan I can't think of anything else you own that would sell for just that
46,2003,NF,SpartansWorldWarrior-heroes,A,B,C,"  egg because her mother Leda had been visited by Zeus in the disguise of a swan. Her unsurpassed beauty made her a natural prize for the ambitious Menelaus, son"
47,1963,FIC,Centaur,A,B,C,"  man smiled at him, of thep185man's apparent feeling that his smile must include Swan, must lure him into smiling too. "" You ain't tole me your"
48,1967,MAG,Time,A,B,C,"  still a rather wide gap, Sir John Hunter, 55, head of the Swan Hunter Group of shipbuilders on the Tyne, says: "" We are beginning to"
49,1971,MAG,Time,A,B,C,"  a hilarious, crowd-pleasing delight, especially for anyone who has ever suffered through a Swan Lake mangled by an underrehearsed road company. # As the title suggests, The"
50,1892,FIC,PeaksIsland,A,B,C,"  ! The deer across their greensward bound Through shade and sunny gleam, And the swan glides past them with the sound Of some rejoicing stream. The merry homes of"
51,1829,MAG,NorthAmRev,A,B,C,"  ink from Luther's inkstand, in an album upheld by the wings of the swan, and depart. The house has been purchased by the king of Prussia,"
52,1995,NF,PublicHouseInBradford1770-1970,A,B,C,"  by the Bowling Green, which was joined in the new century by the White Swan, the Sun and the Talbot.75 The operators of coaches organized innkeepers along the route"
53,1946,FIC,BridgeYears,A,B,C,"  uneasily in the bed and laughed a little self-consciously. "" I'm not your swan. I'm your goose, my darling -- your silly goose to get ill"
54,1842,FIC,CharlesStuartPrince,A,B,C,  (Naymoyah enters rushing into Selma's arms) Naymoyah Oh! white-winged Eagle! Swan upon the hills! Remember that Naymoyah's soul is white! The gentle Fawn
55,1950,NF,IntroductionTextile,A,B,C,"  a Swiss chemist, George Audemars, in 1855. Twentytwo years later Sir Joseph Swan in England produced fine filaments by forcing nitrocellulose solutions through small orifices. However,"
56,1856,NF,IndianFairyBook,A,B,C,  the one who was to give him directions how to proceed to get the Red Swan. Toward night-fall Maidwa reached the lodge of the third old man. Before coming
57,1897,FIC,FrancesWaldeaux,A,B,C,"  beauty and her money, will be welcomed by these German nobles as a white swan among ducks. She ought to take her place and hold it. "" Jean"
58,1843,FIC,LettersFromNew-,A,B,C,"  navy, is extremely beautiful. She sits on the water as gracefully as a swan; and it is said her speed is not equalled by any sea-steamer on the"
59,1898,FIC,LauncelotGuenevere [1898-1907],A,B,C,"  Lucius. See you Metella yonder?... How her neck Curves like an angry swan's! Voconius. Voconius. A lovely cloud, -- Rainbowed and opal-smouldering."
60,1874,NF,MannersCustoms,A,B,C,"  , which must have been one of the most common, and ending with a swan, which appeared on table in full plumage. This last was the triumph of"
61,1922,MAG,Atlantic,A,B,C,"  a changed woman. She expanded, she glided, she moved, as a swan floating through her native ele cent differs from the sante lurching along the bank."
62,1870,FIC,PrudyKeepingHouse,A,B,C,"  common coverlet, the bed was adorned with two enormous crimson satin cushions stuffed with swan's down. The cushion on the lower half of the bed was two feet"
63,1871,FIC,AdmetusOtherPoems,A,B,C,"  his brother knights, Until they saw the white and silver shine Of boat and swan and armor less and less, Till in the willowy distance they were lost."
64,2003,FIC,Oath,A,B,C,"  mist hung over the water, and out of it at the near shore a swan with her brood of cygnets appeared. Glitsky was talking work, as usual,"
65,1870,FIC,Clemence The,A,B,C,"  , I shall wait for her works to prove her disposition, "" said Mrs. Swan. "" I believe that' actions speak louder than words.' I'll"
66,2001,FIC,SplendorBay,A,B,C,  a beautiful morning! In my mind's eye my teenage ghost did a quick Swan Lake up and down the beach. The slimy bastard was dead. Joy!
67,1945,FIC,FriendlyPersuasion,A,B,C,"  was always short. Still, she planned to finish it, set the second swan in place beside the first. There were days when its incompletion troubled her mind"
68,1835,FIC,AnOldSailorsYarns,A,B,C,  of Chili. Into the hands of this murderous ruffian and his ragamuffin gang the Swan was delivered; but the villany of her piratical crew was soon to receive its
69,1906,FIC,Play:RoadYesterday,A,B,C,"  Who knows her better? Three weeks agone she hired herself here at the Red Swan as a serving lass -- ELSPETH Indeed, indeed, I didn't! p."
70,1877,FIC,MinistersCharge,A,B,C,"  why they want to know, if you won't give me away: Miss Swan wanted to give her' bit of colour' -- that's what she calls"
71,1944,NEWS,NYT-Reg,A,B,C,  the court forthwith. Sitting with him were judges A. N. Hand and Thomas W. Swan. Mr. Wegman repeated to the court substantially the same argument that he had advanced
72,1920,FIC,TrumpeterSwan,A,B,C,  the lips of all men. He thought of Randy's story. The Trumpeter Swan was only a stuffed bird in a glass case. But once he had spread
73,1840,FIC,DavidSwan,A,B,C,"  bubbling spring, that it seemed never to have sparkled for any way-farer but David Swan. Virgin or not, he kissed it with his thirsty lips, and then"
74,1856,NF,IndianFairyBook,A,B,C,"  her hand and hung them up himself. He lay down and thought of the swan, and made up his mind to be off with the dawn. He wakened"
75,1943,FIC,HumanComedy,A,B,C,"  , then went back upstairs and got the sofa pillow that she had brought from Swan Quarter and thrust it under her arm. She would need it in the grandstand"
76,1910,NEWS,NYT-Reg,A,B,C,  rise again. It is believed that the steer escaped from a cattle boat. SWAN SONG OF HORSE CAR Sung by Receiver Whitridge -- Storage Batteries to be Used.
77,1963,FIC,Centaur,A,B,C,"  her brother Kess, again no more than thirteen years old. |p180It was early afternoon when Swan reached the brink of the hill that sloped down to town. He gazed at"
78,2003,MAG,AmerArtist,A,B,C,"  of all art, "" asserts John N. Booth, the artist who painted The Swan. "" It doesn't need to represent anything. It is pure architecture,"
79,1857,NF,MinnesotaDacotah,A,B,C,  -- Lodging under difficulties -- Little Rock River - - Character of Minnesota streams -- Dinner at Swan River -- Little Falls - - Fort Ripley -- Arrival at Crow Wing LETTER VI. THE
80,1956,NF,WorldMusic,A,B,C,"  two symphonies (the third and the fourth), the violin concerto, The Swan of Tuonela', and The Return of Lemminkainen'. The truth is,"
81,1903,FIC,HorsesNine,A,B,C,"  muzzle. His coat was as silk plush, his neck as supple as a swan's, and out of his big, bright eyes there looked such intelligence that"
82,1879,MAG,Atlantic,A,B,C,"  No. 100 West Fifty-First Street. How much more character there is in the Black Swan without Temple Bar, the Queen's Head against St. Dunstan's Church, the"
83,1967,MAG,Time,A,B,C,"  and soon had their order books bulging, with delivery dates stretching through 1971. Swan, Hunter &; Tyne promised faster delivery, contracted to finish its first Esso supertanker"
84,1989,MAG,Newsweek,A,B,C,"  rented Cutlass Cieras each evening, the property will include the elegant and handy) Swan and Dolphin hotels, both the work of postmodernist architect Michael Graves, who will"
85,1909,NF,TruthAboutJesus,A,B,C,"  with a "" divine "" father -- was effected. In the form of a swan Jupiter approached Leda, as in the guise of a dove, or a Paracletus"
86,2000,NEWS,SanFran,A,B,C,"  New York, begins previews July 4 and plays July 8-October 29 at the Black Swan. Euripides' "" The Trojan Women "" begins previews July 26 and plays July"
87,1920,FIC,TrumpeterSwan,A,B,C,"  that night in the library that Becky asked Archibald Cope to read "" The Trumpeter Swan. "" "" Randy wrote it, "" she said, "" and he sent"
88,1912,FIC,DepotMaster,A,B,C,"  !' says Sol Berry.' That settles it.' "" And I swan to man if he didn't climb down off them timbers and march straight across"
89,1976,FIC,Trinity,A,B,C,"  "" Kevin answered, coming to his feet. "" Let's talk, "" Swan uttered, amazed by his own sudden failing. "" Our little scheme, yours"
90,2009,FIC,TourDeForceNovel,A,B,C,"  transformed by the evil von Rothbart into a swan, doomed to eternally float on Swan Lake. She lost herself in the movement, the longing for humanity, the"
91,2000,FIC,Charade,A,B,C,"  Colin heaved a heavy sigh and said grudgingly, "" I'm told the White Swan sometimes serves' em raw for breakfast, provided you've the money to pay"
92,1945,NF,BuildersBridge,A,B,C,"  to have the bricks well wetted or saturated with water. In July he urged Swan to push the building of the house and also the other work, "" so"
93,1931,FIC,DaggerJewels,A,B,C,"  ; and for Gabriello Ceserino, Gonfaloniereof Rome, he fashioned a Leda with her Swan that attracted much attention. Benvenuto was gratified by this approval of his work,"
