entry,year,genre,source,a,b,c,text
1,1824,FIC,RedwoodATaleVolume3,A,B,C,"  waters for ever bubbling up from the bosom of the earth, and admired the sycamore tree that stands beside the sparkling fountain like its guardian genius, and drops its"
2,1827,FIC,BuccaneersARomance,A,B,C,"  a large space of ground, in which here and there was scattered an ancient sycamore, that fronted the homestead of Nicholas Bayard -- a large, and somewhat imposing"
3,1827,NF,IntroductionMechanical,A,B,C,"  qualities, "" green, Beech, medium quality, Alder, Plane tree. Sycamore, Chestnut, green, Ash f from young tree, "" medium quality,"
4,1827,NF,IntroductionMechanical,A,B,C,"  are fixed? ii. What weight will be necessary to break a stick of sycamore, fixed at both ends, whose length is 9 feet, breadth and depth"
5,1829,FIC,SketchesAmerican,A,B,C,  my absence.' The lovers were standing partly in the shadow of a broad sycamore that threw its branches over the little stream at their feet. The water there
6,1831,FIC,AmericanCommon-place,A,B,C,"  on yonder shore, Now verdant with the depth of shade, Beneath the white-armed sycamore, There is a little infant laid. Forgive this tear. A brother weeps"
7,1831,MAG,NewEngMag,A,B,C,"  a little distance within which, under the shade of an aged and wide spreading sycamore, a considerable number of persons were standing. This collection was composed of persons"
8,1831,MAG,NewEngMag,A,B,C,"  with that I had before noticed, when we first approached the assemblage under the sycamore. The prevailing sentiment that appeared was that of wonder and curiosity, blended in"
9,1832,FIC,SwallowBarnASojourn,A,B,C,"  this stream is thrown a rough bridge, and not far below, an aged sycamore twists its complex roots about a spring, at the point of confluence of which"
10,1832,FIC,SwallowBarnASojourn,A,B,C,"  believing -- nine scoops of water in the hollow of the hand, from the sycamore spring, for three mornings, before sunrise, and a cup of strong coffee"
11,1832,FIC,SwallowBarnASojourn,A,B,C,"  and myself, that I am about to record. We had reached an old sycamore on the bank of the brook, and had thrown our lines into a deep"
12,1832,FIC,SwallowBarnASojourn,A,B,C,"  attention to the scenery around us. The trees were principally beech, poplar and sycamore, springing from a moist carpet of matted grass. The forest was free from"
13,1832,FIC,SwallowBarnASojourn,A,B,C,"  to the bank, under the shelter of some large and crooked roots of a sycamore that spread its bulk above the water. Whilst in this retreat, the halloos"
14,1832,MAG,NorthAmRev,A,B,C,"  this is offered them by the Platanus Occidentalis, better known by the names of Sycamore or Button-wood, a tree of // vast dimensions and very rapid growth in Massachusetts"
15,1833,NF,HistoryVegetable,A,B,C,"  the last on account of its sap. The Great Maple, called also the sycamore and the plane-tree, is hardy; stands the salt spray of the sea better"
16,1833,NF,HistoryVegetable,A,B,C,"  be used above the low water mark. The different species of poplar, the sycamore, the lime, and the birch are, generally speaking, unfit for building"
17,1834,FIC,GuyRiversATale,A,B,C,"  a private and a parting interview. "" To-night, then, at the old sycamore, as the moon rises, "" he whispered in her ear, as sadly"
18,1834,FIC,GuyRiversATale,A,B,C,"  the impatience of a lover to the designated place of tryst, under the giant sycamore, the sheltering limbs and leaves of which, on sundry previous occasions, had"
19,1834,FIC,GuyRiversATale,A,B,C,"  a single abruptness, to the bottom, in the centre of which rose the sycamore, which, from its own situation, conferred the name of Sycamore Hollow on"
20,1834,FIC,GuyRiversATale,A,B,C,"  rose the sycamore, which, from its own situation, conferred the name of Sycamore Hollow on the sweet spot upon which it stood. A spring, trickling from"
21,1834,FIC,GuyRiversATale,A,B,C,"  , "" exclaimed the voice of old Allen, emerging from the cover of the sycamore, to the shelter of which he had advanced unobserved, and had been the"
22,1834,FIC,ProseSketchesPoems,A,B,C,"  chiefly oak, walnut, and pecan, and close to the bank cottonwood and sycamore. Of the early part of his route -- that is, from Fort Towson"
23,1834,FIC,ProseSketchesPoems,A,B,C,"  northward course brought us to the first fork of Boggy, where we cut a sycamore and crossed upon it; part of the log was under water, and it"
24,1834,MAG,NewEngMag,A,B,C,"  , or in open or close groups, consisted of birch, Scotch elm, sycamore, lime, horse-chestnut, oak, holly, beech, and others, somewhere"
25,1834,MAG,NewEngMag,A,B,C,"  transmuted every leaf. Masses of glittering foliage looked beautiful in decay. The huge sycamore towered proudly among its fellows, spreading forth its long and silvery branches, which"
26,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  nearly 300 mounted men. They went up Rock river, about thirty miles to Sycamore creek, and encamped within a few miles of Black Hawk's camp, but"
27,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  meet the enemy, and on arriving at a copse of timber and underbrush near Sycamore creek, made ready to meet them. Capt. Eads' company, who"
28,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  to start out, killed two of the five fleeing Indians. Soon after crossing Sycamore creek they were surprised by a terrific war whoop from the Indians, who were"
29,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  went back to their homes. The retreating army passed through their camping ground near Sycamore creek, where they should have halted, and under cover of the timber,"
30,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,  tribe; and again taken prisoner by three of his braves at the battle of Sycamore creek. KILBOURN'S NARRATIVE. A REMINISCENCE OF BLACK HAWK. From the Soldier
31,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  dead. "" Many years after this I was a participant in the battle at Sycamore Creek, which, as you know, is a tributary of Rock river."
32,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  , and together with the rest proceeded some thirty miles up Rock river to where Sycamore creek empties into it. This brought us to within six or eight miles of"
33,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  came into Dixon and reported seventy-five Pottowottamies ready to join the army now encamped at Sycamore creek, and they were afraid that Black Hawk and his army was not far"
34,1835,FIC,HawksHawk-Hollow,A,B,C,"  , while the other peeped insidiously from under the boughs of an antique, spectral-looking sycamore, springing from the side of the ravine, which was, in part,"
35,1835,FIC,HawksHawk-Hollow,A,B,C,"  flowing through the yard, and making its way among the naked roots of the sycamore, it fell, with a gurgling sound, into the ravine. The murmurs"
36,1835,FIC,HawksHawk-Hollow,A,B,C,"  what business has a country-wench to be tired? We will go down to the sycamore, and then rest us awhile, till the sun peeps red in the hollow"
37,1835,FIC,HawksHawk-Hollow,A,B,C,"  other, by the protrusion of the roots of a gigantic plane-tree, -- the sycamore, or buttonwood, of vulgar speech. Above them, and beyond the crag"
38,1835,FIC,HawksHawk-Hollow,A,B,C,"  ; and if, instead of two well-bred maidens perched upon the roots of the sycamore, on seats chosen with a due regard to the claims of their dresses,"
39,1835,FIC,HawksHawk-Hollow,A,B,C,"  pronounced by Miss Falconer, after taking possession of a sort of arm-chair among the sycamore roots. "" This is a place, my mannikin, "" said she,"
40,1835,FIC,HawksHawk-Hollow,A,B,C,"  , the channel was again contracted, but not by impending crags. A huge sycamore, ancient and thunder-scarred, but still flourishing, had been tumbled over the stream"
41,1835,FIC,HawksHawk-Hollow,A,B,C,"  look, and the waters hurrying impetuously towards it from above, shot under the sycamore with an appearance of fury that might have tried the nerves of any over-timid person"
42,1835,FIC,HawksHawk-Hollow,A,B,C,"  who had rambled up the stream, and was now making his way across the sycamore, to obtain a view of the cascade, entirely ignorant of the presence of"
43,1835,FIC,HawksHawk-Hollow,A,B,C,"  his painting, not himself. Do you remember, as we sat at the sycamore tree, I wished him a harder sleep that night than he ever had before"
44,1835,FIC,HawksHawk-Hollow,A,B,C,"  's, at the very moment when we were discoursing of the Hawks under the sycamore; -- his flight over the river, and his sudden disappearance. I suppose"
45,1835,FIC,HawksHawk-Hollow,A,B,C,"  , previously trodden by Catherine and his daughter. He even sat down under the sycamore, where Catherine had begun the story of the wild Gilberts, and his own"
46,1835,FIC,HawksHawk-Hollow,A,B,C,"  the arm of the youth, who had already placed his foot upon the fallen sycamore, for the purpose of crossing the stream. To the surprise of Colonel Falconer"
47,1835,FIC,HawksHawk-Hollow,A,B,C,"  We will not pretend to say that Mr. Affidavy, while he sat bestraddling the sycamore, was altogether conscious of his situation; but it is quite certain, he"
48,1835,FIC,South-WestByYankee,A,B,C,"  or powder) bordered with noble forests of oak, black gum, the hoary-coated sycamore, and the rich-leaved, evergreen magnolia, among and around which the grape vine"
49,1835,FIC,South-WestByYankee,A,B,C,"  green level, shaded with the relics of a forest -- the live oak, sycamore, and gum trees -- through a narrow wicket in a white-washed paling, the"
50,1835,FIC,South-WestByYankee,A,B,C,"  , variety, and rapid growth of its ornamental shade trees; the laurel, sycamore, locust, oak, elm, and white bay, with the "" pride"
51,1835,FIC,HorseShoeRobinson,A,B,C,"  neighborhood. On the opposite side of the river, a line of beech and sycamore trees, that grew almost at the water's edge, threw a dark shadow"
52,1835,FIC,HorseShoeRobinson,A,B,C,"  stream. He was washed along and got jammed up betwixt the roots of a sycamore. We had a long wade after him, and trouble enough to get him"
53,1835,FIC,HorseShoeRobinson,A,B,C,"  to amuse himself with his own thoughts. Horse Shoe took his seat beneath a sycamore, where he waited a long time in anxious expectation of the return of his"
54,1835,FIC,HorseShoeRobinson,A,B,C,"  to this place under a military escort. With this conviction he returned to the sycamore, where he again sat down to wait for the coming of his companion."
55,1835,FIC,HorseShoeRobinson,A,B,C,  deprived the light boat (whose tackle kept it prisoner to the root of the sycamore) of the element on which it had floated. This spectacle suggested to Mildred
56,1835,FIC,ClintonBradshaw,A,B,C,"  we wander by the Branch, Mary? "" "" Yes, to the old sycamore; it seems an age since I have seen it. "" Occupied with their"
57,1835,FIC,ClintonBradshaw,A,B,C,"  the winding path through the orchard, and then along the Branch to the old sycamore, they seemed, indeed, the proper living beings of such a scene."
58,1835,FIC,ClintonBradshaw,A,B,C,"  of me in the gay world! -- bless you! "" Beneath the aged sycamore the lovers plighted anew their faith, the moon had been shining on them much"
59,1835,FIC,Writings,A,B,C,"  woods Of forest-fringed Aquetnet broods; Where solemn oak was seen before Beside the rival sycamore, Or pine and cedar lined the height, All in one livery brown were"
60,1835,FIC,Writings,A,B,C,"  Now from that pyramid of green, A curling smoke was rising seen, Mid sycamore's o'erarching screen. A transient shelter it became, To a poor settler and"
61,1835,MAG,NewEngMag,A,B,C,"  many kinds shine among the greenness like gems while on the river-bank, the tall sycamore stands, hoary with age, and its silver trunk outlasting many men's lives"
62,1837,FIC,Zinzendorff,A,B,C,"  and yellow leaf, While from its dead arms falls the wedded vine. The sycamore uplifts a beacon brow, Denuded of its honors, and the blast, Swaying"
