entry,year,genre,source,a,b,c,text
1,1835,FIC,InfidelFallMexico,A,B,C,"  only defensive armour was a little round buckler of the skin of the danta or tapir, not exceeding fourteen inches in diameter, strapped to his left arm. The"
2,1835,FIC,InfidelFallMexico,A,B,C,"  even the great bear from the ridges of the Oregon or Rocky Mountains. The tapir of Guatemala rolled by his fenny pool, and the peccary herded hard by."
3,1844,NF,VestigesNatural,A,B,C,"  A considerable number are pachydermata, 127 of a character approximating to the South American tapir: the names, palaeotherium, anthracotherium, anoplotherium, lophiodon, &c.,; have been"
4,1844,NF,VestigesNatural,A,B,C,"  marked, but yet considerable. The predominating forms are still pachydermatous, and the tapir type continues to be conspicuous. One animal of this kind, called the dinotherium"
5,1847,NF,NaturalistInNicaragua,A,B,C,"  are the curassows and penelopes. In the lower ground, the footmarks of the tapir are very frequent, especially along the small paths, where I have sometimes traced"
6,1847,NF,NaturalistInNicaragua,A,B,C,"  the forest along a path where I had often seen the great footmarks of the tapir. After riding about a couple of miles, I heard the notes of some"
7,1847,NF,NaturalistInNicaragua,A,B,C,"  a jaguar before in the woods, and having often seen the footprints of the tapir, I thought it was the latter, and thinking I would have to get"
8,1848,NF,PersonalNarrative,A,B,C,"  to the jaguar, the small species of tiger cat, the cabiai or thick-nosed tapir, * (* Cavia capybara, Linn.; chiguire.) the galinazo vulture,"
9,1849,NF,PersonalNarrative,A,B,C,"  only by deer, and a large species of cavy. * (* The thick-nosed tapir, or river cavy (Cavia capybara), called chiguire in those countries."
10,1849,NF,PersonalNarrative,A,B,C,"  during Lent. According to their zoological classification they place the armadillo, the thick-nosed tapir, and the manatee, near the tortoises; the first, because it is"
11,1850,MAG,NewEngYaleRev,A,B,C,"  rhinoceros, hippopotainus, those giants of the old world, the feeble and harmless tapir and peccary. In the ruminants, instead of the camel and the dromedary,"
12,1855,NF,WondersGeology,A,B,C,  afterwards in Bavaria and Austria. The molar teeth or grinders resemble those of the tapir in form and structure; and Cuvier described the animal under the name of the
13,1855,NF,WondersGeology,A,B,C,"  form and structure; and Cuvier described the animal under the name of the gigantic tapir. Professor Kaup, however, regards it as a new genus, between the"
14,1855,NF,WondersGeology,A,B,C,"  . Professor Kaup, however, regards it as a new genus, between the tapir and the mastodon, and adapted to a marshy or lacustrine condition of the earth"
15,1855,NF,WondersGeology,A,B,C,"  was massive, and its legs and tail were short. It resembled a large tapir, but differed somewhat as to the teeth, and had one toe less on"
16,1855,NF,WondersGeology,A,B,C,"  size, probably not larger than the roebuck, and of similar form to the tapir. It had light and slender limbs. The Anoplotherium gracile was of elegant propor-"
17,1855,NF,WondersGeology,A,B,C,"  oolitic saliferous, and Ichthyosaurus, Plesiosaurus, Pterodactyle, $c., restored. Fossil Tapir, fyc., restored. Fossil Elephant. Fossils, Megatherium, Gigantic Elk. /z/"
18,1855,NF,WondersGeology,A,B,C,"  species of extinct genera. /z/ 2. Miocene Period: Ape, Dinotherium, Tapir, Chalicotherium, Rhinoceros, Tetracaulodon, Hippotherium, Sus, Felis, Machairodus,"
19,1855,NF,WondersGeology,A,B,C,"  of colossal magnitude. And I saw in its rivers and marshes the hippopotamus, tapir, and rhinoceros; and I heard the roar of the lion and the tiger"
20,1859,NF,TestimonyModern,A,B,C,"  species, of the same great class, were nowhere to be seen the /z/ tapir, the lama, the pecari, the jaguar, the cougar, the agouti"
21,1863,NF,NaturalistOnRiver,A,B,C,"  or sound of life. We did not see or hear monkeys, and no tapir or jaguar crossed our path. Birds, also, appeared to be exceedingly scarce"
22,1874,NF,WesternWorld,A,B,C,"  waree, or wild hog, runs in large droves in many districts. The tapir, similar to that of the southern continent, also frequents the seashore and banks"
23,1874,NF,WesternWorld,A,B,C,"  prehensile tail, the ant-eater, arborial and terrestrial; the diminutive sloth, thick-skinned tapir, alligators, turtles, and manatees; lizards, serpents; the beautiful denizens"
24,1882,MAG,Atlantic,A,B,C,  of horses and tapirs such as now exist we find an animal something like a tapir and something like a horse; and instead of leopards and wolves and bears we
25,1882,MAG,Atlantic,A,B,C,"  equus from a five-toed mammal not larger than a pig, and somewhat resembling a tapir. All the "" missing links "" in this case have been found; //"
26,1883,NF,GoldenChersonese,A,B,C,"  . Among this thick-skinned family are the elephant, the one-horned rhinoceros, the Malayan tapir, and the wild hog; the last held in abomination by the Malays,"
27,1895,FIC,UncleRemusHisSongs,A,B,C,"  there is the story of how the tortoise pretended that he was stronger than the tapir. He tells the latter he can drag him into the sea, but the"
28,1895,FIC,UncleRemusHisSongs,A,B,C,"  . He tells the latter he can drag him into the sea, but the tapir retorts that he will pull the tortoise into the forest and kill him besides."
29,1895,FIC,UncleRemusHisSongs,A,B,C,"  The tortoise thereupon gets a vine-stem, ties one end around the body of the tapir, and goes to the sea, where he ties the other end to the"
30,1895,FIC,UncleRemusHisSongs,A,B,C,  as a signal for the pulling to begin. The struggle between the whale and tapir goes on until each thinks the tortoise is the strongest of animals. Compare this
31,1900,NF,StoryNineteenth-,A,B,C,"  bridged over. In a similar way, various diverse mammalian forms, as the tapir, the rhinoceros, and the horse, are linked together by fossil progenitors."
32,1904,NF,GeologyApplied,A,B,C,"  abounded. There were many large mammals, including now extinct species of elephant, tapir, rhinoceros, horse, tiger, lion, wolf, peccary, etc."
33,1910,NF,WorldsGreatest,A,B,C,"  on quadrupeds already described, accounts of animals not noticed before, such as the tapir, quagga, gnu, nylghau, many antelopes, the vicuna, Cape ant-eater"
34,1914,MAG,Harpers,A,B,C,"  is a noble and heroic pastime, and the elephant, rhinoceros, panther, tapir, orang-outang, and python are to he encountered in the territory. They enjoy"
35,1918,MAG,Atlantic,A,B,C,"  easy for him to gauge that of an opponent. He feared neither deer nor tapir, yet at their approach he would sound his warning as a reciprocal precaution,"
36,1919,MAG,Atlantic,A,B,C,"  would require only a few instants, and the death of a jaguar or a tapir would mean only a few more. Against this attack, claws, teeth,"
37,1922,FIC,BlackPhantom,A,B,C,"  blinking eyes, and then curled up again for another nap. Sama, the tapir, one massive forefoot raised in midair, stopped soothing with his tongue the ugly"
38,1922,FIC,BlackPhantom,A,B,C,  from the neck that she gained little more than a secure hold and this the tapir broke by promptly bolting through the densest brush where the stout overhanging branches brushed the
