entry,year,genre,source,a,b,c,text
1,1835,FIC,PartisanATaleRevolution,A,B,C,"  don't bother me. A man prefer the d -- d gaunt eel to terrapin! Doctor Oakenburg, where do you expect to go when you die? I"
2,1874,NF,WesternWorld,A,B,C,"  to have an especial dislike. It is frequently called, therefore, the pine terrapin. It is one of the smallest of its tribe -- being little more than"
3,1880,FIC,BohemianDays,A,B,C,"  for him, and counting with so dexterous deceit that he escaped also, while Terrapin paid for the wine. It was not the most reputable amusement in the world"
4,1976,FIC,yyy,A,B,C,"  detail of the poor woman's regalia. McAllister then gave me a recipe for terrapin, "" taught me by a Maryland darkey, "" involving a good deal of"
5,1835,FIC,PartisanATaleRevolution,A,B,C,"  reason for delaying his journey until noon, as soon as he hears of this terrapin. Go to him, Bill -- go to him, old fellow; give"
6,1943,FIC,TomorrowIsForever,A,B,C,"  him look, she thought confidently. There was nothing he could possibly criticize in terrapin flavored with sherry. Nor, for that matter, would he find any fault"
7,1902,FIC,BrewstersMillions,A,B,C,"  should you expect it? "" exclaimed Pettingill, "" when you have risen from terrapin and artichokes to chops and chicory? When have you given us nectar and ambrosia"
8,1880,FIC,BohemianDays,A,B,C,"  little sum -- seven dollars and a half a month -- how is the girl to dress? "" Terrapin shrugged his shoulders, but said nothing. They played "" ramps, "" an"
9,1936,FIC,TAintRight,A,B,C,"  till his next birthday. "" Mr. Lavington signed to the butler to hand the terrapin to Mr. Grisben, who, as he took a second helping, addressed himselfagain"
10,1860,FIC,RipVanWinkle186-?,A,B,C,"  just such a crawler as that vagrum there, is retiring on R., that terrapin! Rip. Rip Van Winkle Terrapin! Ah, dame I leaves you to"
11,1930,MAG,NewYorker,A,B,C,"  , who come down to the shop and pick out their turtles themselves. The terrapin are caught in the marshes along the coast from Long Island to Georgia, shipped"
12,1856,FIC,HomeAndAbroad,A,B,C,"  as I have seen it in a picture. "" When I arrived at the Terrapin Bridge, I expected to be overwhelmed, to retire trembling from this giddy eminence"
13,1911,FIC,Torchy,A,B,C,"  a gang of Chamber of Commerce men, who are feeding him ruddy duck and terrapin and ten-dollar champagne. He's got a lot of steel contracts up his sleeve"
14,1835,FIC,PartisanATaleRevolution,A,B,C,"  in numberless varieties of fish and fowl, and my own eyes have feasted upon terrapin of much greater dimensions, and much larger numbers than the Cypress yields. """
15,1881,FIC,NightsWithUncle,A,B,C,"  with the negro story (No. LXX.) of how Brother Fox captures Brother Terrapin. Brother Terrapin is rescued by Brother Rabbit, who substitutes a hornet's nest"
16,1923,MAG,Nation,A,B,C,"  and vinegar -- much more vinegar than oil. The terrapin, always served with terrapin eggs, was stewed in Madeira; the vile cream sauces favored in New York"
17,1902,MAG,Harpers,A,B,C,"  and as the general lived to within a fortnight of his eightieth birthday, neither terrapin nor wine could have injured him very much. The general, besides being a"
18,1955,NF,SteinmetzMaker,A,B,C,"  the fresh waters of central North America. Often after eating a large bowl of terrapin soup in his favorite restaurant, an old-time German eating place called Nicholaus',"
19,1934,FIC,WorkArt,A,B,C,"  , though he might be so full of highballs that he could not tell well-done terrapin from over-roasted canvas-back; and such guests were irritated by a wild hurrah about having"
20,1902,MAG,Harpers,A,B,C,"  . The general was a fine old gastronomic expert. He was inordinately fond of terrapin, and one of his favorite speeches was as follows: "" This little,"
21,1896,FIC,AnArkansasPlanter,A,B,C,  member of the church that I am to draw in my head like a high-land terrapin every time anything is said to me? Am I to be brow-beaten by everybody
22,1880,FIC,BohemianDays,A,B,C,"  . Hitherto he had been chaste, though once when he had confessed it to Terrapin, that incredulous person said something about the marines, and repeated it as a"
23,1881,FIC,NightsWithUncle,A,B,C,"  birds. Hlakanyana eats the birds while the boy is under water, and Brother Terrapin disposes of the fish in the same way; but there is this curious difference"
24,1942,FIC,Harpers,A,B,C,"  don't know, "" Mom said.! I can't talk to a terrapin. "" "" But Grandpa can?! "" Yes. "" "" Wait until"
25,1960,NEWS,Chicago,A,B,C,"  above the roar of the falls before the slim brunette was spotted by tourists on Terrapin point. "" I'll never forget that girl's face as she went by"
26,1942,FIC,AlongStreet,A,B,C,"  other dishes peculiarly Philadelphian, now spread in deteriorated form throughout the country. Philadelphia terrapin, Philadelphia butter, Philadelphia capons; white mountaincake, meringue glacees, brown crisp"
27,1921,FIC,GayCockade,A,B,C,"  at his table and ate ducks cooked to the proper state of rareness, and terrapin in a chafing-dish, with a dash of old sherry. If between these feasts"
28,1905,FIC,Play:MrsLeffingwells,A,B,C,"  ) I don't think I'd cry, Mrs. Bonner about having too much terrapin -- there are deeper sorrows. MRS. THOMAS BONNER (After an astonished pause"
29,1880,FIC,BohemianDays,A,B,C,"  a girl at first, but immediately corrected himself and called her a child. Terrapin addressed her as Suzette, and stated that his friend Ralph was a stranger and"
30,1994,NF,Six-MinuteFraternity,A,B,C,"  as the NCAA welterweight champion. Don's brother, Dwaine, was decisioned by Terrapin Eddie Rieder at 155 pounds, 1947 165-pound national champion John Lendenski was beaten by"
31,1835,FIC,PartisanATaleRevolution,A,B,C,"  new dish, as it were, like lightning, to my mind. That terrapin, I said to myself, shall be compounded with hog, in memory of"
32,1835,FIC,PartisanATaleRevolution,A,B,C,  . I would not march with him for the world. Don't believe in terrapin! a man ought to believe in all that's good; and there's
33,1891,FIC,ColonelCarterCartersville,A,B,C,"  tell ye? Whar am ye now? "" "" Did Miss Nancy send those terrapin? "" I asked, watching the old darky drawing the cork of the new"
34,1942,FIC,Harpers,A,B,C,"  looked at the dogwood blossoms, the redbud blossoms, and talked to this same terrapin. "" Are you well, old fellow? "", Grandpa asked the terrapin"
35,1880,NF,MissParloasNew,A,B,C,"  sauces. Terrapin. This shell-fish comes from the South, Baltimore being the great terrapin market. It belongs to the turtle family. It is always sold alive,"
36,1834,FIC,GuyRiversATale,A,B,C,"  too for Col. Blundell, seeing he's demolished the other. Quick, you terrapin! "" Cuffee recovered himself in an instant. His hands fell to his sides -- his"
37,1881,FIC,NightsWithUncle,A,B,C,"  story of how Brother Rabbit disposes of Grinny-Granny Wolf. The new story of Brother Terrapin and Brother Mink, relating how they had a diving-match, in order to see"
38,1927,NF,ReligionWithout,A,B,C,  ; a giant spider-crab; a stalk-eyed fly; a praying mantis; a matamata Terrapin? these and many other creatures are really very improbable!? much less like
39,1934,MAG,Time,A,B,C,"  led off with Cape Cods baked in the shell, New Orleans gumbo and Maryland terrapin. His bird was Chesapeake mallard. Frozen applejack preceded Virginia ham and autumn salad"
40,1899,FIC,Fortune,A,B,C,"  Philip, "" we have to depend upon France for the champagne, but the terrapin is native. "" "" Quite so, and devilish good! That ain't"
41,1835,FIC,PartisanATaleRevolution,A,B,C,"  I'm on him, I goes it. I hate mightily to creep, terrapin fashion, in a dogtrot; for you see, stranger, it's a"
42,1880,FIC,TalesChesapeake,A,B,C,"  looking regretfully in his face, murmured: "" Avoid hot joints for supper! Terrapin must crawl again. Drink nothing but claret. Adieu! "" "" Really,"
43,1942,FIC,Harpers,A,B,C,"  "" Looks like the terrapin would bite Grandpa, "" I said. "" That terrapin has spent the winters under that smokehouse for fifteen years, "" Mom said."
44,1942,FIC,Harpers,A,B,C,"  n't say anything. Then saw. "" He's playin' with that old terrapin, Mom, "" I said. "" I know he is, "" Mom"
45,1835,FIC,GeorgiaScenesCharacters,A,B,C,"  gentleman turned his head, and the first thing he saw was Ned's party-coloured terrapin, right under his nose. He started as if he had been struck by"
46,1911,FIC,What's-His-Name,A,B,C,"  , no matter how much we order, but you can ask for lobster and terrapin, and raise thunder because they haven't got' em, whatever they are"
47,1917,FIC,TheresPippinsCheese,A,B,C,"  quail is but an inferior chicken -- a poor relation outside the exclusive hennery. Terrapin sits low in my regard, even though it has wallowed in the most aristocratic"
48,1900,FIC,SweetLittleMaid,A,B,C,"  however, she too fell into a fright at sight of an innocent little land terrapin traveling along with his house on his back. "" Don't tech it,"
49,1910,FIC,CowboySongs and,A,B,C,"  an' Lightnin' Rod, Nine Forty-Six an' A Bar Eleven, T Terrapin an' Ninety-Seven, Rafter Cross an' de Double Prod. "" Half circle"
50,1942,FIC,Harpers,A,B,C,"  , "" I said. "" Why does he let Grandpa? "" "" The terrapin knows your Grandpa. "" "" He ought to know me, "" I said"
51,1982,FIC,ColorPurple,A,B,C,"  , for Virginia and Martin, and for his secretary -- red-haired, green-eyed Lucia Terrapin, who had come in with some things for him to sign. The halibut"
52,1930,MAG,Time,A,B,C,"  . Last week 10,000 entries arrived in poultry cars to race in the sixth annual terrapin derby at Ponca City. Their owners chalked identifying numbers on their diamond-panelled backs and"
53,1893,MAG,Nation,A,B,C,"  . The other stories have for actors the various African animals, the rabbit and terrapin playing the part of weakness and cunning triumphant over strength and stupidity. While there"
54,1914,FIC,VandoverBrute,A,B,C,"  front one had beer and Welsh rabbits; in the larger rooms, champagne and terrapin. Vandover, Haight, and Geary came in through the ladies' entrance of"
55,1925,MAG,NewYorker,A,B,C,"  "" Scramble two with a side of toast has taken the place of truffles and terrapin. Under the latter-day legend, one may observe in dusty gilt, "" Mouquin"
56,1920,FIC,AgeInnocence,A,B,C,"  , after all. If you dined with the Lovell Mingotts you got canvas-back and terrapin and vintage wines; at Adeline Archer's you could talk about Alpine scenery and"
