entry,year,genre,source,a,b,c,text
66,1821,NF,NationalDangers,A,B,C,"  war. The precious Jigs of peace are not the natural fruit of this noxious thistle. If we would long enjoy the blessing of peace, we must sow its"
153,1823,MAG,NorthAmRev,A,B,C,"  consumed, although it should grow on our soil, as freely as a Canada thistle. However, we grant that could tea be grown to profit in America,"
60,1824,FIC,RedwoodATaleVolume2,A,B,C,"  presume to lift its yellow head in their green fields -- and even the Canada thistle, that bristled little warrior armed at all points, that comes in from the"
84,1827,MAG,NorthAmRev,A,B,C,"  long grass only turns its color from green to brown; but the clover and thistle country puts on a new aspect several times in a year, as crops of"
5,1828,MAG,NorthAmRev,A,B,C,"  that we can not help, but how it may be best used. As thistle down, and nettle seed are in full possession of it, we ought to"
163,1828,FIC,Remains,A,B,C,"  stems elastic, quiver at a breath, Rest in the general calm. The thistle down Seen high and thick, by gazing up beside Some shading object, in"
92,1830,MAG,NorthAmRev,A,B,C,"  him through the trackless wild, Where noontide sunbeam never blazed; - // The thistle shrunk, -- the harvest smiled, And nature gladden'd as she gazed."
173,1831,FIC,AmericanCommon-place,A,B,C,"  stems elastic, quiver at a breath, Rest in the general calm. The thistle down, Seen high and thick, by gazing up beside Some shading object,"
190,1831,FIC,AmericanCommon-place,A,B,C,"  feel the stillness more. The yellow-hammer by the way-side picks, Mutely, the thistle's seed; but in her flight, So smoothly serpentine, her wings outspread"
44,1834,FIC,Poems,A,B,C,"  the weather -- What dresses were worn at the wedding so fine Of sharp Mr. Thistle and sweet Columbine; Of the loves of Sweet William and Lily the prude,"
88,1834,FIC,CavaliersVirginia,A,B,C,"  relations and friends, were about to be surrendered up to the dominion of the thistle and the ivy, there to moulder through all future generations.But this was not all"
50,1835,MAG,NorthAmRev,A,B,C,"  from our bounds; our vegetable enemies, such as the leuco-chrysantheinum and the Canada thistle, can be destroyed by reasonable care; but, meantime, insects, creatures"
69,1835,FIC,InfidelFallMexico,A,B,C,"  and tombs of kings will be looked for in vain, under tangled copses of thistle and prickly-pear. The royal city of Tezcuco is now, though the capital of"
147,1835,FIC,HawksHawk-Hollow,A,B,C,"  the surges of the great vital ocean! in this little den, that the thistle can overshadow in a day's growth, and the molewarp undermine in an hour"
