entry,year,genre,source,a,b,c,text
1,1895,MAG,Atlantic,A,B,C,"  ? "" she exclaimed. (She had come from the home of the wood thrush, where hermit and veery were unknown.) Yes, "" I said;"
2,1873,FIC,Shells,A,B,C,"  my darling? Did'st know that the winter walked over the earth? The gold-breasted thrush, and the quaker-crowned starling Make glad other lands, with their innocent mirth."
3,1875,NF,AdviceMotherOn,A,B,C,"  ; the effect is sometimes, in such cases, truly magical. If the thrush be brought on either by too much or by improper food; in the first"
4,1912,NF,MothsLimberlost,A,B,C,  and hear again the ripple of the water and the mating exultation of the brown thrush. In the name -- Eacles Imperialis -- there is no meaning or appropriateness to
5,1895,MAG,Atlantic,A,B,C,"  , - possibly this very bird, - embodied in her beautiful poem The Sunset Thrush. For whatever bird it was intended, the syllables and arrangement correspond to the"
6,1988,FIC,MarkTwainsLetters —,A,B,C,  and today the royal Raven listens in a dreamy stupor to the songs of the thrush and the nightingale and the canary -- and shudders when the gaudy-plumaged birds of the
7,1987,FIC,KnaveGame,A,B,C,"  , an evening and a morning and part of an afternoon. I came to Thrush, and even the outskirts looked different. The huts were tumbling down; the"
8,1896,FIC,HolyCrossOther,A,B,C,"  , but which pleased the rose because she understood them. And one day the thrush swooped down from the linden upon a monstrous devil's darning-needle that came spinning along"
9,1905,MAG,Atlantic,A,B,C,"  ored, while its congeners are all mon, plainly dressed. In England the thrush that answers to oar robin. being almost identical in form. manner, and"
10,1848,FIC,DukesPrizeStory,A,B,C,"  lady persuasively, and in a voice as sweet as that of the idolized Pagoda Thrush of India. "" Perhaps so; and yet full well I know that I"
11,1952,FIC,CatherineWheel,A,B,C,"  listen; in the pear tree at the entrance of the picking garden, a thrush was singing; when the intricate and formal song was finished, Cousin Katharine clapped"
12,1854,FIC,Walden,A,B,C,"  the sky overcast, mid-afternoon had all the serenity of evening, and the wood thrush sang around, and was heard from shore to shore. A lake like this"
13,1854,FIC,PoeticalWorks,A,B,C,"  The Oriole hath wandered back, To weave her hammock light; And the brown thrush, a mimic wild, For many weary moons exiled, From bough to bough"
14,1904,FIC,RoseOldStLouis,A,B,C,"  radiant sweetness, she spoke, and her voice was like the song of the thrush beside running waters: "" Very well, monsieur; if I am not to"
15,1854,FIC,Walden,A,B,C,"  wood pewee, the chewink, and other birds. I had heard the wood thrush long before. The phoebe had already come once more and looked in at my"
16,1880,NF,Wake-Robin,A,B,C,"  impulsive, graceful movement, and his dimly speckled breast, that it is a thrush. Presently he utters a few soft, mellow, flute-like notes, one of"
17,1921,MAG,Atlantic,A,B,C,"  ; and even a pessimist like Thomas Hardy wondered what se. cret the' Darkling Thrush' knew that he did not know; and, further, what right he"
18,1875,FIC,Sevenoaks,A,B,C,"  over the river, and looking at themselves in the sunny waters; and the thrush, standing on the deck of the New Year, had piped all hands from"
19,1914,NF,SubterraneanBrotherhood,A,B,C,  a group of darksome trees beside a little stream two hundred paces distant a song thrush was wont to trill forth the holy soul of awakening nature in such a paean
20,1927,MAG,GoodHouse,A,B,C,"  Come to me! Come to me! Come to me! "" sings the thrush; while the blackbird says, "" Do you remember our first meeting, beloved"
21,1930,FIC,FifthSonShoemaker,A,B,C,"  very severely. She was a pale, lovely girl, as reticent as a thrush in a thicket, with dark hair with purple lights in it, and eyes"
22,1866,FIC,[PoemIn]Oration,A,B,C,"  as they sing to-day, A song of love and joy alway. The brown Thrush from its golden throat Poured out its long, melodious note; The Pigeons cooed"
23,1936,FIC,DeathMan,A,B,C,"  the house. Then without any kind of warning the clear bright beads of the thrush's singing were cast out across the fresh leaves and the grass. "" The"
24,1958,FIC,FlyingCuspidors,A,B,C,"  "" "" Sometimes I do not even understand the way you play even before the thrush comes, Hotlips, "" I admit. "" Like for instance yesterday when we"
25,1921,MAG,Harpers,A,B,C,  curtain. One day as I sat here I heard the song of the olive-backed thrush down in the currant bushes below me. Instantly I was transported to the deep
26,1983,FIC,EarthSong,A,B,C,"  Final Decision that morning. Across the lake in the dark trees, a wood thrush sang a song of melting sadness. When the hour was up, David walked"
27,2000,MAG,TodaysParent,A,B,C,"  (See "" A Latch Made in Heaven, "" p. 86.) Thrush Thrush can also cause sore nipples. Jain describes the discomfort thrush brings as "" a"
28,1894,FIC,JourneyInOther,A,B,C,"  of colours, while the room was filled with a thousand delicious perfumes. The thrush hanging in the window sang divinely, and in a silver frame he saw a"
29,1880,NF,Wake-Robin,A,B,C,"  a mystery and a surprise. We go out in the morning, and no thrush or vireo is to be heard; we go out again, and every tree"
