entry,year,genre,source,a,b,c,text
1,1989,FIC,Minotaur,A,B,C,  was laughing. He blew Rita a kiss. After dinner Callie shooed Jake and Toad off to the screened-in porch while she cleaned up the dishes. Rita and Amy
2,1897,NF,SketchesTravel,A,B,C,"  "" The power subjugated takes the shape of a creature, said to be a toad, with his head downwards. The work of subjugation is done by two men"
3,1996,NEWS,Houston,A,B,C,"  original coastal prairie, overrun by crops and non-native grasses that are pushing the Houston toad, the Attwater's prairie chicken and a variety of shorebirds to near extinction."
4,1847,FIC,AroundTheTea-Table,A,B,C,"  heaven. SIZE OF THROAT. The snake has hard work to choke down a toad, and the crocodile has a mighty struggle to take in the calf; but"
5,2003,FIC,Fantasy & Science Fiction,A,B,C,"  him so he no longer looks like a toad. Now he's a horny toad. "" Nice kid, I gave her one of my cards. Shows a"
6,1917,NF,FairyTalesFrom,A,B,C,  the buzzard. He was very unpopular with all the birds and beasts. The toad hopped over to the buzzard's house. The buzzard was outside the door making
7,1960,MAG,Atlantic,A,B,C,  her failure to communicate with Kenneth Grahame. So we tried Trent cautiously with Mr. Toad. He liked it! We were exultant. Then he learned to read for
8,1877,FIC,PaulKauvar,A,B,C,"  the good, while ravishing the pure! A monster -- part vulture, part toad -- who, in the holy name of progress, makes our Country and our"
9,1989,FIC,Minotaur,A,B,C,"  , the doctor, the IV drips and the heart monitor, then motioned to Toad, who followed him out into the hall. "" How is she? """
10,1830,FIC,Deformed,A,B,C,"  wrongs! Curs'd be the hour that gave this body being! Even the toad his poison will exude, If spurn'd, while I, a worm without"
11,1989,FIC,Minotaur,A,B,C,  . He needed a lot of answers in just a short time. Rita and Toad would have to get them. He walked away musing about Rita's lack of
12,1900,FIC,JimmyLucyAll,A,B,C,"  Did you hear him tell of sitting up there one day and seeing a little toad help another toad -- a lame one -- up the trunk of the tree? "" "" No,"
13,1989,FIC,Minotaur,A,B,C,"  the legal fees. "" "" Did she get custody? "" Rita asked. Toad told her about it. Both of them shook their heads sadly. Truly,"
14,1989,FIC,Minotaur,A,B,C,  have acted as a reflectorto send the enemy's radar signals back to him. Toad tuned the radar to optimize the presentation and dictated his switch and dial positions on
15,1993,FIC,Ploughshares,A,B,C,  bathtub drain; being a stick but only seeing in the mirror a fat bull toad; you got girls that barely have their periods taking drugs and talking like used
