entry,year,genre,source,a,b,c,text
1,1825,FIC,RebelsBostonBefore,A,B,C,"  to the purest white, like maidens outgrowing their youthful blushes; and the beautiful Trillium bows its starry head beneath its dark green leaves, like a scared and petted"
2,1851,NF,FlowerGardenBrecks,A,B,C,"  , Iris are worthy a place in the pleasure grounds. The curious Orchideous and Trillium tribes, so wild in their, habits, and impatient of cultivation, might"
3,1872,FIC,BeautyBeastTales,A,B,C,"  blessing of life unthinkingly. The azaleas succeeded to the anemones, the orchis and trillium followed, then the yellow gerardias and the feathery purple pogonias, and finally the"
4,1877,MAG,Atlantic,A,B,C,"  bearing a first crop of ferns, among which were mingled orchis, cypripedium, trillium, with delicate trefoil of the oxalis and countless minor plants which can live only"
5,1880,NF,Wake-Robin,A,B,C,"  hope I have found in "" Wake-Robin, "" the common name of the white Trillium, which blooms in all our woods, and which marks the arrival of all"
6,1900,NF,ContemporaryAmerican,A,B,C,  rushing wind-motif. Through these the timid Awakening spirit lifts its head like the first trillium of the year. There is a silence and a stealthy flutter of the violins
7,1901,MAG,Atlantic,A,B,C,"  violets (Maeda); spring-beauties; adder's-tongue (dog's-tooth violet); and painted trillium. A pretty show; pretty in itself, and a thousand times prettier for"
8,1901,MAG,Atlantic,A,B,C,"  . Nobody ever saw anything prettier. Hose, also, is the showy purple trillium, not so badly overgrown as it sometimes is, in addition to all the"
9,1901,NF,WildFlowers,A,B,C,"  of Long Island there are certain meadows literally blued with the little runaways. # PURPLE TRILLIUM, ILL-SCENTED WAKE-ROBIN or BIRTH-ROOT (Trillium erectum) Lily-of-the-Valley family # Flowers - Solitary"
10,1901,NF,WildFlowers,A,B,C,"  literally blued with the little runaways. # PURPLE TRILLIUM, ILL-SCENTED WAKE-ROBIN or BIRTH-ROOT (Trillium erectum) Lily-of-the-Valley family # Flowers - Solitary, dark, dull purple, or"
11,1901,NF,WildFlowers,A,B,C,"  weeks after the jubilant, alert robins have returned from the South, the purple trillium unfurls its unattractive, carrion-scented flower. In the variable colors found in different regions"
12,1901,NF,WildFlowers,A,B,C,"  part only complete. In deep, rich, moist woods and thickets the. sessile trillium blooms in April or May, from Pennsylvania, Ohio, and Minnesota southward nearly"
13,1901,NF,WildFlowers,A,B,C,"  leave pollen of the same flower on the stigma. # EARLY or DWARF WAKE-ROBIN (Trillium nivale) Lily-of-the-Valley family # Flowers - Solitary, pure white, about 1 in."
14,1901,NF,WildFlowers,A,B,C,"  petals and sepals revert to primitive green leaves. With the exception of the painted trillium which sometimes grows in bogs, all the clan live in rich, moist woods"
15,1901,NF,WildFlowers,A,B,C,"  far westward we find this tardy wake-robin in May or June. # Certainly the commonest trillium in the East, although it thrives as far westward as Ontario and Missouri,"
16,1901,NF,WildFlowers,A,B,C,"  range, # Perhaps the most strikingly beautiful member of the tribe is the PAINTED TRILLIUM (T. undulatum; T. erythrocarpum of Gray). At the summit of the"
17,1901,NF,WildFlowers,A,B,C,"  berry is seated in the persistent calyx. With the same range as the nodding trillium' s, the painted wake-robin comes into bloom nearly a month later - in"
18,1907,FIC,FootRainbow,A,B,C,"  -- for she had a habit of drawing comfort from a cinnamon pink or a trillium laid where its delicate fragrance reached her with every breath. "" I am quite"
19,1908,FIC,TrailLonesomePine,A,B,C,"  's what they SAY. "" A little farther on the white stars of the trillium gleamed at them from the border of the woods and near by June stooped over"
20,1922,FIC,PenguinPersons,A,B,C,"  home, I should find her waiting with a smile, perhaps with just a trillium in her hand to offer me, before she sped on again toward Labrador."
21,1947,FIC,SecondGrowth,A,B,C,"  sunny openings, and crouched to pick a handful. The ground was glossy with trillium, and the flower shafts of greater Solomon'sseal stood up from the throats of the"
22,1953,FIC,GoodSpiritLaurel,A,B,C,"  and dogwood blooms, mixed with whippoorwill flowers, blue and white violets, and trillium. Lutie has fixed this cabin until it's nice, in a way,"
23,1953,FIC,GoodSpiritLaurel,A,B,C,"  vines hunting for dogfennel, sheepshower, and the wild-rose blossoms. They bent the trillium, loaded with blossoms, near a rotting stump. "" Bucketful, "" Op"
24,1957,FIC,BelowSalt,A,B,C,  with its gnarled trees and narrow valleys where the sun did not penetrate and the trillium grew thin and reedy. As the roads led farther up into the fantastic hills
25,1965,FIC,JournalFromEllipsia,A,B,C,"  had scraped her heel in the bath since her girlhood, to the patch of trillium on the way through the woods to the tower where all her scientific efforts were"
26,1979,FIC,PassionPlay,A,B,C,"  , I know them. "" "" Do you know the red ones there -- trillium? They're also called red rooster. "" Fanny clucked like a hen."
27,1979,FIC,PassionPlay,A,B,C,"  "" Possibly. "" "" Possibly, "" she mimicked him. |p202Fanny dropped the red trillium he had given her into her shoulder bag. "" Did you ever want a"
28,1979,FIC,PassionPlay,A,B,C,"  freaky, I was confused. "" Fanny had opened her bag, found the trillium, and tossed it into the water. He asked her why. "" I"
29,1979,FIC,PassionPlay,A,B,C,"  I knew, and those bushes are bridal wreath. "" |p208She plucked a red trillium and thrust it into her shoulder bag, then began to collect a bouquet of"
30,1990,MAG,Horticulture,A,B,C,"  ), bluebells (Mertensia Species), bloodroots (Sanguinaria species), and Trillium species. Because woodlands tend to have an even distribution of rainfall throughout the year"
31,1993,NEWS,CSMonitor,A,B,C,"  "" It works the other way round as well, of course. A native trillium from the United States is an exotic in Europe. But further than this,"
32,1993,NEWS,CSMonitor,A,B,C,"  described, and only six are shown in photographs. However, four kinds of trillium are included - a delectable group of woodland plants that for some are exotics,"
33,1998,NEWS,Atlanta,A,B,C,"  on U.S. 64 East at Flat Mountain Road (828-526-3765). For golfers, Trillium Links is open to the public (1-888-909-7171). Handmade Scottish cashmere intarsia sweater"
