entry,year,genre,source,a,b,c,text
1,2002,NEWS,AP,A,B,C,"  the best due to increased flows into the canal. Anglers caught some 2-3.5 pound trout on Kastmasters, powerbaits, nightcrawlers. # SOUTH-CENTRAL # Upland Bird Hunting: Buffalo"
2,1899,FIC,FishermansLuck,A,B,C,  by Charles Cotton and Thomas Barker seem to have gone out of style among the trout. Perhaps familiarity has bred contempt. Generation after generation of fish have seen these
3,2002,NEWS,AP,A,B,C,"  fish. Fly fisherman also having success in areas where trout are rising. Brown trout must be at least 20 inch to be legal in Lake Ogallala, with no"
4,1989,MAG,SportsIll,A,B,C,"  , would do the most damage to the fish. What eventually caused the Lahontan trout to disappear from Pyramid Lake was the building of the Derby Dam on the Truckee"
5,1896,NF,AutomobilistAbroad,A,B,C,"  "" we proposed passing the night. We did pass the night at the "" Trout Inn, "" which has no accommodation for automobiles, except a populated hen-house,"
6,1991,FIC,Play:NotFerryman,A,B,C,"  workin' in them mines, an' I found him down in a holler TROUT O'DONNELL (V.O.) Clyde! (Back scrim of Appalachian mountains begins to light"
7,1991,FIC,Play:NotFerryman,A,B,C,"  to cut you, Doc. DOCTOR FREDRICK STRAUSS This is crazy! Don't TROUT O'DONNELL I could slice yer heart right outta yer chest. p. 104 NIKOS TOMADAKIS"
8,1887,FIC,SamanthaAtSaratoga,A,B,C,  . She wuz a leanin' on the stun railin' that fences in the trout pond. She wuz evidently a lookin' down pensively at the shinin' dartin
9,1991,FIC,Play:NotFerryman,A,B,C,"  Nope. How' bout here? NIKOS TOMADAKIS (Enters, looks first at TROUT, whose rear end is up in the air as she bends over to look"
10,1891,NF,AnglingSketches,A,B,C,"  pink in the flesh, and better flavoured, I think, than the famous trout of Loch Leven. They are also extremely game for their size; a half-pound"
11,2005,FIC,FortyWordsSorrow,A,B,C,"  watching his reaction. Cardinal looked away, staring out into the blackness that was Trout Lake. In the distance the headlights of two snowmobiles moved in tandem across the"
12,1947,FIC,GreenerThanYou,A,B,C,"  to myself,' Suppose you run into some gent looking at a lovely fat trout in a brook and he has nt got no fishline with him? What could"
