entry,year,genre,source,a,b,c,text,
1,1847,FIC,[PoemsIn]TheFloral,A,B,C,"  from Poems, in The floral offering (1847) The royal rose -- the tulip's glow, -- The jasmine's gold are fair to see, But while",
2,2005,MAG,Bazaar,A,B,C,"  ; it's about freedom, "" says Elbaz about his collection, in which tulip skirts have elastic waists, jackets are shaped with darts at the back, and",
3,1980,MAG,SatEvePost,A,B,C,"  . What the tower is, of course, is the center of our annual Tulip Festival. That's held the second weekend in May -- Thursday, Friday and",
4,2005,FIC,Ploughshares,A,B,C,"  It was November, and the landscaping season was at an ebb. She planted tulip and daffodil bulbs, her fingers kneading the cold earth. Nothing was discovered,",
5,1894,FIC,SelectPoems,A,B,C,"  Through shaded ravines, Where the beautiful hallows Wild, varying scenes; Where the tulip tree scatters Its blossoms in Spring, And the bank-swallow spatters With foam its sweet",
6,1971,MAG,Nation,A,B,C,"  Sulzberger'S entry for 9:36 A.M. to 9:37 A.M.: "" Threw out a dead tulip. "" Still, it is reassuring to know that the Times's passionate concern",
7,1944,MAG,Harpers,A,B,C,"  his old hat flopping over his face, breaking the clods of earth in a tulip bed. He was dressed in a waistcoat and leather breeches, and his shoes",
8,1841,NF,Book,ATreatise,A,B,"  and rather moist, the yellow timber. It is rather difficult to transplant the Tulip tree when it has attained much size, unless the roots have undergone preparation,",
9,1970,NEWS,NYT-Let,A,B,C,"  the beds. We have not had a single case of a squirrel molesting a tulip, although they continue to play around on the grass and In the trees.",
10,1869,NF,MemoirsExtraordinary,A,B,C,"  planted in England were brought from Vienna in 1600. Until the year 1634 the tulip annually increased in reputation, until it was deemed a proof of bad taste in",
11,1917,NF,LibraryWorkWith,A,B,C,"  Count of Monte Cristo, "" "" The Three guardsmen "" and "" The Black tulip. "" "" Les Miserables "" and "" The Mill on the Floss "" will",
12,1997,MAG,Bicycling,A,B,C,"  ditch separated me from the bloom piles, I would have salvaged a fistful of tulip blossoms and stuck them in my water bottle as a rolling tribute to spring!",
13,1858,FIC,LucyHowardsJournal,A,B,C,"  her step to greet. Whom doth Spring love? The hyacinth rare, The tulip gay, with queenly air, To them her choicest gifts she flings, And",
14,2003,FIC,Ploughshares,A,B,C,"  home midmorning to take the iris to Ginette, by noon Emile had finished the tulip beds and tied the clippings in burlap to lay out to dry behind the wall",
15,1869,NF,MemoirsExtraordinary,A,B,C,"  they teach. THE TULIPOMANIA. Quis furor o cives! -- Lucan. The tulip, -- so named, it is said, from a Turkish word, signifying",
16,1989,FIC,WhileMyPrettyOne,A,B,C,"  a pale-gray wool with a silver' belt that rested on her hips. The tulip skirt barely skimmed her knees. A silk scarf in tones of gray, silver",
17,1999,MAG,ChildLife,A,B,C,"  was used for desks and other furniture. "" Let's go back to the tulip tree, "" Christopher said, "" and start looking for the white oak from",
18,1839,FIC,WhigsDemocrats,A,B,C,"  And as to you, Mr. Chipps, if you were to send me the tulip, I should probably give in return a piece of pitch pine, by which",
19,1957,NF,ArabianHorseIn,A,B,C,"  , and got by Wolstenholme's Tanner out of Galloway's Tulip. ""' Tulip was got by Old Selim son of Othello: out of a mare imported by",
20,1999,FIC,Ploughshares,A,B,C,"  overgrown with rhododendrons, azaleas, raspberries, yews, canopied with old oaks, tulip poplars, and pines. When my parents broke up and my mother moved my",
21,1868,FIC,Daisy,A,B,C,"  there was many a little bit of pleasure I could give; what with a tulip here and a cup of tea there, and a bright handkerchief, or a",
22,1942,NF,EnglishSocialHistory,A,B,C,"  , the laburnum, the nasturtium, the everlasting, lovein-a-mist, honesty, the tulip tree, the red maple. The love of gardening and of flowers that now",
23,1884,FIC,QueerStoriesBoys,A,B,C,"  again, and the music came back into her voice once more. And Tilda Tulip thought in her dream that Miriam looked like herself, and that the beautiful lady",
24,1846,FIC,ElinorWyllysVolume1,A,B,C,"  , with a few scattered natives of the soil -- elm, hickory, sycamore, and tulip trees -- farther from the house, were the only attempts at embellishment that had been made",
25,1855,FIC,LaysAncientVirginia,A,B,C,"  she sleeps. Closed her soft and sparkling eyes, Oped her mouth like a tulip's cup, In a starry trance she lies, Like a bud at night",
26,1915,NF,ThreeThings,A,B,C,"  What good gardener would treat a rose-tree in the same fashion which he does a tulip bulb? The spiritual mother should think out for herself, guided by what she",
27,1896,MAG,Atlantic,A,B,C,"  I send everybody off in a panic. An oriole, "" Like an orange tulip flaked with black, "" dropped in as he passed, but left in haste",
28,1869,NF,MemoirsExtraordinary,A,B,C,"  . In England, in our day, strange as it may appear, a tulip will produce more money than an oak. If one could be found, rara",
29,2004,FIC,Mov:OceansTwelve,A,B,C,  in a long row of other tulips. A HAND reaches in and pulls the tulip from the ground. We then cut to: # 1A A BASKET of tulips,
30,1941,FIC,BlackShrouds,A,B,C,"  thing was in the shape of a large square. "" It's Mama's tulip bed, "" Barbara explained, trying to | brush bits of earth and dead",
31,1876,FIC,Clarel,A,B,C,"  On tract of less obstructed ground Came fairly into open sight A mounted train in tulip plight: Ten Turks, whereof advanced rode four, With leveled pistols, left",
32,1999,FIC,WomanWhoDefeated,A,B,C,"  Which she had designed. To a certain degree. Because the gardener planted the tulip after preparing the soil but he didn't control the weather, and the frosts",
33,1938,NF,CommonSenseInHome,A,B,C,"  of wood or rush. Ornament consisted of simple incised variations of the rose, tulip and sunflower. The woods most frequently employed were pine, beech, maple,",
34,1837,NF,DirectionsCookery,A,B,C,"  slit in the middle of the lid, and stick firmly into it a paste tulip or other flower. Put the dish into a moderate oven, and while the",
35,1970,NEWS,NYT-Let,A,B,C,  single squirrel and yet saving every bulb. We had a similar problem in our tulip beds a few years ago and we were advised by our gardener to sprinkle dried,
36,2004,MAG,ChildLife,A,B,C,"   412644 // As always, we have sports at the 14th annual Tulip Time Scholarship Games. But we also exercise the mind. This year we have",
37,1880,NF,Wake-Robin,A,B,C,"  woods literally swarming with warblers, exploring every branch and leaf, from the tallest tulip to the lowest spice-bush, so urgent is the demand for food during their long",
38,1942,FIC,AlongStreet,A,B,C,"  , and at one end of the garden near the stable, a huge old tulip magnolia in full bloom showed its upper half. It's there! thought Felix",
39,1851,NF,FlowerGardenBrecks,A,B,C,"  tinge of the breeder, are considered the most perfect. The cultivation of the Tulip is mystified by the elaborate directions generally given for its cultivation, I have succeeded",
40,1855,FIC,WorksEdgarAllan,A,B,C,"  and the happiness with which this neutral tint melted into the vivid green of the tulip tree leaves that partially overshadowed the cottage, can readily be conceived by an artist",
41,2007,FIC,FantasySciFi,A,B,C,"  nice, "" says Mr. Hudson, turning to stroke the glass above the blemished tulip. "" I wonder who brought tulips to the Moon? "" asks Danny.",
42,1942,NF,EnglishSocialHistory,A,B,C,"  introduced into England at this period, among many others the crown imperial, the tulip, the laburnum, the nasturtium, the everlasting, lovein-a-mist, honesty, the",
43,1949,FIC,LotteryAdventures,A,B,C,"  most of the flowering bushes and pinning down what was to have been a glorious tulip bed. As Mrs. Winning stopped, watching, Mrs. Burton came out on to",
44,1833,NF,DeppingsEvening,A,B,C,"  our gardens, being surpassed by many otliers in beauty and fragrance. Nevertheless the tulip, about a century after its transplantation into Europe, acquired a consideration which no",
45,1865,MAG,Atlantic,A,B,C,  rare verbenas has grown rich from annual sales of these beautiful bedding plants. The tulip is an historical monument of floral enthusiasm. When Mexico was opened to Northern enterprise,
46,1911,NF,HistoryEnglish,A,B,C,"  despised "" prospect, "" was everywhere; even the forbidden "" streak of the tulip "" might be detected. And, lastly, Gray had too obvious leanings to",
47,1882,FIC,PoemsNathaniel,A,B,C,"  , and the stars float up, In the blue air, and the rich tulip's cup Is pencill'd passing well, And the swift birds on glorious pinions",
48,1941,FIC,BlackShrouds,A,B,C,"  jabbed my arm and whispered, "" Remember that hole somebody dug in, the tulip bed? Maybe Miss Imogene is in it. "" I started to shiver and",
49,1942,FIC,AlongStreet,A,B,C,"  She had her knees on a doormat in the backyard, turningthe earth around her tulip bulbs with the big carving fork. Uncle Dan and Jeff had long intended to",
50,1926,NF,PrinciplesProblems,A,B,C,  of a tulip are for this position identical element for element. Our seeing the tulip is an event which is external to the tulip. We have here the doctrine,
51,1931,FIC,XXXYYY,A,B,C,"  nails and to settle the boards about. Fresh breezes continued to blow from the tulip tree and some careless little bird sang again and again among the widereachingboughs, twittering",
52,1843,MAG,NewEngYaleRev,A,B,C,"  in general with so little effect. We would not paint the petals of a tulip to increase its beauty; we would enrich the soil in which it grows,",
53,1911,NF,HistoryEnglish,A,B,C,"  "" general properties and large appearances. He does not number the streaks of the tulip or describe the different shapes in the verdure of the forest, "" but must",
54,1945,FIC,MrTuttFindsWay,A,B,C,"  veranda of Judge Culpepper's bungalow. Behind them a mockingbird was singing in a tulip tree. "" You have a charming neighbor in Miss Beaufort, "" remarked Mr.",
55,1948,NF,PracticalBookAmerican,A,B,C,"  tulip in popular favour as a motif for decoration came the fuchsia. Like the tulip, it lent itself conveniently to conventional treatment or, if preferred, to a",
56,1851,NF,FlowerGardenBrecks,A,B,C,"  a memorable monument of this outrageous folly is still exhibited at Lille, in the Tulip Brewery, which, it is said, though valued at 30,000 francs, (",
57,1852,FIC,DollarsCents,A,B,C,"  he don't get me the stuff! "" Kate sat leaning forward with the tulip fingers abstractedly piercing the air. "" Mamma, how do you suppose we are",
58,1968,MAG,NatGeog,A,B,C,"  forest's edge, their crinklecapped shafts sprouting up among yellow violets under a leafing tulip tree (pages 494-5). They were only a beginning. In half an",
59,1957,NF,ArabianHorseIn,A,B,C,"  bred by Samuel Galloway, and got by Wolstenholme's Tanner out of Galloway's Tulip. ""' Tulip was got by Old Selim son of Othello: out of",
60,1939,NEWS,NYT-Reg,A,B,C,"  swarmed in and got a free preview of the closing spectacle of the show. Tulip Week was officially opened with a program of peasant folk dances and songs, in",
