entry,year,genre,source,a,b,c,text
1,1938,MAG,Time,A,B,C,"  complained that he did not have an opportunity to do justice to'' the vulture glare in Mr. Neville Chamberlain's eye. "" Since that time Mr. Chamberlain has"
2,1867,FIC,HiddenHand,A,B,C,"  my dove! my dove! that you should be in the power of this vulture! What shall I do, oh, heaven? "" Marah dropped on her"
3,1921,FIC,HerFathersDaughter,A,B,C,"  explained how she might distinguish an eagle from a hawk, a hawk from a vulture, a sea bird from those of the land. When they reached the bridge"
4,1840,FIC,WestPoint,A,B,C,"  Benedict Arnold (alarmed.) We are detected, that firing is at the Vulture. Both Andre and Arnold rush to the door to observe. Arnold. Gen."
5,1847,FIC,Arnold,A,B,C,"  convey that, pending The morrow's night, he shall despatch on board The Vulture, or to the ferry there below, A messenger, whose secrecy and honor"
6,1876,NF,WinterSunshine,A,B,C,"  black and harmless as doves, though perhaps hardly dovelike in their tastes. My vulture is also a bird of leisure, and sails through the ether on long flexible"
7,1864,FIC,ArnoldAndreacute,A,B,C,"  can not be. Exit. SCENE II. Cabin of the British sloop-of-war "" Vulture, "" lying in the Hudson River, a few miles below King's Ferry"
8,2008,NF,DeclineFallBritish,A,B,C,"  Holland as well as France, which the Earl of Chatham described as a "" vulture hovering over the British Empire. "" Redcoat bayonets dominated the battlefield and Britannia still"
9,1898,NF,AgeFable,A,B,C,"  pity's recompense? A silent suffering, and intense; The rock, the vulture, and the chain; All that the proud can feel of pain; The"
10,1847,FIC,Arnold,A,B,C,"  . Why comes he not? The barge to freight him thence has to the Vulture Long since pass'd, and should ere this return. But Hark! the"
11,1997,MAG,Antiques,A,B,C,  his royal name within an inlaid cartouche. Above soars the goddess Nekhbet in her vulture form. Photograph Photograph // An example of the decorative use of semiprecious stones is
12,1835,FIC,BrothersATaleFronde,A,B,C,"  rather than that brave falcon which soared so high a flight to stoop upon the vulture of Lorraine! Awake yourself, for the love of God! -- here will"
13,1864,MAG,ContMonth,A,B,C,"  of nature. There is a path which no fowl knoweth, and which the vulture's eye hath not seen: the lion's whelps have not trodden it,"
14,1822,FIC,OdofriedeOutcast,A,B,C,  'd snow. At my side the she wolf lies. Round my head the vulture flies -- I heard thy voice -- thy spell I knew And on my cloud
15,1843,FIC,RingwoodRoverA,A,B,C,"  ! my son, I forget to avenge thee -- may my flesh feed the vulture and the wolf -- my soul be yielded to man's everlasting foe! """
16,1838,NF,IncidentsTravel,A,B,C,"  eyes already picked out, and their sockets hollow to the brain. A huge vulture was standing over him, with his long talons fastened in the entrails, his"
17,2009,FIC,KissesLikeDevil,A,B,C,"  his waist measurement nearly equaled his height. His nose was as sharp as a vulture's rapacious beak, his mouth was as tight as a python's grip,"
18,1837,FIC,Nacoochee,A,B,C,"  is free; For the raven descends on the dead to feast, And the vulture is whetting his beak by the sea. They cleave their curve in the charnal"
19,1866,NF,CampaignsNon-Combatant and,A,B,C,"  , standing over the nude, hard corpse, he reminded me of the implacable vulture, looking into the eyes of Prometheus. His battery and tube were pulsing,"
20,1968,FIC,Innocent,A,B,C,"  clear blue sky, circling and circlingover our heads like an eagle, like a vulture -- and the colonel called me to move my battalion to a new position."
21,1856,FIC,CharlemontOrPride,A,B,C,"  of the grave -- of a long sleep -- an endless sleep -- where the vulture may no longer gnaw the heart, nor the fire burn within the brain!"
22,1852,MAG,AmWhigRev,A,B,C,"  on by a torment which it dares not acknowledge to God or man. A vulture is devouring it, and it can ask no sympathy or assistance, either from"
23,1889,FIC,LittleBookWestern,A,B,C,"  I'm done, I'd have no son Pounce on these treasures like a vulture; Nay, give them half My epitaph, And let them share in my"
24,1954,MAG,Time,A,B,C,"  there is very little conventional beauty in anything Lipchitz has done. Prometheus Strangling the Vulture II is typically powerful, but it is also unnecessarily cluttered. Mother and Child"
25,1967,MAG,Time,A,B,C,"  woodpecker finches probed insects from holes with short twigs. # Comes now the Egyptian vulture. # Traveling in Tanzania on a National Geographic Society photographic expedition, Zoologist Jane"
26,1837,FIC,Miriam,A,B,C,"  these tears! Could I have dream'd the dove would shelter her Beneath the vulture's foul and treacherous wing? Alas, my father! sweeter far this night"
27,1998,FIC,Infidelity,A,B,C,"  He wiped the foam from his mouth while I tried not to watch like a vulture. Sounding a bit unsure of himself, he said, "" Well, you"
28,1886,NF,Danger!ATrueHistory,A,B,C,"  money. Fettered thus, with the torments both of Prometheus and Tantalus -- the vulture gnawing at her vitals, and the lost joys mocking her out of reach --"
29,1987,NF,FallBellSystem,A,B,C,"  position. The government's antitrust suit was ever in the background, like a vulture on a fence, and the firm could not afford to relax. The company"
30,1883,FIC,GuardianAngel,A,B,C,"  that another's life is becoming superfluous and a burden, feeds like a ravenous vulture on the soul. Woe to the man or woman whose days are passed in"
31,1965,FIC,PlayInFieldsLord,A,B,C,"  a narrow room with a corpse in the next bed, with God, a vulture and a dog as witnesses, wishing that Marguerite were here. Marguerite. I"
32,1847,FIC,Arnold,A,B,C,"  III. Morning. Outside of Smith's House. View of the River. Vulture in the distance, lying at anchor off Teller's Point. Enter Smith."
33,1973,FIC,SearchesSeizures,A,B,C,"  there, the queer caruncles of God. The second tomb robber looks at the vulture and cobra, symbolsof Upper and Lower Egypt, which seem to grow out of"
34,1965,FIC,PlayInFieldsLord,A,B,C,"  . Dog, heat, a vulture, nothing more. A dog, a vulture, nothing more, and thus We parted, sang Lenore. Singing. Somewhere"
35,1915,FIC,BoyAlliesUnder,A,B,C,  skimmed over the water missing The Vulture by inches. At the same time The Vulture launched a torpedo and the three aboard the U-6 gasped as it seemed that the
36,1839,FIC,BehemothALegend,A,B,C,"  high, as in the quiet and fearless hours of earlier times, the brown vulture and the bald eagle flew, silently sailing on, or sending through the air"
37,1988,NEWS,WallStJrnl,A,B,C,"  , above the highest escarpments one of the rarities of Mongolia, the great bearded vulture or lammergeier, second only to the condor in wing span and now confined to"
38,1826,FIC,TragedySuperstition,A,B,C,"  And why a harshness? Sure, ah sure, Religion Descends not like the vulture in its wrath; But rather like the mild and gentle dove, Emblem of"
39,1887,FIC,SomeChineseGhosts,A,B,C,"  ; Good is the continence of speech; Good is all.... "" Again the Vulture of Temptation soared to the highest heaven of his contemplation, bringing his soul down"
40,1846,FIC,RomanTraitorVol22,A,B,C,"  agony, and his other features lacerated by the beak and talons of some half-gorged vulture. But, while he gazed, the heavy lids rose, and the glazed"
41,1870,NF,VikramVampireClassic,A,B,C,"  place and style of his suicide. But the shaft of FateFN#111 strikes down the vulture sailing above the clouds, and follows the worm into the bowels of the earth"
42,1810,FIC,GordianKnot,A,B,C,"  The rude wolf, That feeds on slaughter, fondles her week young; The vulture that the harmless dove destroys, Dips not her beak in blood, but for"
43,1855,MAG,Harpers,A,B,C,"  yell as if the fiends were unloosed; at daybreak, the eagle and the vulture darken the air over his head, and gorge their unholy appetites in the victims"
44,1849,FIC,Merry-mountARomance,A,B,C,"  the air, and looked with an expression of cowardly ferocity, worthy of a vulture, disturbed when feeding upon a carcass, at the angry countenance of Maudsley."
