entry,year,genre,source,a,b,c,text
1,1820,FIC,JudithEstherOther,A,B,C,"  when fair Nature sank to rest And blackly waved the forest trees, And every warbler in his nest Shrank from the midnight's mournful breeze. Then as he praised"
2,1820,FIC,JudithEstherOther,A,B,C,"  neck, To mingle breaths with thee. The orient is rosy gay, The warbler quits her nest, And gloomy night-mists only stay In my hope-sickened breast Come!"
3,1823,FIC,WildernessBraddocks,A,B,C,"  By Inver's banks, so green and gay, I join'd each little warbler's song, And tun'd to love the blithesome lay, The fragrant hawthorn"
4,1827,FIC,Novels,A,B,C,"  Sweet sounds that she once loved, and especially when her darling child was the warbler, were heard no longer. How, with streaming eyes, have I sat"
5,1832,MAG,NorthAmRev,A,B,C,"  tell him more, than that the sound proceeds from a bird; while the warbler, and his brother of the red eye, will sing on, in happy"
6,1832,MAG,NorthAmRev,A,B,C,"  is sometimes heard in the water and at night. Mr. Audubon has named a warbler, which resembles the Maryland yellow-throat, Sylvia Roscoe, as a mark of gratitude"
7,1832,MAG,NorthAmRev,A,B,C,"  are very much alike. In honor of another naturalist, he has named another warbler Sylvia Vigorsii, Vigors's warbler, but has given us no description of the"
8,1832,MAG,NorthAmRev,A,B,C,"  honor of another naturalist, he has named another warbler Sylvia Vigorsii, Vigors's warbler, but has given us no description of the habits of the bird, having"
9,1832,MAG,NorthAmRev,A,B,C,"  him with the opportunity of complimenting another friend; he has called it Children's warbler, in honor of Mr. Children of the British Museum. Among the hawks,"
10,1832,MAG,NorthAmRev,A,B,C,"  . Its nest resembles that of the crow. Traill's fly-catcher, Rathbone's warbler, Henslow's bunting, and Harlan's hawk, are birds named for various"
11,1835,FIC,Orlando,A,B,C,"  , lolling both on nature's verdant lap, The violet's odour and the warbler's breath Commingling in the air, we'll fondly dally; Dally till our"
12,1835,MAG,NorthAmRev,A,B,C,"  Townsend's, "" because discovered by Dr. Townsend, of Philadelphia. Beside the warbler above-mentioned, Mr. Audubon has given to a new finch the name of Bachman."
