entry,year,genre,source,a,b,c,text
1,1965,NEWS,NYT-Reg,A,B,C,"  leave the craft and be lifted into the helicopter for the flight back to the Wasp, which Os steaming in at 30 knots. Frogman Dropped Three frogmen dropped into"
2,2005,MAG,OutdoorLife,A,B,C,"  another failure), or simply saw success in a round similar to the.219 Wasp, a rimmed wildcat popular at the time. Since its introduction in 1936,"
3,1973,MAG,Harpers,A,B,C,"  Mother, the Sleeping Beauty, the Goodhearted Squaw, the Sadomasochistic Black, the Wasp Ice-Queen. Dean Kovell restores order to their messy lives, but not necessarily to"
4,2002,NF,NaturalHist,A,B,C,"  killer into a soil-moving machine. # Its translucent orange wings buzzing, a giant wasp dragged a large green cicada along the ground toward a redbud tree. The hymenopteran"
5,1972,FIC,AdventuresTheStainless,A,B,C,"  establishment, but that slid not mean that I had to like it. My wasp colors branded Inc an alien, and alien they were going to keep me."
6,1855,NF,EightYearsWanderings,A,B,C,"  species of centipede alluded to is not very severe, being about equivalent to a wasp's sting. I have been bitten myself, and I have seen another person"
7,1904,NF,HistoricalTales,A,B,C,"  the American patriots were not at rest. Marion was flying about, like a wasp with a very sharp sting. Sumter was back again, cutting off strays and"
8,1886,FIC,Poems,A,B,C,"  faint and drowsily; The sharp fly buzzing round the leafy fence; The burning wasp, the bees that droning hum Along the shining spires of withered grass; The"
9,1867,NF,OurCommonInsects,A,B,C,"  bee larva is almost embryonic in its build. The helpless young maggot of the wasp, which is fed solely by the parent, may be compared to the human"
10,1950,FIC,LoveHonor,A,B,C,  in through an open window brought the faint scent of autumn. Was that silly wasp crawling up the screen and sliding down trying to escape into the outside world?
11,1966,MAG,SatEvePost,A,B,C,"  , the justification being that clients have to tell their lawyers a lot of things WASP businessmen would hesitate to tell an Italian Catholic or a Jew. Today the businessmen"
12,1979,FIC,LifeIReallyLived,A,B,C,"  was still Kickapoo-shaped, sturdy ratherp283than curvy, the baby fat gone, with no wasp waist or delicate sloping shoulders as replacements. You couldn't count Wanda's ribs"
13,1999,NF,WayWeLivedThen,A,B,C,"  I could be an Episcopalian. We were the big-deal Irish Catholic family in a WASP city. My brother, the writer John Gregory Dunne, once wrote that we"
14,1922,FIC,DownMotherLode,A,B,C,"  of various insects for food. Eggs of ants, and the maggots found in wasp's nests were considered great delicacies. They also ate dried grasshoppers and young clover"
15,1945,NEWS,WallStJrnl,A,B,C,  The Transport Minister's proposal to nationalize long distance highway haulage has stirred up a wasp's nest. Sixty thousand small operators who claim to control 90?;:
16,1838,FIC,NarrativeArthur,A,B,C,"  the eleventh of January, 1823, Captain Benjamin Morrell, of the American schooner Wasp, sailed from Kerguelen's Land with a view of penetrating as far south as"
17,2002,FIC,FantasySciFi,A,B,C,"  States: "" In the magic silence of a summer's afternoon, the mud wasp builds her nest. Instinct, honed through the eons, guides her choice."
18,1968,MAG,NatGeog,A,B,C,  decided to photograph wasps. For weeks I had been watching the development of a wasp comb stuck up under the eaves of the smokehouse. I had noticed it first
19,1980,MAG,Time,A,B,C,"  "" # In other tales, a couple trying to submerge their heritage in a Wasp suburb are threatened by an old yenta; if they do not give money to"
20,1943,NF,scan,A,B,C,"  of papermaking (Figure 246). Reaumur's observations regarding the habits of the wasp were laid before the French Royal Academy in a treatise dated November 15, 1719"
21,1900,FIC,HouseMartha,A,B,C,"  in her hand, like a slung-shot, she sprang back and waited for the wasp. When the buzzing creature came near enough, she made a desperate crack at"
22,1898,NEWS,NYT-Reg,A,B,C,"  he immediately signaled the other ships on the station, the Vicksburg, Annapolis, Wasp, Tecumseh, and Osceola, which were moving in, to form a column"
23,1843,FIC,LettersFromNew-,A,B,C,"  for his dwelling, centuries before houses were built with stone and mortar; the wasp of Cayenne made her nest of beautiful white card paper, cycles before paper was"
24,1999,MAG,Bicycling,A,B,C,"  , or you may expose other parts of your body to the plant oils. WASP, BEE OR HORNET STlNGS THE FIX: Remove the stinger(s) by scraping it off"
25,1990,MAG,MotherJones,A,B,C,"  center of attention. "" Modesty, "" he told me, "" is a WASP trait. "" Besides, being famous opened doors to new experiences and other high-powered"
26,1896,FIC,DaybreakRomance,A,B,C,"  large and small, has lost its power and will to harm us. The wasp has lost its sting, the serpent its poison, and the tiger its desire"
27,2003,FIC,SouthernRev,A,B,C,"  That night, when Jackie's father came home and heard the story of the wasp, he laughed. "" Partner, "" he said to Jackie, "" that"
28,1949,MAG,Time,A,B,C,"  no good. Since then U.S. scientists have found a new Malayan parasite, a wasp whose larvae will hatch inside the Mexican fly's larvae and devour them. This"
29,1970,MAG,Harpers,A,B,C,"  tend to reflect other backgrounds and interests, and that the integrative capabilities of the WASP style have plunged into precipitous decline. The cultural issues of the 1960s enjoying the"
30,1961,FIC,ClockWithoutHands,A,B,C,"  ? "" For once she had stung him, she had stung him like a wasp. He bent from his stiffness, his knuckles came down on the desk,"
31,2001,FIC,HumanStain,A,B,C,"  found ridiculous. Didn't you? I used to think of them as the wasp establishment that ran this place when I first got here. "" "" You're"
32,1860,MAG,Atlantic,A,B,C,"  from their instructions or of its imitating their actions is cut off. The solitary wasp, for example, is accustomed to construct a tunnelled nest in which she deposits"
33,1953,MAG,NatGeog,A,B,C,"  elaborate |p477 ge-ticulation of his crest plumes, his motions as jittery as a mud wasp's. We went on to locate three display limbs of the Superb Bird of"
34,1981,MAG,Newsweek,A,B,C,"  have that kind of commitment. "" Williams and William Hurt are part of the Wasp element in the new wave of leading actors. But these are funky Wasps,"
35,1914,MAG,Atlantic,A,B,C,"  . But that one may be victorious, another must be vanquished. The defeated wasp, badly maimed, tries vainly to rise on her tattered pinions? the stumps"
36,1867,NF,OurCommonInsects,A,B,C,  to act their part in carrying out the plan of creation. Illustration: Paper Wasp. FOOTNOTES: Footnote 1: The cells are not perfectly hexagonal. See the
37,1935,FIC,Europa,A,B,C,"  this... "" Pallier began. "" Wait, there's a confounded wasp buzzing close to my nose. Wait till I've got it, "" Gressom"
38,1997,FIC,Triquarterly,A,B,C,"  be with each other, Asian kids, Mexican kids, black kids, and wasp kids like me. That was love, not riot. Interview the kids and"
39,1860,FIC,SunnySouthTheSoutherner,A,B,C,"  , to put one in! -- as a weapon of war to drive a wasp or a bat out of the room, as an individual fire-screen, and for"
40,1970,MAG,Harpers,A,B,C,"  the most articulate conservative in America; we do, after all, still have WASP writers and journals? Foreign. Affairs, for example, and The Atlantic ("
41,1949,FIC,ValleyCroen,A,B,C,"  but in a condition very near to death, like a spider stung by a wasp. If she were free, she would soon scour your earth clean of the"
42,2002,NF,NaturalHist,A,B,C,"  my video camera and rushed out to record it. As I filmed, the wasp clutched the cicada's belly against its own, using its middle pair of legs"
43,1980,MAG,SatEvePost,A,B,C,"  ball, leaving him to come through wondering if it's a UFO or a wasp lowering its flaps for a landing on his neck. (Which reminds me of"
44,1847,NF,NaturalistInNicaragua,A,B,C,"  jaws, but I think it was with the feet. I often saw a wasp trying to clear a leaf from ants that were already in full possession of a"
45,1855,FIC,ScenesCharacters,A,B,C,"  to the branch of a tree by one of his legs, and held the wasp with the other five, and began to pack it up. First he bit"
46,1900,FIC,HouseMartha,A,B,C,"  . How fortunate it was that I went back for that wasp. "" "" Wasp! "" almost screamed Walkirk, and by the way he looked at me,"
47,2002,NF,NaturalHist,A,B,C,"  of a burrow reveals individual chambers that house one or two paralyzed cicadas for each wasp grub. # S (COLOR): An expert digger, a female cicada"
48,2000,FIC,LionsGame,A,B,C,"  NYPD, and Kate Mayfield of the FBI. WASP, WASP, Wop, WASP. Kate Mayfield came to the coffee bar and began making herself tea. She"
49,2002,NF,NaturalHist,A,B,C,"  nourishment to grow to their greater size. # Interestingly, the great golden digger wasp, a close relative of the cicada killer, does not have enlarged spurs and"
50,1864,FIC,FranksCampaign,A,B,C,"  the name of the little insect that stings people sometimes, Pomp? "" "" Wasp, Mass' Frank, "" was the confident reply. "" No, I"
51,1993,MAG,NaturalHist,A,B,C,"  each heap she had touched. When a burrow contained a lone larva, the wasp had usually entered, but if an adult female was present, in thirteen out"
52,1939,NEWS,NYT-Reg,A,B,C,"  outstanding air derby. Flying a stripped-down Seversky military plane equipped with the same twin Wasp engine he had in the 1937 race, when his earlier records were set,"
53,1900,FIC,HouseMartha,A,B,C,"  work here for the benefit of your sisterhood, and you should not allow a wasp or any insect to interfere with it. "" She looked at me, and"
