entry,year,genre,source,a,b,c,text
84,1827,FIC,BuccaneersARomance,A,B,C,"  a business of life more than at any other period. Youth starts like the wild horse; but having flashed forth its fiery qualities, grows calm; age runs"
7,1832,FIC,SceneFromUnpublished,A,B,C,"  upon a fir tree, which breaks and falls. On the very instant the wild horse plunges with his rider into the lake, and both disappear. A barque"
9,1832,FIC,SceneFromUnpublished,A,B,C,"  upon the stage. The thunder redoubles; terror is at its climax. The wild horse reappears, but nearer, upon a rock, forming a little platform which"
24,1832,FIC,SceneFromUnpublished,A,B,C,"  part, I would, of the two, prefer his brother barbarian, the wild horse. Casimir indeed! A fellow who never talks but with his sword and"
33,1832,FIC,SceneFromUnpublished,A,B,C,"  Maz. Mazeppa Barbarian! Your cruel sentence led me but to triumph. The wild horse bore me to the throne of Tartary. Mazeppa, now victorious, claims"
41,1832,FIC,SceneFromUnpublished,A,B,C,"  trees and the returning light discloses Casimir, whom the fall had loosened from the wild horse, struggling with the waves. He swims towards the barque, which receives"
45,1832,FIC,SceneFromUnpublished,A,B,C,"  Or, THE WILD HORSE OF TARTARY The manuscript of Mazeppa; or, The Wild Horse of Tartary, in Payne's own hand, is in the Harvard collection"
48,1832,FIC,SceneFromUnpublished,A,B,C,  dust. He flies hither from the mountains bordering on Poland. He rides a wild horse which scours the desert like a tempest. He comes! He comes!
51,1832,FIC,SceneFromUnpublished,A,B,C,"  Milner's version, called, like Payne's, Mazeppa; or, The Wild Horse of Tartary, was performed April 4, 1831, at the Royal Adelphi"
57,1832,FIC,SceneFromUnpublished,A,B,C,"  by the servants. Beyond the iron railing is seen Casimir, fastened to the wild horse, who, violently excited, darts across the stage with the rapidity of"
80,1832,FIC,SceneFromUnpublished,A,B,C,"  ? What has happened? After a doom beyond expression awful, bound to a wild horse, whirled o'er torrent, desert, precipices, on all sides danger and"
77,1837,NF,AnAccompaniment,A,B,C,"  Company's posts on the Columbia River its branches. A few individuals of the Wild Horse purchased by citizens of the United States from the Indians, have been found"
47,1838,MAG,USDemRev,A,B,C,"  Their arguments generally remind us of La Fontaine's fable of the Man and the wild Horse. The convenience and advantages of riding, on the part of the former"
87,1839,MAG,USDemRev,A,B,C,"  by an exhibition of his skill in throwing the lasso, chasing, on a wild horse, the wild herds of cattle, and entangling, with unerring certainty,"
2,1847,FIC,PaulPerrilMerchants,A,B,C,"  we stood awaiting the coming of the foe. I believed it to be a wild horse, but Fairfax was very positive it was a panther or hyena. We"
6,1849,NF,MannersCustoms,A,B,C,"  , with surprising exactness, the howl of the wolf, the neighing of the wild horse, the chipping of the squirrel, or the hoot of the owl."
27,1849,MAG,USDemRev,A,B,C,"  cactus around him, with the intention of laying in wait to give these dusky wild horse hunters a trial for their scalps as they went past him. As he"
