entry,year,genre,source,a,b,c,text,
82,1815,FIC,FairAmericans,A,B,C,"  her parents got her married. Will. William Then she did not wear the willow, -- but the song, let us have some proofs of her tenderness.",
849,1817,FIC,Accusation,A,B,C,"  -- just so! -- for all the world like the image in my weeping willow grove. And then he began to walk with great strides, as if he",
573,1819,FIC,BattleNiagara,A,B,C,"  billowy surf, Or stretch like the winds o'er the untrodden turf, Where the willow and yew in their darkness are weeping, And young, gallant hearts in their",
930,1819,FIC,BattleNiagara,A,B,C,"  the savage pine, With the bright tendrils of the garden vine: The stooping willow, with its braided light, And feathery tresses, changeable and bright: --",
393,1820,FIC,JudithEstherOther,A,B,C,"  or softly-falling snow, Or when the moon wandering o'er frozen streams Coldly upon dismantled willow gleams, When no congenial, kindly heart is nigh And your lone bosoms heave",
704,1822,FIC,LoganAFamilyHistory,A,B,C,"  , disturbing the shadow and smoothness, like a flash of fire, under the willow trees, now and then arrested the eye. Do you see that star?",
821,1822,FIC,LoganAFamilyHistory,A,B,C,"  of the water that ran a long way off, against the margin of woven willow tresses could be heard; and an occasional glimmer could be seen, of some",
841,1822,FIC,LoganAFamilyHistory,A,B,C,"  head. The moon was at the full. The abundant foliage, the changeable willow braid, the distant elevations, were all shifting from alternate shadow of the deepest",
50,1823,FIC,ErrataTheWorks,A,B,C,"  be overheard by the company -- about poetry -- melancholy -- cold blue water -- willow tresses washing themselves in the shadow, and moonlight -- the emptiness of worldly enjoyment",
208,1823,FIC,ErrataTheWorks,A,B,C,"  trees in the world; and a sheet of water, completely hidden by great willow trees, set all round it. However, I liked the house, and",
303,1823,FIC,ForestRose,A,B,C,"  wedding-dress. SALLY: Thank you, ma'am. Now, Jonathan, to the willow grove. Exeunt Jonathan and Sally MILLER: And now, as there is not",
593,1823,FIC,RandolphANovel,A,B,C,"  , and bent one of the beautiful little branches into the form of a weeping willow -- pasted it on paper, and painted the grave underneath it, with all",
328,1824,FIC,RedwoodATaleVolume2,A,B,C,"  side. The passage to the brook was shaded and hidden by thick clumps of willow trees. As Ellen reined her horse into the narrow way, she encountered Westall",
