entry,year,genre,source,a,b,c,text
835,1812,FIC,AlexisCzarewitz,A,B,C,"  'm no more, Has prov'd unworthy of the trust; himself The very wolf, from whose devouring jaws I'd save it... That my eaglets, scarcely"
974,1822,FIC,LoganAFamilyHistory,A,B,C,"  and in light -- over precipice and torrent -- herding with the serpent and the wolf, battling with monsters in the silence of death, beneath a sky of interwoven"
959,1823,MAG,NorthAmRev,A,B,C,"  On the first of September, while the boat was sailing by the mouth of Wolf river, it was hailed from the shore by Dougherty, on* of Mr Say"
116,1824,FIC,LettersFoundIn,A,B,C,"  of the moose and common deer, the bear and the buffaloe -- sometimes the wolf or the wild cat would fall in the way of the hunters. During this"
568,1824,FIC,LettersFoundIn,A,B,C,"  so, they talked of Buffaloe paths and prairies, and beaver ponds, and wolf dens, and Indian names which are no where to be found on the map"
474,1826,FIC,LastMohicansANarrative1757,A,B,C,"  was drawn out, until it equaled the longest and most plaintive howl of the wolf. The sudden and terrible interruption caused Duncan to start from his seat, unconscious"
822,1826,FIC,LastMohicansANarrative1757,A,B,C,"  pointed to the scout. "" Will a wise Delaware believe the barking of a wolf? "" exclaimed Duncan, still more confirmed in the evil intentions of his ancient"
210,1827,FIC,BuccaneersARomance,A,B,C,"  had opened to receive him in a yawning abyss. The hoarse growl of the wolf who now bounded towards him, having left the carcass of the half breed,"
500,1827,FIC,BuccaneersARomance,A,B,C,"  : from the depth of the brake, was heard the hideous howlings of the wolf, who, frightened, sought his den; and the piteous cries of the"
922,1827,FIC,BuccaneersARomance,A,B,C,"  the wind howled over the beaver blanket of the Black Buffalo, and the desert wolf sang his death song; his blood is not dry on my hatchet -- Yonnondio"
946,1831,FIC,MeredithTheMystery,A,B,C,"  sinful to doubt that it tends to a just and beneficent end. The unrelenting wolf seized the lamb by surprise, when the shepherd was away, and the fold"
299,1833,NF,ByOrderKing,A,B,C,"  From his appetite for medlars and potatoes he might have been taken for a Erairie wolf; from his dark hide, for a lycaon; and from is howl prolonged"
560,1833,NF,ByOrderKing,A,B,C,"  to be dealt with, difficulties might have arisen; so Ursus kept the honest wolf chained up as much as possible. From a political point of view his writing"
609,1833,NF,ByOrderKing,A,B,C,"  , to growl instead of howling, etc.; and on MR part, the wolf had taught the man what he knew, to do without a roof, without"
987,1833,FIC,Camillus,A,B,C,"  Camilla Safe! yes, as the lamb that seeks a refuge In the gaunt wolf's den. And yet I fear not; Base as thou art, thou"
44,1834,FIC,SelectLettersMajor,A,B,C,"  are formin a ring and closin in upon us here, pretty much like a wolf hunt -- they all say we have taken the money that belongs to the people"
258,1834,FIC,LettersJDowning,A,B,C,"  are formin a ring and closin in upon us here, pretty much like a wolf hunt -- they all say we have taken the money that belongs to the people"
481,1834,FIC,GuyRiversATale,A,B,C,"  , so fearful as Guy Rivers, in such companionship as would surely compel the wolf to turn at bay. Alone, his confidence in his own stealth and secresy"
693,1834,FIC,ProseSketchesPoems,A,B,C,"  in all day. I had not been there long before I shot a white wolf, intending to eat him, but he went tumbling over and over, till"
739,1834,FIC,GuyRiversATale,A,B,C,"  together to-night, and Guy wanted Chub to go with him into his house in Wolf's Neck. But Chub don't love the wolf, and he don't"
842,1834,FIC,CalavarTheKnight,A,B,C,"  breathed nothing but clouds. Wherefore I knew, it should be only when the wolf spoke to the vulture, and the vulture to the red star, that Camael"
584,1835,FIC,HorseShoeRobinson,A,B,C,"  , as he stamped his heel upon her head: "" damn her in the wolf's hell to which she has gone! "" Robinson stood by, unaiding,"
592,1835,FIC,InfidelFallMexico,A,B,C,"  I might! for the thought of judging him to death, is like a wolf in my bosom. Once I loved him as my son, -- yes,"
743,1835,FIC,Writings,A,B,C,  round there fell upon his ear Many a sound for doubt and fear; The wolf's fierce howl at distance heard; The screaming of each startled bird; At
825,1835,FIC,HorseShoeRobinson,A,B,C,"  neither; it was only a civil fib, for I was going after my wolf trap before I got my breakfast. But here comes Mike. "" At this"
863,1835,FIC,HorseShoeRobinson,A,B,C,"  then she may borrow a coat, you see, from some lamb; a wolf in sheep's clothing is no uncommon sight in this world. "" "" Wat"
905,1835,FIC,Writings,A,B,C,"  Cast a last look intent and brief; It bade Ahauton not to dare The wolf's wild fangs within his lair, But life for nobler vengeance bear. Stern"
944,1835,FIC,HorseShoeRobinson,A,B,C,"  , as his eye sparkled with savage delight. "" Now look and see a wolf punished according to her evil doings. "" The woodman stood over his captive and"
980,1835,FIC,HawksHawk-Hollow,A,B,C,"  and muttered half to himself, half aloud, -- "" Well done, Tom Wolf; you're no fox, and a man must ha' said, Fifty"
154,1836,FIC,UpsDownsInLife,A,B,C,"  the occasional crash of a dried limb of a tree, over which the prowling wolf, or perchance some heavier tenant of the forest, was bounding. The stars"
761,1836,FIC,Sketches,A,B,C,"  , went forth to daily labor, amid tangled thickets, where the panther and wolf howled, and nightly returned to their rude cabins, with a smile of gratitude"
955,1836,FIC,PartisanLeader,A,B,C,"  ; and I shall be careful to take no measures which may alarm this mountain wolf, and drive him back to his den before I can come up with him"
242,1841,NF,LifeTecumsehHis,A,B,C,"  among them several chiefs of note, including Tecumseh, Battise, Black Snake, Wolf and Chinskau; and that the party had been formed for the purpose of annoying"
812,1842,FIC,CharlesStuartPrince,A,B,C,"  the caves, Whose feathery blades made music in the winds, Responsive to the wolf's obstreperous howl, That, while terrific palsy shook thy soul, A furious"
973,1842,FIC,CharlesStuartPrince,A,B,C,"  Caves, Where long reed blades made music in the winds, Responsive to the Wolf's obstreperous howl -- A furious Tiger, maddened by the Chase, Grinned horribly"
35,1843,FIC,VariousWritings,A,B,C,"  had now, before the terror of Behemoth, fled away; and the wild wolf, which once lurked amid the rank grass, skulked from a power which seemed"
459,1843,FIC,WildScenesInForest,A,B,C,"  a severe day's hunt, owing to a similar neighbourly visit. The prairie wolf, though a much less ferocious and powerful animal than the wood's wolf,"
569,1844,FIC,Bondmaid,A,B,C,  as the thistles wither in the narrow rock-clefts. Thou shalt pine as the hunted wolf pines in the dreary waste. In the after life thy soul shall float in
25,1845,FIC,WigwamCabinVolume1,A,B,C,"  , a stick covered with slips of skin, torn from the body of a wolf. The runner passed by the lodge of Attakulla, and all its inmates were"
138,1845,FIC,CountJulianThe,A,B,C,"  who, like an innocent lamb, was recommended to the care of a ravenous wolf, has been violated by king Roderick. If you forget not what you owe"
194,1845,FIC,ForestLeaves,A,B,C,"  soul in her ear, The step of the stealthiest invader to hear. The wolf from the thicket glared gloatingly forth, Her eye kept him chain'd, by"
202,1845,FIC,WesternClearings,A,B,C,"  show, any how! What with his own scratches and the spatters of the wolf's blood, he look'd as if the Indians had scalped him all over"
309,1845,FIC,Pioneers,A,B,C,"  , and stretching forth both hands,? they shake like a deer at the wolf? s howl. Is John old? When was a Mohican a squaw with"
391,1845,FIC,WigwamCabinVolume1,A,B,C,"  the excision of the swollen scab upon the tree in which he had seen his wolf skin encompassed. While he performed the operation, which he did as cautiously as"
570,1845,FIC,WarwickWoodlands,A,B,C,  in that their bushy dingles resound nightly to the long-drawn howl of the gaunt famished wolf -- in that the lynx and wild-cat yet mark their prey from the pine branches
631,1845,FIC,CountJulianThe,A,B,C,"  -- the women and the children of the land -- that thou shouldst bring the wolf into the fold, and ravage the cities of thy people with the havoc of"
654,1845,FIC,CountJulianThe,A,B,C,"  lamb's skin had been torn from his shoulders, and she now knew the wolf in his natural aspect. Farther deception was in vain. Her kindling eyes,"
892,1845,FIC,WigwamCabinVolume1,A,B,C,"  he took a seat upon the trunk of the tree, and spreading out the wolf's hide before him, proceeded to pare away the particles of flesh which,"
926,1845,FIC,WarwickWoodlands,A,B,C,"  misapprehension of the Jerseyman. "" This he accomplished; but not until the great wolf, wilier than his comrades, had got off unharmed. He had not moved"
943,1845,FIC,WigwamCabinVolume1,A,B,C,"  mother. "" With these words the young chief drew forth the skin of the wolf which he had slain, together with the tips of the ears taken from the"
991,1845,FIC,Pioneers,A,B,C,"  he first hove in sight, in company with Leather-Stocking. They had captured a wolf between them, and had brought in his scalp for the bounty. That Mister"
994,1845,FIC,WarwickWoodlands,A,B,C,"  a small dog even could have found no passage. Full at this opening the wolf dashed, as fresh, Tom said, as though he had not run a"
111,1846,MAG,NewEngYaleRev,A,B,C,"  , and "" Nature all glowing with Eden's first bloom. "" "" The wolf also shall dwell with the East Hampton, Mass. lamb, and the leopard shall"
177,1846,FIC,SlaveKingTheTriumph,A,B,C,"  him, and here is his skln. The other is the hide of a wolf that I followed last night to his lair, and this morning attacked him in"
221,1846,FIC,MyrtisWithOther,A,B,C,"  Indians often counterfeited the wail of suffering, as well as the howl of the wolf, when intent on cruelty. Anxious not prematurely to alarm the mother, in"
287,1846,FIC,SlaveKingTheTriumph,A,B,C,  The hermit's potion was not so potent as he supposed. I found the wolf which he had wounded. It was laying in a crevice of the cliff with
387,1846,FIC,SlaveKingTheTriumph,A,B,C,"  his mind than intended for the car of the trumpeter. It is a large wolf, Effendi l' said the man as he drew near and gazed on the"
397,1846,MAG,NorthAmRev,A,B,C,"  a few days, in sight of the very place of execution, and De Wolf was arrested, convicted, and condemned; but eight thousand voices called for mercy"
