entry,year,genre,source,a,b,c,text
1,1834,FIC,ProseSketchesPoems,A,B,C,"  as a gray squirrel, of a brown color, and shaped nearly like a woodchuck. They are always found in villages, and there is commonly one hole which"
2,1843,FIC,VariousWritings,A,B,C,"  ; Will Robin dropping a little in the rear, to dismount and catch a woodchuck, which was perambulating a fence by way of exercise, after a hearty meal"
3,1844,FIC,Essays —Second,A,B,C,"  reaches the climbing, flying, gliding, feathered and four-footed man. Fox and woodchuck, hawk and snipe and bittern, when nearly seen, have no more root"
4,1845,FIC,Pioneers,A,B,C,"  who has failed seven times already this season, and has only brought in one woodchuck and a few gray squirrels.?? Ah! The game is becoming hard to"
5,1845,FIC,MargaretATaleReal,A,B,C,"  Yea, verily, "" as the Master says, "" this is like a woodchuck in clover. These are sweet and luscious as your cheek, Margaret. """
6,1846,FIC,Stage-StruckYankee,A,B,C,"  you're no more like Miss Fanny Magnet, than a sowbug's like a woodchuck. FAN. Fanny Will you just examine my face? CUR. Curtis I"
7,1849,FIC,Merry-mountARomance,A,B,C,"  , Master Morton, thou diddest me a kindness once, "" said this human woodchuck. "" Did I so, indeed? "" answered the other; "" then"
8,1849,NF,MannersCustoms,A,B,C,"  shape, or in the form of the rabbit, the tortoise, or the woodchuck, and hence the reverence paid to these animals. Some of the Delawares imagined"
9,1851,FIC,FrankFanny,A,B,C,"  , in all parts of our country, from Maine to Carolina, was the woodchuck, or ground-hog, as it is sometimes called. It feeds, generally,"
10,1851,FIC,FrankFanny,A,B,C,"  for the food which it thus transports to its burrow. The capture of the woodchuck, forms one of the most exciting sports of boys, and it is very"
11,1851,FIC,FrankFanny,A,B,C,"  exciting sports of boys, and it is very easily domesticated. Illustration: THE WOODCHUCK. The woods abounded in other wild animals, all small and harmless, but"
12,1851,FIC,FrankFanny,A,B,C,"  had been spending the whole day with his dog, vainly endeavoring to catch a woodchuck, which he had seen running into the woods, in the morning. Frank"
13,1851,FIC,FrankFanny,A,B,C,"  , advised him to seek some more profitable employment in future. Illustration: THE WOODCHUCK HUNTER. After they had left the boy, Frank and Fanny talked together very"
14,1851,FIC,FrankFanny,A,B,C,"  and the folly of spending it in the hunting of wild animals, like the woodchuck, which are very hard to catch. Just before reaching the village, they"
15,1852,FIC,DollarsCents,A,B,C,"  to me as all the rail fences is made o' muskits, and every woodchuck in the hull of them a pinter! No offence Mr. Collingwood, but you"
