entry,year,genre,source,a,b,c,text
485,1813,FIC,SylphsSeasonsWith,A,B,C,"  , like the sails of a mill, And pat every stair, like a woodpecker's bill, From the tiles of the roof to the ground. One morn"
74,1826,FIC,LastMohicansANarrative1757,A,B,C,"  by the low voices of the men, the occasional and lazy tap of a woodpecker, the discordant cry of some gaudy jay, or a swelling on the ear"
94,1830,MAG,NorthAmRev,A,B,C,"  , one of the principal means of political advancement among the Indians; and our Woodpecker, being of an ambitious turn, after a while espouses a second wife,"
351,1830,MAG,NorthAmRev,A,B,C,"  Woman, is another very agreeable story. The hero, Toskatnay, or the Woodpecker, is represented as a young Dalicotah of high pretensions on the score of intellectual"
128,1831,FIC,AmericanCommon-place,A,B,C,"  , like the sails of a mill, And pat every stair, like a woodpecker's bill, From the tiles of the roof to the ground. One morn"
18,1832,MAG,NorthAmRev,A,B,C,"  instinct always operates with the same certainty and success. We have already mentioned the woodpecker, who grasps the trunk of a tree with his claws, and stands upon"
32,1832,MAG,NorthAmRev,A,B,C,"  and which are yet sadly misrepresented. The farmer, for example, accuses the woodpecker of boring his trees, when he only enlarges with his bill the hole which"
107,1832,MAG,NorthAmRev,A,B,C,"  , which construct their nests with less delicacy, but more hard labor; the woodpecker, for example, which chisels out its gallery in the trunks or limbs of"
280,1832,MAG,NorthAmRev,A,B,C,"  landed at Newcastle, and as he was walking to Philadelphia, shot a redheaded woodpecker. It is said that he often mentioned afterwards, what delight the sight of"
328,1832,MAG,NorthAmRev,A,B,C,"  nuthatch, black capt titmouse, and other birds, which take advantage of the woodpecker's deserted mansions. The kingfisher chooses a bank near the scene of his labors"
434,1832,FIC,SwallowBarnASojourn,A,B,C,"  a scream of jay-birds, heard at intervals; the sullen hammer of a lonely woodpecker resounds from some withered trunk; and, high above, a soaring troop of"
12,1835,FIC,AdventuresTimothy,A,B,C,"  Tom. Hundred satans!' exclaimed the master: however, put that red-headed woodpecker of yours on to him,' he continued, pointing to Jenks, whom"
93,1835,FIC,LinwoodsVolume1,A,B,C,"  waiter to Mr. Eliot. He might as well take a bat, or a woodpecker. "" Eliot did not need his poor friend should be placed in this ludicrous"
350,1836,NF,StPierresStudies,A,B,C,"  the immense families of small birds, of which many classes, such as the woodpecker, and the swallow, have no other kind of nourishment; that these birds"
211,1839,MAG,NorthAmRev,A,B,C,"  supposed to indulge in many conjectures as to the cause. In one instance the woodpecker, who sat on a bough watching the ineffectual shooting of a warrior at a"
278,1840,FIC,CountessIdaATale,A,B,C,"  The birds called to each other through the silent glades. The beak of the woodpecker made the forest resound, and the squirrels leaped, paused, and listened in"
130,1845,MAG,USDemRev,A,B,C,  one need not b2 long deprived of bird-music. There are several varieties of the Woodpecker; but they will not visit a new home so soon. They look upon
142,1845,NF,TreatiseOnForces,A,B,C,"  the brown lizard in the leaves, or the distant tap of the lazy red-headed woodpecker upon some hollow trunk. 66. As we have said, if at the"
410,1845,NF,HeFruitsFruitTrees,A,B,C,"  brisk, acid flavour. Keeps till June. Trees with crooked shoots. // Woodpecker. Pecker. The Baldwin stands at the head of all New-England apples, and"
160,1846,FIC,Typee,A,B,C,"  his labours with a wild chant, tapping away the while as merrily as a woodpecker. So deeply engaged was he in his work, that he had not observed"
126,1847,NF,NaturalistInNicaragua,A,B,C,"  TONGUE OF HUMMING-BIRD, WITH THE BLADES A LITTLE OPENED. TONGUE OF LARGE RED-CRESTED WOODPECKER.) Soon after crossing the muddy Artigua below Pavon, a beautifully clear and"
146,1847,NF,NaturalistInNicaragua,A,B,C,"  (Florisuga mellivora, LINN.). PLATE 10. TONGUES OF HUMMING-BIRD AND WOODPECKER. PLATE 11. PITCHER-FLOWER (Marcgravia nepenthoides). PLATE 12. FLOWER OF"
296,1847,NF,NaturalistInNicaragua,A,B,C,"  adapted for picking out minute insects from amongst the stamens of the flowers. The woodpecker, which has a similar extensile mechanism for exserting its tongue to a great length"
