year, AVG
1800,0.63
1801,0.64
1802,0.63
1803,0.66
1804,0.67
1805,0.67
1806,0.63
1807,0.58
1808,0.55
1809,0.6
1810,0.56
1811,0.63
1812,0.62
1813,0.6
1814,0.66
1815,0.72
1816,0.71
1817,0.74
1818,0.72
1819,0.75
1820,0.77
1821,0.78
1822,0.75
1823,0.73
1824,0.72
1825,0.69
1826,0.7
1827,0.7
1828,0.71
1829,0.75
1830,0.76
1831,0.76
1832,0.78
1833,0.79
1834,0.82
1835,0.81
1836,0.81
1837,0.84
1838,0.85
1839,0.87
1840,0.88
1841,0.86
1842,0.86
1843,0.85
1844,0.84
1845,0.85
1846,0.84
1847,0.85
1848,0.88
1849,0.88
1850,0.89
1851,0.89
1852,0.89
1853,0.9
1854,0.91
1855,0.91
1856,0.94
1857,0.94
1858,0.95
1859,0.97
1860,0.97
1861,0.96
1862,0.96
1863,0.95
1864,0.96
1865,0.98
1866,1.01
1867,1.05
1868,1.07
1869,1.08
1870,1.1
1871,1.1
1872,1.12
1873,1.12
1874,1.11
1875,1.14
1876,1.13
1877,1.13
1878,1.13
1879,1.14
1880,1.14
1881,1.12
1882,1.11
1883,1.12
1884,1.13
1885,1.15
1886,1.14
1887,1.15
1888,1.17
1889,1.18
1890,1.2
1891,1.18
1892,1.23
1893,1.22
1894,1.27
1895,1.29
1896,1.28
1897,1.29
1898,1.33
1899,1.34
1900,1.37
1901,1.36
1902,1.36
1903,1.41
1904,1.42
1905,1.42
1906,1.36
1907,1.34
1908,1.34
1909,1.33
1910,1.32
1911,1.32
1912,1.3
1913,1.3
1914,1.29
1915,1.27
1916,1.24
1917,1.21
1918,1.21
1919,1.22
1920,1.26
1921,1.25
1922,1.29
1923,1.32
1924,1.33
1925,1.32
1926,1.34
1927,1.31
1928,1.31
1929,1.26
1930,1.24
1931,1.21
1932,1.21
1933,1.21
1934,1.25
1935,1.25
1936,1.25
1937,1.26
1938,1.27
1939,1.25
1940,1.21
1941,1.18
1942,1.15
1943,1.13
1944,1.14
1945,1.15
1946,1.19
1947,1.2
1948,1.17
1949,1.18
1950,1.19
1951,1.16
1952,1.14
1953,1.1
1954,1.08
1955,1.06
1956,1.04
1957,1.01
1958,1
1959,0.98
1960,0.98
1961,0.96
1962,0.95
1963,0.92
1964,0.9
1965,0.88
1966,0.86
1967,0.83
1968,0.83
1969,0.84
1970,0.84
1971,0.85
1972,0.85
1973,0.85
1974,0.85
1975,0.86
1976,0.85
1977,0.85
1978,0.84
1979,0.84
1980,0.84
1981,0.84
1982,0.83
1983,0.82
1984,0.82
1985,0.83
1986,0.84
1987,0.85
1988,0.85
1989,0.85
1990,0.87
1991,0.89
1992,0.88
1993,0.87
1994,0.87
1995,0.87
1996,0.87
1997,0.88
1998,0.86
1999,0.88
2000,0.89
