year, AVG,NORMALIZED
1900,1.37,1
1901,1.36,0.99270073
1902,1.36,0.99270073
1903,1.41,1.02919708
1904,1.42,1.03649635
1905,1.42,1.03649635
1906,1.36,0.99270073
1907,1.34,0.97810219
1908,1.34,0.97810219
1909,1.33,0.97080292
1910,1.32,0.96350365
1911,1.32,0.96350365
1912,1.3,0.948905109
1913,1.3,0.948905109
1914,1.29,0.941605839
1915,1.27,0.927007299
1916,1.24,0.905109489
1917,1.21,0.883211679
1918,1.21,0.883211679
1919,1.22,0.890510949
1920,1.26,0.919708029
1921,1.25,0.912408759
1922,1.29,0.941605839
1923,1.32,0.96350365
1924,1.33,0.97080292
1925,1.32,0.96350365
1926,1.34,0.97810219
1927,1.31,0.95620438
1928,1.31,0.95620438
1929,1.26,0.919708029
1930,1.24,0.905109489
1931,1.21,0.883211679
1932,1.21,0.883211679
1933,1.21,0.883211679
1934,1.25,0.912408759
1935,1.25,0.912408759
1936,1.25,0.912408759
1937,1.26,0.919708029
1938,1.27,0.927007299
1939,1.25,0.912408759
1940,1.21,0.883211679
1941,1.18,0.861313869
1942,1.15,0.839416058
1943,1.13,0.824817518
1944,1.14,0.832116788
1945,1.15,0.839416058
1946,1.19,0.868613139
1947,1.2,0.875912409
1948,1.17,0.854014599
1949,1.18,0.861313869
1950,1.19,0.868613139
1951,1.16,0.846715328
1952,1.14,0.832116788
1953,1.1,0.802919708
1954,1.08,0.788321168
1955,1.06,0.773722628
1956,1.04,0.759124088
1957,1.01,0.737226277
1958,1,0.729927007
1959,0.98,0.715328467
1960,0.98,0.715328467
1961,0.96,0.700729927
1962,0.95,0.693430657
1963,0.92,0.671532847
1964,0.9,0.656934307
1965,0.88,0.642335766
1966,0.86,0.627737226
1967,0.83,0.605839416
1968,0.83,0.605839416
1969,0.84,0.613138686
1970,0.84,0.613138686
1971,0.85,0.620437956
1972,0.85,0.620437956
1973,0.85,0.620437956
1974,0.85,0.620437956
1975,0.86,0.627737226
1976,0.85,0.620437956
1977,0.85,0.620437956
1978,0.84,0.613138686
1979,0.84,0.613138686
1980,0.84,0.613138686
1981,0.84,0.613138686
1982,0.83,0.605839416
1983,0.82,0.598540146
1984,0.82,0.598540146
1985,0.83,0.605839416
1986,0.84,0.613138686
1987,0.85,0.620437956
1988,0.85,0.620437956
1989,0.85,0.620437956
1990,0.87,0.635036496
1991,0.89,0.649635036
1992,0.88,0.642335766
1993,0.87,0.635036496
1994,0.87,0.635036496
1995,0.87,0.635036496
1996,0.87,0.635036496
1997,0.88,0.642335766
1998,0.86,0.627737226
1999,0.88,0.642335766
2000,0.89,0.649635036
