year, AVG
1800,0.76
1801,0.74
1802,0.75
1803,0.77
1804,0.8
1805,0.81
1806,0.83
1807,0.84
1808,0.85
1809,0.83
1810,0.87
1811,0.82
1812,0.86
1813,0.87
1814,0.83
1815,0.83
1816,0.87
1817,0.79
1818,0.82
1819,0.78
1820,0.75
1821,0.77
1822,0.8
1823,0.78
1824,0.81
1825,0.81
1826,0.85
1827,0.84
1828,0.86
1829,0.85
1830,0.88
1831,0.91
1832,0.95
1833,0.91
1834,0.95
1835,0.94
1836,0.9
1837,0.86
1838,0.82
1839,0.8
1840,0.83
1841,0.81
1842,0.81
1843,0.86
1844,0.9
1845,0.92
1846,0.94
1847,0.94
1848,0.98
1849,1.04
1850,1.02
1851,1.06
1852,1.05
1853,1.04
1854,1.07
1855,1.04
1856,1.01
1857,1.06
1858,1.05
1859,1.13
1860,1.13
1861,1.14
1862,1.18
1863,1.21
1864,1.23
1865,1.2
1866,1.14
1867,1.18
1868,1.18
1869,1.16
1870,1.11
1871,1.08
1872,1.08
1873,1.09
1874,1.04
1875,1.03
1876,1
1877,1.02
1878,1.01
1879,1.05
1880,1.04
1881,1.07
1882,1.09
1883,1.1
1884,1.1
1885,1.1
1886,1.08
1887,1.1
1888,1.07
1889,1.08
1890,1.14
1891,1.17
1892,1.24
1893,1.3
1894,1.28
1895,1.3
1896,1.29
1897,1.25
1898,1.22
1899,1.14
1900,1.07
1901,1.08
1902,1.11
1903,1.11
1904,1.09
1905,1.09
1906,1.12
1907,1.16
1908,1.11
1909,1.09
1910,1.08
1911,1.05
1912,1.05
1913,1.08
1914,1
1915,0.99
1916,0.94
1917,0.92
1918,0.93
1919,0.93
1920,0.86
1921,0.93
1922,0.96
1923,0.97
1924,0.97
1925,0.97
1926,0.93
1927,0.92
1928,0.92
1929,0.92
1930,0.98
1931,0.99
1932,0.99
1933,1.01
1934,1
1935,0.96
1936,0.93
1937,0.85
1938,0.92
1939,1.08
1940,1.19
1941,1.21
1942,1.26
1943,1.26
1944,1.3
1945,1.25
1946,1.13
1947,1.04
1948,1.05
1949,1.03
1950,1.04
1951,1.03
1952,1.01
1953,0.96
1954,0.93
1955,0.92
1956,0.93
1957,0.92
1958,0.92
1959,0.94
1960,1
1961,1.01
1962,1
1963,1
1964,1.02
1965,1.05
1966,1.08
1967,1.02
1968,1.09
1969,1.08
1970,1.14
1971,1.2
1972,1.19
1973,1.2
1974,1.27
1975,1.26
1976,1.28
1977,1.25
1978,1.17
1979,1.16
1980,1.1
1981,1.03
1982,0.96
1983,0.91
1984,0.88
1985,0.89
1986,0.91
1987,0.9
1988,0.89
1989,0.94
1990,0.94
1991,0.94
1992,0.92
1993,0.87
1994,0.88
1995,0.87
1996,0.81
1997,0.82
1998,0.8
1999,0.81
2000,0.8
