year, AVG
1850,1.02
1851,1.06
1852,1.05
1853,1.04
1854,1.07
1855,1.04
1856,1.01
1857,1.06
1858,1.05
1859,1.13
1860,1.13
1861,1.14
1862,1.18
1863,1.21
1864,1.23
1865,1.2
1866,1.14
1867,1.18
1868,1.18
1869,1.16
1870,1.11
1871,1.08
1872,1.08
1873,1.09
1874,1.04
1875,1.03
1876,1
1877,1.02
1878,1.01
1879,1.05
1880,1.04
1881,1.07
1882,1.09
1883,1.1
1884,1.1
1885,1.1
1886,1.08
1887,1.1
1888,1.07
1889,1.08
1890,1.14
1891,1.17
1892,1.24
1893,1.3
1894,1.28
1895,1.3
1896,1.29
1897,1.25
1898,1.22
1899,1.14
1900,1.07
1901,1.08
1902,1.11
1903,1.11
1904,1.09
1905,1.09
1906,1.12
1907,1.16
1908,1.11
1909,1.09
1910,1.08
1911,1.05
1912,1.05
1913,1.08
1914,1
1915,0.99
1916,0.94
1917,0.92
1918,0.93
1919,0.93
1920,0.86
