YEAR,PERCENT_RURAL,NORMALIZED
1800,94.9,1
1801,NA,NA
1802,NA,NA
1803,NA,NA
1804,NA,NA
1805,NA,NA
1806,NA,NA
1807,NA,NA
1808,NA,NA
1809,NA,NA
1810,94,0.89
1811,NA,NA
1812,NA,NA
1813,NA,NA
1814,NA,NA
1815,NA,NA
1816,NA,NA
1817,NA,NA
1818,NA,NA
1819,NA,NA
1820,92.7,0.88
1821,NA,NA
1822,NA,NA
1823,NA,NA
1824,NA,NA
1825,NA,NA
1826,NA,NA
1827,NA,NA
1828,NA,NA
1829,NA,NA
1830,92.8,0.88
1831,NA,NA
1832,NA,NA
1833,NA,NA
1834,NA,NA
1835,NA,NA
1836,NA,NA
1837,NA,NA
1838,NA,NA
1839,NA,NA
1840,91.2,0.87
1841,NA,NA
1842,NA,NA
1843,NA,NA
1844,NA,NA
1845,NA,NA
1846,NA,NA
1847,NA,NA
1848,NA,NA
1849,NA,NA
1850,89.2,0.85
1851,NA,NA
1852,NA,NA
1853,NA,NA
1854,NA,NA
1855,NA,NA
1856,NA,NA
1857,NA,NA
1858,NA,NA
1859,NA,NA
1860,84.6,0.8
1861,NA,NA
1862,NA,NA
1863,NA,NA
1864,NA,NA
1865,NA,NA
1866,NA,NA
1867,NA,NA
1868,NA,NA
1869,NA,NA
1870,80.2,0.76
1871,NA,NA
1872,NA,NA
1873,NA,NA
1874,NA,NA
1875,NA,NA
1876,NA,NA
1877,NA,NA
1878,NA,NA
1879,NA,NA
1880,74.3,0.71
1881,NA,NA
1882,NA,NA
1883,NA,NA
1884,NA,NA
1885,NA,NA
1886,NA,NA
1887,NA,NA
1888,NA,NA
1889,NA,NA
1890,71.8,0.68
1891,NA,NA
1892,NA,NA
1893,NA,NA
1894,NA,NA
1895,NA,NA
1896,NA,NA
1897,NA,NA
1898,NA,NA
1899,NA,NA
1900,64.9,0.62
1901,NA,NA
1902,NA,NA
1903,NA,NA
1904,NA,NA
1905,NA,NA
1906,NA,NA
1907,NA,NA
1908,NA,NA
1909,NA,NA
1910,60.4,0.57
1911,NA,NA
1912,NA,NA
1913,NA,NA
1914,NA,NA
1915,NA,NA
1916,NA,NA
1917,NA,NA
1918,NA,NA
1919,NA,NA
1920,54.4,0.52
1921,NA,NA
1922,NA,NA
1923,NA,NA
1924,NA,NA
1925,NA,NA
1926,NA,NA
1927,NA,NA
1928,NA,NA
1929,NA,NA
1930,48.8,0.46
1931,NA,NA
1932,NA,NA
1933,NA,NA
1934,NA,NA
1935,NA,NA
1936,NA,NA
1937,NA,NA
1938,NA,NA
1939,NA,NA
1940,43.9,0.42
1941,NA,NA
1942,NA,NA
1943,NA,NA
1944,NA,NA
1945,NA,NA
1946,NA,NA
1947,NA,NA
1948,NA,NA
1949,NA,NA
1950,36,0.34
1951,NA,NA
1952,NA,NA
1953,NA,NA
1954,NA,NA
1955,NA,NA
1956,NA,NA
1957,NA,NA
1958,NA,NA
1959,NA,NA
1960,30.1,0.29
1961,NA,NA
1962,NA,NA
1963,NA,NA
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,26.3,0.25
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,26.3,0.25
1981,NA,NA
1982,NA,NA
1983,NA,NA
1984,NA,NA
1985,NA,NA
1986,NA,NA
1987,NA,NA
1988,NA,NA
1989,NA,NA
1990,24.8,0.24
1991,NA,NA
1992,NA,NA
1993,NA,NA
1994,NA,NA
1995,NA,NA
1996,NA,NA
1997,NA,NA
1998,NA,NA
1999,NA,NA
2000,NA,NA
